Metagenome	Bin Name	Completeness	Contamination	Domain	Phylum	Class	Order	Family	Genus	Species	BinContigLenSum	gcMean
B2	bin.056	95.3	192.47	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		14088160	60
B2	bin.057	0	0	NA	NA	NA	NA	NA	NA	NA	243143	50
B2	bin.058	63.66	2.97	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		856844	52
B2	bin.059	52.58	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		797528	50
B2	bin.060	62.07	6.93	Bacteria	Patescibacteria	Doudnabacteria	UBA920	UBA920	PALSA-1336		798180	44
B2	bin.061	59.8	13.79	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter		1326050	62
B2	bin.062	99.22	66.04	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	JABCZH01		9968137	57
B2	bin.063	0	0	NA	NA	NA	NA	NA	NA	NA	263479	37
B2	bin.064	100	176.68	NA	NA	NA	NA	NA	NA	NA	10849021	62
B2	bin.065	85.89	63.56	Bacteria	Proteobacteria	Gammaproteobacteria	DSM-16500	DSM-16500	JABDEM01		1568397	40
B2	bin.066	0	0	NA	NA	NA	NA	NA	NA	NA	540467	41
B2	bin.067	68.21	0	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2163	UBA10103		923595	54
B2	bin.068	86.57	0.23	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Rhabdochlamydiaceae	PALSA-1444		1748562	44
B2	bin.069	94.59	1.35	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		2969007	54
B2	bin.070	25.42	3.78	Bacteria	Cyanobacteria	Vampirovibrionia	Obscuribacterales	Obscuribacteraceae	JABDBL01		318430	39
B2	bin.071	76.21	75.08	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae			2100520	64
B2	bin.072	62.18	0.99	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		848476	53
B2	bin.073	0	0	NA	NA	NA	NA	NA	NA	NA	222349	36
B2	bin.074	88.79	205.39	NA	NA	NA	NA	NA	NA	NA	21406726	61
B2	bin.075	67.84	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		840487	54
B2	bin.076	72.28	0	Bacteria	Patescibacteria	Microgenomatia	Levybacterales	UBA12049	JACDET01		2034945	36
B2	bin.077	86.66	3.64	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae			4279136	64
B2	bin.078	65.67	36.9	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Rhizomicrobium		2434516	61
B2	bin.079	54.95	0	Bacteria	Patescibacteria	Microgenomatia	Levybacterales	UBA12049	JACDET01		1078045	37
B2	bin.080	45.38	3.56	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		561417	53
B2	bin.081	58.47	3.61	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	PMNU01		883768	53
B2	bin.082	76.64	0.93	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeaceae	UBA12276		769161	52
B2	bin.083	0	0	NA	NA	NA	NA	NA	NA	NA	340992	32
B2	bin.084	0	0	NA	NA	NA	NA	NA	NA	NA	257091	61
B2	bin.085	80.54	124.75	NA	NA	NA	NA	NA	NA	NA	4583016	37
B2	bin.086	61.68	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		841959	48
B2	bin.087	50.82	0	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Rhabdochlamydiaceae	PALSA-1444		1274903	43
B2	bin.088	73.36	0	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2163	1-14-0-10-45-20		769884	47
B2	bin.089	46.44	2.41	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			787160	50
B2	bin.090	31.9	1.72	Bacteria	Omnitrophota	Koll11	UBA10015	GCA-002753745			183631	44
B2	bin.091	27.59	0	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	RGVC01		719847	45
B2	bin.092	87.59	4.4	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Fen-1231		3770304	63
B2	bin.093	0	0	NA	NA	NA	NA	NA	NA	NA	252947	45
B2	bin.094	0	0	NA	NA	NA	NA	NA	NA	NA	227328	40
B2	bin.095	0	0	NA	NA	NA	NA	NA	NA	NA	357162	61
B2	bin.096	0	0	NA	NA	NA	NA	NA	NA	NA	551800	29
B2	bin.097	60.97	1.72	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		1841360	53
B2	bin.098	22.68	1.1	Bacteria	Patescibacteria	Gracilibacteria	UBA1369	UBA1369	PALSA-1335		132986	38
B2	bin.099	0	0	NA	NA	NA	NA	NA	NA	NA	224646	41
B2	bin.100	0	0	NA	NA	NA	NA	NA	NA	NA	232786	59
B2	bin.101	67.7	16.16	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		863010	51
B2	bin.102	80.11	56.12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	BOG-931		2731059	62
B2	bin.103	73.5	2.03	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	SM23-39	CAIPFQ01		887401	44
B2	bin.104	24.14	5.17	Bacteria	Omnitrophota	Koll11	UBA10015	GCA-002753745	JABDGZ01		597111	42
B2	bin.105	85.1	4.76	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198		3708150	64
B2	bin.106	78.42	0	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2163	GWA1-54-10		818025	52
B2	bin.107	36.83	10.42	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		259373	51
B2	bin.108	40.82	4.31	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			556321	52
B2	bin.109	39.56	2.04	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	UBA5150		308810	45
B2	bin.110	53.82	2.72	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			859686	51
B2	bin.111	0	0	NA	NA	NA	NA	NA	NA	NA	193842	35
B2	bin.112	0	0	NA	NA	NA	NA	NA	NA	NA	122866	60
B2	bin.113	0	0	NA	NA	NA	NA	NA	NA	NA	251219	40
B2	bin.114	88.34	9.46	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Rhabdochlamydiaceae	CAJCIW01		1917845	44
B2	bin.115	73.72	0	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	PALSA-1337	PALSA-1337		655411	49
B2	bin.116	48.04	8.62	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia phenazinium_B	5256597	62
B2	bin.117	0	0	NA	NA	NA	NA	NA	NA	NA	273278	44
B2	bin.118	98.56	54.55	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SXRF01	JABCZZ01		3864389	56
B2	bin.119	38.71	8.55	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2163	UBA10103		255635	56
B2	bin.120	0	0	NA	NA	NA	NA	NA	NA	NA	247266	49
B2	bin.121	0	0	NA	NA	NA	NA	NA	NA	NA	406959	32
B2	bin.122	56.02	4.8	Bacteria	Patescibacteria	Doudnabacteria	UBA920	UBA920	PALSA-1336		492316	45
B2	bin.123	0	0	NA	NA	NA	NA	NA	NA	NA	512743	61
B2	bin.124	22.41	1.72	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella		1060851	65
B2	bin.125	0	0	NA	NA	NA	NA	NA	NA	NA	323107	68
B2	bin.126	3.13	0	NA	NA	NA	NA	NA	NA	NA	157282	46
B2	bin.127	0	0	NA	NA	NA	NA	NA	NA	NA	228201	58
B2	bin.128	70.79	0	Bacteria	Patescibacteria	Doudnabacteria	UBA920	VMFF01			805500	56
B2	bin.129	4.91	0	NA	NA	NA	NA	NA	NA	NA	519688	29
B2	bin.130	5.78	0	NA	NA	NA	NA	NA	NA	NA	558675	26
B2	bin.131	76.72	0	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	GCA-2746885		936853	53
B2	bin.132	2.73	0	NA	NA	NA	NA	NA	NA	NA	340904	48
B2	bin.133	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
B2	bin.134	0	0	NA	NA	NA	NA	NA	NA	NA	200750	55
B2	bin.135	41.38	4.31	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae			449058	68
B2	bin.136	34.48	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Collimonas		561259	55
B2	bin.137	1.85	1.85	NA	NA	NA	NA	NA	NA	NA	345524	24
B2	bin.138	0	0	NA	NA	NA	NA	NA	NA	NA	494840	42
B2	bin.139	56.98	4.2	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae			1071459	36
B2	bin.140	71.21	7.51	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	13-2-20CM-66-19		1720683	68
B2	bin.141	91.52	0.87	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales_A	UBA9219	JABDFY01		1989452	59
B2	bin.142	68.49	0.85	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2163	UBA10103		1052374	55
B2	bin.143	85.17	1.54	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae			2780185	60
B2	bin.144	73.09	54.32	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		1018921	50
B2	bin.145	69.64	0	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2163	C7867-001		660529	57
B2	bin.146	43.73	0	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665			647992	41
B2	bin.147	0	0	NA	NA	NA	NA	NA	NA	NA	553512	58
B2	bin.148	77.07	1.72	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella		3787261	58
B2	bin.149	2.37	0	NA	NA	NA	NA	NA	NA	NA	1433970	50
B2	bin.150	0	0	NA	NA	NA	NA	NA	NA	NA	191606	44
B2	bin.151	56.34	3.42	Bacteria	Acidobacteriota	Acidobacteriae	UBA7541	UBA7541	Palsa-295		2708208	59
B2	bin.152	20.69	9.48	NA	NA	NA	NA	NA	NA	NA	2324405	58
B2	bin.153	0	0	NA	NA	NA	NA	NA	NA	NA	521113	38
B2	bin.154	30.6	1.72	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Rhizomicrobium		721010	62
B2	bin.155	0	0	NA	NA	NA	NA	NA	NA	NA	229095	68
B2	bin.156	0	0	NA	NA	NA	NA	NA	NA	NA	85396	61
B2	bin.157	29.33	1.79	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	PMNU01		156347	46
B2	bin.158	1.82	0	NA	NA	NA	NA	NA	NA	NA	287258	69
B2	bin.159	32.76	0	Bacteria	Proteobacteria	Gammaproteobacteria	DSM-16500	DSM-16500	JABDGC01		108749	47
B2	bin.160	59.66	14.43	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Palsa-1248		1296054	66
B2	bin.161	20.88	3.51	Bacteria	Patescibacteria	Microgenomatia	Levybacterales	UBA12049	JACDET01		116873	37
B2	bin.162	24.58	0	Bacteria	Bdellovibrionota	Bdellovibrionia_A	UBA1018	UBA1018			307009	48
B2	bin.163	11.29	0	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA2999	Gp6-AA45		49819	65
A1	bin.001	78.46	9.01	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		3069908	55
A1	bin.002	0	0	NA	NA	NA	NA	NA	NA	NA	226227	68
A1	bin.003	28.51	4.31	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter		711347	35
A1	bin.004	0.36	0	NA	NA	NA	NA	NA	NA	NA	224364	53
A1	bin.005	1.73	0	NA	NA	NA	NA	NA	NA	NA	440999	37
A1	bin.006	59.64	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	PKWO01		1783236	61
A1	bin.007	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella		247586	60
A1	bin.008	35.6	2.52	Archaea	Huberarchaeota	Huberarchaeia	Huberarchaeales				689550	57
A1	bin.009	59.77	1.72	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella_A		4587101	57
A1	bin.010	6.07	0	NA	NA	NA	NA	NA	NA	NA	201265	52
A1	bin.011	87.04	5.73	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae			7685129	68
A1	bin.012	6.02	0	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium		24533	63
A1	bin.013	42.87	4.31	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358			641005	55
A1	bin.014	30	2.73	Bacteria	FCPU426	Palsa-1180	Palsa-1180	Palsa-1180	Bog-1183		454534	49
A1	bin.015	0	0	NA	NA	NA	NA	NA	NA	NA	66236	35
A1	bin.016	8.62	0	NA	NA	NA	NA	NA	NA	NA	31870	66
A1	bin.017	27.72	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae			171297	59
A1	bin.018	82.45	14.36	Bacteria	Proteobacteria	Gammaproteobacteria	DSM-16500	DSM-16500	SCGC-AG-212-F23		2241480	39
A1	bin.019	85.5	1.14	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	CAJCIS01		4082697	64
A1	bin.020	91.12	21.04	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		4338993	55
A1	bin.021	58.87	2.68	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus		1964525	62
A1	bin.022	26.72	5.17	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter		261880	36
A1	bin.023	100	1564.98	NA	NA	NA	NA	NA	NA	NA	73462701	58
A1	bin.024	0	0	NA	NA	NA	NA	NA	NA	NA	337430	36
A1	bin.025	48.04	5.17	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavipsychrobacter		560987	40
A1	bin.026	93.74	0.87	Bacteria	Proteobacteria	Gammaproteobacteria	DSM-16500	DSM-16500			2808080	40
A1	bin.027	37.93	1.72	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		1294157	40
A1	bin.028	0	0	NA	NA	NA	NA	NA	NA	NA	158651	49
A1	bin.029	43.1	0	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	CAIVDV01		3263667	59
A1	bin.030	90.78	73.37	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Palsa-343		8716854	61
A1	bin.031	35.5	5.17	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia		6185281	61
A1	bin.032	72.23	1.72	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	PALSA-1337	PALSA-1337		618168	50
A1	bin.033	19.67	0	Bacteria	FCPU426	Palsa-1180	Palsa-1180	Palsa-1180	Bog-1183		194633	46
A1	bin.034	84.22	6.11	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		3809219	60
A1	bin.035	0	0	NA	NA	NA	NA	NA	NA	NA	561903	51
A1	bin.036	53.45	1.72	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Herminiimonas		1072623	54
A1	bin.037	21.55	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter		744853	62
A1	bin.038	4.17	0	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter		551566	34
A1	bin.039	88.72	20.74	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Acidobacterium_A		6355837	57
A1	bin.040	90.5	6.64	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Palsa-1150		7001800	70
A1	bin.041	6.36	0	NA	NA	NA	NA	NA	NA	NA	203647	42
A1	bin.042	26.18	0	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		1523218	40
A1	bin.043	69.75	0	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella_A		3739774	58
A1	bin.044	0	0	NA	NA	NA	NA	NA	NA	NA	83777	55
A1	bin.045	53.43	0.05	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella_A		3508205	56
A1	bin.046	50.17	0	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales_A	BOG-932	BOG-932		2335524	63
A1	bin.047	94.13	153.15	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948	JABEUT01		6348089	38
A1	bin.048	58.93	10.34	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	RAAP-2	Bog-473		2088818	66
A1	bin.049	14.26	2.8	NA	NA	NA	NA	NA	NA	NA	1739863	34
A1	bin.050	20.83	12.5	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Nevskiaceae	Nevskia		915483	65
A1	bin.051	43.77	0.93	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	Aquilonibacter		630525	61
A1	bin.052	94.72	142.31	NA	NA	NA	NA	NA	NA	NA	18786618	57
A1	bin.053	52.23	19.12	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	BOG-935		1014379	66
A1	bin.054	0	0	NA	NA	NA	NA	NA	NA	NA	39787	58
A1	bin.055	4.17	0	NA	NA	NA	NA	NA	NA	NA	39345	66
A1	bin.056	82.5	4.73	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		4100719	59
A1	bin.057	0	0	NA	NA	NA	NA	NA	NA	NA	5157	63
A1	bin.058	89.56	3.04	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		4040317	52
A1	bin.059	0	0	NA	NA	NA	NA	NA	NA	NA	199422	51
A1	bin.060	69.94	34.83	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella		4516379	60
A1	bin.061	18.45	1.72	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia		791508	67
A1	bin.062	85.42	9.25	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodopila		6039162	64
A1	bin.063	6.9	0	NA	NA	NA	NA	NA	NA	NA	159249	52
A1	bin.064	92.52	4.79	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948	JABEUT01		3366274	39
A1	bin.065	1.1	0	NA	NA	NA	NA	NA	NA	NA	308673	61
A1	bin.066	94.66	0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidocella		2989662	62
A1	bin.067	72.2	2.94	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948	JABEUT01		2200649	39
A1	bin.068	0	0	NA	NA	NA	NA	NA	NA	NA	430878	55
A1	bin.069	0	0	NA	NA	NA	NA	NA	NA	NA	383288	27
A1	bin.070	49.53	13.48	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	BOG-931		926148	61
A1	bin.071	6.72	1.72	NA	NA	NA	NA	NA	NA	NA	2181790	55
A1	bin.072	51.72	0	Bacteria	Proteobacteria	Gammaproteobacteria	DSM-16500	DSM-16500	VFKI01		1109580	43
A1	bin.073	8.33	0	NA	NA	NA	NA	NA	NA	NA	122069	63
A1	bin.074	0	0	NA	NA	NA	NA	NA	NA	NA	197568	35
A1	bin.075	46.03	0	Bacteria	FCPU426	JAAXVQ01					664265	65
A1	bin.076	20.69	0	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Rhizomicrobium		247096	61
A1	bin.077	16.38	0	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter		887867	34
A3	bin.001	15.79	1.75	NA	NA	NA	NA	NA	NA	NA	102892	60
A3	bin.002	0	0	NA	NA	NA	NA	NA	NA	NA	138462	32
A3	bin.003	58.02	0.11	Bacteria	Patescibacteria	Doudnabacteria	UBA920	O2-02-FULL-48-8	2-01-FULL-45-18		596172	47
A3	bin.004	86.08	1.27	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Rhabdochlamydiaceae	PALSA-1444		1395028	46
A3	bin.005	70.81	0.1	Bacteria	Patescibacteria	Doudnabacteria	UBA920	UBA920	PALSA-1336		1205476	45
A3	bin.006	41.38	5.17	Bacteria	Dormibacterota	Dormibacteria	Dormibacterales	Dormibacteraceae	UBA10449		934990	66
A3	bin.007	37.41	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Collimonas		1024759	60
A3	bin.008	68.37	0	Bacteria	Patescibacteria	Microgenomatia	Levybacterales	UBA12049	PJMG01		1199767	33
A3	bin.009	77.59	4.42	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	GWA2-73-35	AR37		5091475	71
A3	bin.010	14.04	0	NA	NA	NA	NA	NA	NA	NA	91063	61
A3	bin.011	8.93	0	NA	NA	NA	NA	NA	NA	NA	98909	56
A3	bin.012	52.7	0	Bacteria	Acidobacteriota	Acidobacteriae	UBA7541	UBA7541			1771798	59
A3	bin.013	29.83	9.35	Archaea	Thermoplasmatota	SW-10-69-26					67781	66
A3	bin.014	41.89	6.22	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae			478750	66
A3	bin.015	4.17	0	NA	NA	NA	NA	NA	NA	NA	38957	46
A3	bin.016	24.26	0	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Puia		83740	42
A3	bin.017	85.11	51.03	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	PKWO01		6352439	55
A3	bin.018	67.39	2.2	Bacteria	Myxococcota	Polyangia	Palsa-1104	Fen-1088			2932184	70
A3	bin.019	74.26	0.99	Bacteria	Patescibacteria	Microgenomatia	Levybacterales	UBA12049	PPGL01		1161400	35
A3	bin.020	31.01	0	Bacteria	FCPU426	Palsa-1180					354104	60
A3	bin.021	37.82	4.7	Bacteria	Acidobacteriota	Thermoanaerobaculia	Gp7-AA8	Gp7-AA8	Gp7-AA10		595482	61
A3	bin.022	44.23	1.35	Bacteria	Verrucomicrobiota	Verrucomicrobiae	JABWAM01				389844	55
A3	bin.023	43.95	1.08	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae			162855	66
A3	bin.024	0	0	NA	NA	NA	NA	NA	NA	NA	96774	38
A3	bin.025	64.61	24.56	Bacteria	Bacteroidota	Kapabacteria	Palsa-1295	Palsa-1295	PALSA-1296		1014350	44
A3	bin.026	85.34	151.9	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	AG2		5232827	65
A3	bin.027	40.16	1.28	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA11359_C			289233	38
A3	bin.028	78.29	0.61	Bacteria	Proteobacteria	Gammaproteobacteria	UBA6186	UBA6186			1327172	43
A3	bin.029	61.52	1.41	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	AP-16		2252110	67
A3	bin.030	37.93	1.72	Bacteria	Patescibacteria	Saccharimonadia	UBA4664	UBA4664			155628	54
A3	bin.031	24.14	0	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Nevskiaceae			571644	65
A3	bin.032	26.73	0	Bacteria	Elusimicrobiota	Elusimicrobia	UBA1565				110183	64
A3	bin.033	39.72	3.25	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae			500730	42
A3	bin.034	63.06	3.45	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Nevskiaceae	Nevskia		1768305	67
A3	bin.035	43.97	8.62	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Rhabdochlamydiaceae	PALSA-1444		863012	44
A3	bin.036	100	339.28	NA	NA	NA	NA	NA	NA	NA	7798578	38
A3	bin.037	74.83	7.52	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae			5452392	66
A3	bin.038	66.81	3.91	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales				2000764	53
A3	bin.039	7.89	0	NA	NA	NA	NA	NA	NA	NA	218383	36
A3	bin.040	97.41	82.73	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	UBA10450	Palsa-1382		2790620	56
A3	bin.041	25.53	0	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae			287038	39
A3	bin.042	10.34	0	Bacteria	Desulfobacterota_B	Binatia	Binatales	Binataceae	Binatus		166683	60
A3	bin.043	25.39	3.45	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Rhizomicrobium		211845	62
A3	bin.044	88.56	40.32	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Gp1-AA112			3958164	57
A3	bin.045	74.98	19.07	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae			3344095	66
A3	bin.046	93.61	9.84	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	13-2-20CM-66-19		2934044	67
A3	bin.047	76.38	0.97	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	TA-20	TA-20 sp013287585	481991	35
A3	bin.048	0	0	NA	NA	NA	NA	NA	NA	NA	199134	57
A3	bin.049	95.12	0	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae			2698392	60
A3	bin.050	81.06	0.43	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Gp1-AA112	DSPA01		2465543	57
A3	bin.051	28.28	3.45	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales				1888316	69
A3	bin.052	94.93	0.68	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	UBA10450	Udaeobacter		2839210	54
A3	bin.053	82.15	91.03	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198		9683430	61
A3	bin.054	83.37	1.36	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea		4375429	63
