locus_tag	ftype	length_bp	gene	EC_number	COG	product
FGCHFFMF_00359	CDS	1797				hypothetical protein
FGCHFFMF_00360	CDS	789	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
FGCHFFMF_00361	CDS	1257	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
FGCHFFMF_00362	CDS	279				hypothetical protein
FGCHFFMF_00363	CDS	288				hypothetical protein
FGCHFFMF_00364	CDS	675				hypothetical protein
FGCHFFMF_00365	CDS	642				hypothetical protein
FGCHFFMF_00366	CDS	1734				hypothetical protein
FGCHFFMF_00367	CDS	729	lnrL_1	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
FGCHFFMF_00368	CDS	1047				hypothetical protein
FGCHFFMF_00369	CDS	450				hypothetical protein
FGCHFFMF_00370	CDS	1332	lnrN		COG0842	Linearmycin resistance permease protein LnrN
FGCHFFMF_00371	CDS	2445				hypothetical protein
FGCHFFMF_00372	CDS	519				hypothetical protein
FGCHFFMF_00373	CDS	651	lolA_1		COG2834	Outer-membrane lipoprotein carrier protein
FGCHFFMF_00374	CDS	1056				hypothetical protein
FGCHFFMF_00375	CDS	1179	fabF_1	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
FGCHFFMF_00376	CDS	258	acpP_1			Acyl carrier protein
FGCHFFMF_00377	CDS	963				hypothetical protein
FGCHFFMF_00378	CDS	1197				hypothetical protein
FGCHFFMF_00379	CDS	1359				hypothetical protein
FGCHFFMF_00380	CDS	1287	bchR	2.1.1.331	COG1032	Bacteriochlorophyllide d C-12(1)-methyltransferase
FGCHFFMF_00381	CDS	675				hypothetical protein
FGCHFFMF_00382	CDS	1119	fabF_2	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
FGCHFFMF_00383	CDS	474				hypothetical protein
FGCHFFMF_00384	CDS	900				hypothetical protein
FGCHFFMF_00385	CDS	1308				hypothetical protein
FGCHFFMF_00386	CDS	789				hypothetical protein
FGCHFFMF_00387	CDS	273	acpP_2		COG0236	Acyl carrier protein
FGCHFFMF_00388	CDS	1248	fabB_1	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
FGCHFFMF_00389	CDS	1461				hypothetical protein
FGCHFFMF_00390	CDS	1236	fabB_2	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
FGCHFFMF_00391	CDS	627				hypothetical protein
FGCHFFMF_00392	CDS	546				hypothetical protein
FGCHFFMF_00393	CDS	717	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
FGCHFFMF_00394	CDS	1596		5.4.3.6		MIO-dependent tyrosine 2,3-aminomutase
FGCHFFMF_00395	tRNA	87				tRNA-Leu(cag)
FGCHFFMF_00396	CDS	2049	ispG	1.17.7.3		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)
FGCHFFMF_00397	CDS	786				hypothetical protein
FGCHFFMF_00398	CDS	1305	lutA			Lactate utilization protein A
FGCHFFMF_00399	CDS	2079				hypothetical protein
FGCHFFMF_00400	CDS	540				hypothetical protein
FGCHFFMF_00401	tRNA	73				tRNA-Thr(ggt)
FGCHFFMF_00402	CDS	1401	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
FGCHFFMF_00403	CDS	1842	dnaK_1			Chaperone protein DnaK
FGCHFFMF_00404	CDS	540	dnaJ_1			Chaperone protein DnaJ
FGCHFFMF_00405	CDS	1047	prfB_2			Peptide chain release factor 2
FGCHFFMF_00406	tRNA	77				tRNA-Val(tac)
FGCHFFMF_00407	CDS	423				hypothetical protein
FGCHFFMF_00408	CDS	462				hypothetical protein
FGCHFFMF_00409	CDS	777	rbn	3.1.26.11		Ribonuclease BN
FGCHFFMF_00410	CDS	1242				hypothetical protein
FGCHFFMF_00411	CDS	660				hypothetical protein
FGCHFFMF_00412	CDS	1653	rpsA		COG0539	30S ribosomal protein S1
FGCHFFMF_00413	CDS	627	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
FGCHFFMF_00414	CDS	690	cmk	2.7.4.25	COG0283	Cytidylate kinase
FGCHFFMF_00415	CDS	1320	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
FGCHFFMF_00416	CDS	849	tyrC	1.3.1.43		Cyclohexadienyl dehydrogenase
FGCHFFMF_00417	CDS	1068	pheA			Bifunctional chorismate mutase/prephenate dehydratase
FGCHFFMF_00418	CDS	834	rluB_2	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
FGCHFFMF_00419	CDS	681	scpB			Segregation and condensation protein B
FGCHFFMF_00420	CDS	813	scpA		COG1354	Segregation and condensation protein A
FGCHFFMF_00421	CDS	1011	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
FGCHFFMF_00422	CDS	657				hypothetical protein
FGCHFFMF_00423	CDS	879				hypothetical protein
FGCHFFMF_00424	CDS	1038	rfaQ_1	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
FGCHFFMF_00425	CDS	465				hypothetical protein
FGCHFFMF_00426	CDS	1032	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
FGCHFFMF_00427	CDS	642	mshB	3.5.1.103		1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
FGCHFFMF_00428	CDS	645				putative protein
FGCHFFMF_00429	CDS	174				hypothetical protein
FGCHFFMF_00430	CDS	1209				hypothetical protein
FGCHFFMF_00431	CDS	345				hypothetical protein
FGCHFFMF_00432	CDS	501				hypothetical protein
FGCHFFMF_00433	tRNA	86				tRNA-Met(cat)
FGCHFFMF_00434	CDS	567	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
FGCHFFMF_00435	CDS	1053	pyk	2.7.1.40		Pyruvate kinase
FGCHFFMF_00436	CDS	555				hypothetical protein
FGCHFFMF_00437	CDS	1110				hypothetical protein
FGCHFFMF_00438	CDS	348	mazF	3.1.-.-		Endoribonuclease MazF
FGCHFFMF_00439	CDS	300				hypothetical protein
FGCHFFMF_00440	CDS	339				hypothetical protein
FGCHFFMF_00441	CDS	231				hypothetical protein
FGCHFFMF_00442	CDS	537				hypothetical protein
FGCHFFMF_00443	CDS	1224	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
FGCHFFMF_00444	CDS	1317	mtnW	5.3.2.5	COG1850	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
FGCHFFMF_00445	CDS	876	lipA	2.8.1.8	COG0320	Lipoyl synthase
FGCHFFMF_00446	CDS	2700	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
FGCHFFMF_00447	CDS	1356	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
FGCHFFMF_00448	CDS	1755	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
FGCHFFMF_00449	CDS	2481		7.2.2.10		Calcium-transporting ATPase 1
FGCHFFMF_00450	CDS	987				hypothetical protein
FGCHFFMF_00451	CDS	909	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
FGCHFFMF_00452	CDS	573	lptC			Lipopolysaccharide export system protein LptC
FGCHFFMF_00453	CDS	774	lptD_1			LPS-assembly protein LptD
FGCHFFMF_00454	CDS	780	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
FGCHFFMF_00455	CDS	1962				hypothetical protein
FGCHFFMF_00456	CDS	996	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase ManA
FGCHFFMF_00457	CDS	456				hypothetical protein
FGCHFFMF_00458	CDS	2994	bamB			Outer membrane protein assembly factor BamB
FGCHFFMF_00459	CDS	768		1.-.-.-	COG1028	putative oxidoreductase
FGCHFFMF_00460	CDS	2157	clpB1		COG0542	Chaperone protein ClpB 1
FGCHFFMF_00461	CDS	621				hypothetical protein
FGCHFFMF_00462	CDS	1446				hypothetical protein
FGCHFFMF_00463	CDS	1518	mdtB			Multidrug resistance protein MdtB
FGCHFFMF_00464	CDS	1629	ttgB			Toluene efflux pump membrane transporter TtgB
FGCHFFMF_00465	CDS	1854				hypothetical protein
FGCHFFMF_00466	CDS	846				hypothetical protein
FGCHFFMF_00467	CDS	795	lpxA_1	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
FGCHFFMF_00468	CDS	843	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
FGCHFFMF_00469	CDS	1044			COG2220	putative protein
FGCHFFMF_00470	CDS	459				hypothetical protein
FGCHFFMF_00471	CDS	1134				hypothetical protein
FGCHFFMF_00472	CDS	1308				hypothetical protein
FGCHFFMF_00473	CDS	906				hypothetical protein
FGCHFFMF_00474	CDS	231				hypothetical protein
FGCHFFMF_00475	CDS	327				hypothetical protein
FGCHFFMF_00476	CDS	342				hypothetical protein
FGCHFFMF_00477	CDS	2709				hypothetical protein
FGCHFFMF_00478	CDS	1131				hypothetical protein
FGCHFFMF_00479	CDS	822	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
FGCHFFMF_00480	CDS	531				hypothetical protein
FGCHFFMF_00481	CDS	1233				hypothetical protein
FGCHFFMF_00482	CDS	1848	typA		COG1217	GTP-binding protein TypA/BipA
FGCHFFMF_00483	CDS	942				hypothetical protein
FGCHFFMF_00484	CDS	663	tldD	3.4.-.-	COG0312	Metalloprotease TldD
FGCHFFMF_00485	CDS	1338				hypothetical protein
FGCHFFMF_00486	CDS	1578				hypothetical protein
FGCHFFMF_00487	CDS	141				hypothetical protein
FGCHFFMF_00488	CDS	1251	tetA			Tetracycline resistance protein, class C
FGCHFFMF_00489	CDS	1317				hypothetical protein
FGCHFFMF_00490	CDS	570	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
FGCHFFMF_00491	CDS	738	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
FGCHFFMF_00492	CDS	342				hypothetical protein
FGCHFFMF_00493	CDS	1323				hypothetical protein
FGCHFFMF_00494	CDS	1002				hypothetical protein
FGCHFFMF_00495	CDS	1005	iolS_2	1.1.1.-	COG0667	Aldo-keto reductase IolS
FGCHFFMF_00496	CDS	2406	ctpF	3.6.3.-	COG0474	putative cation-transporting ATPase F
FGCHFFMF_00497	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
FGCHFFMF_00498	CDS	1401	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
FGCHFFMF_00499	CDS	897	cynR			HTH-type transcriptional regulator CynR
FGCHFFMF_00500	CDS	945	lacC	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
FGCHFFMF_00501	CDS	861				hypothetical protein
FGCHFFMF_00502	CDS	678				hypothetical protein
FGCHFFMF_00503	CDS	792				hypothetical protein
FGCHFFMF_00504	CDS	279	hup_1			DNA-binding protein HU
FGCHFFMF_00505	CDS	1992	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
FGCHFFMF_00506	CDS	306				hypothetical protein
FGCHFFMF_00507	CDS	942				hypothetical protein
FGCHFFMF_00508	CDS	1305				hypothetical protein
FGCHFFMF_00509	CDS	1347	der_2			GTPase Der
FGCHFFMF_00510	CDS	711	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
FGCHFFMF_00511	CDS	1017	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
FGCHFFMF_00512	CDS	552				hypothetical protein
FGCHFFMF_00513	CDS	1530				hypothetical protein
FGCHFFMF_00514	tRNA	75				tRNA-Pro(ggg)
FGCHFFMF_00515	tRNA	75				tRNA-Pro(cgg)
FGCHFFMF_00516	CDS	783				hypothetical protein
FGCHFFMF_00517	CDS	897	sigA		COG0568	RNA polymerase sigma factor SigA
FGCHFFMF_00518	CDS	519	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
FGCHFFMF_00519	CDS	927				hypothetical protein
FGCHFFMF_00520	tRNA	77				tRNA-Arg(cct)
FGCHFFMF_00521	CDS	537				hypothetical protein
FGCHFFMF_00522	CDS	771				hypothetical protein
FGCHFFMF_00523	CDS	741				hypothetical protein
FGCHFFMF_00524	tRNA	76				tRNA-Ala(ggc)
FGCHFFMF_00525	CDS	1026	ilvD_2	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
FGCHFFMF_00526	CDS	495	ilvH	2.2.1.6	COG0440	Acetolactate synthase small subunit
FGCHFFMF_00527	CDS	1056		1.1.1.382	COG0059	Ketol-acid reductoisomerase (NAD(+))
FGCHFFMF_00528	CDS	699				hypothetical protein
FGCHFFMF_00529	CDS	1536	leuA_2	2.3.3.13	COG0119	2-isopropylmalate synthase
FGCHFFMF_00530	CDS	1098	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
FGCHFFMF_00531	CDS	366				hypothetical protein
FGCHFFMF_00532	CDS	273				hypothetical protein
FGCHFFMF_00533	CDS	315				hypothetical protein
FGCHFFMF_00534	CDS	2229				hypothetical protein
FGCHFFMF_00535	CDS	810	truA_1	5.4.99.12	COG0101	tRNA pseudouridine synthase A
FGCHFFMF_00536	CDS	456	rplM		COG0102	50S ribosomal protein L13
FGCHFFMF_00537	CDS	402	rpsI		COG0103	30S ribosomal protein S9
FGCHFFMF_00538	CDS	423	mraZ			Transcriptional regulator MraZ
FGCHFFMF_00539	CDS	354				hypothetical protein
FGCHFFMF_00540	CDS	936	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
FGCHFFMF_00541	CDS	402	ftsL			Cell division protein FtsL
FGCHFFMF_00542	CDS	1995	penA	3.4.16.4	COG0768	putative peptidoglycan D,D-transpeptidase PenA
FGCHFFMF_00543	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
FGCHFFMF_00544	CDS	1404	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
FGCHFFMF_00545	CDS	192				hypothetical protein
FGCHFFMF_00546	CDS	612	leuA_3	2.3.3.13		2-isopropylmalate synthase
FGCHFFMF_00547	CDS	549				hypothetical protein
FGCHFFMF_00548	CDS	342				hypothetical protein
FGCHFFMF_00549	CDS	432	arsC	1.20.4.4	COG0394	Arsenate reductase
FGCHFFMF_00550	CDS	1056	acr3		COG0798	Arsenical-resistance protein Acr3
FGCHFFMF_00551	CDS	2682	btuB_1			Vitamin B12 transporter BtuB
FGCHFFMF_00552	CDS	2346				hypothetical protein
FGCHFFMF_00553	CDS	630	tolQ_2		COG0811	Tol-Pal system protein TolQ
FGCHFFMF_00554	CDS	405	tolR			Tol-Pal system protein TolR
FGCHFFMF_00555	CDS	621				hypothetical protein
FGCHFFMF_00556	CDS	483				hypothetical protein
FGCHFFMF_00557	tRNA	90				tRNA-Ser(tga)
FGCHFFMF_00558	CDS	705	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
FGCHFFMF_00559	CDS	2088				hypothetical protein
FGCHFFMF_00560	CDS	1302				hypothetical protein
FGCHFFMF_00561	CDS	777				hypothetical protein
FGCHFFMF_00562	CDS	1461				hypothetical protein
FGCHFFMF_00563	CDS	645				hypothetical protein
FGCHFFMF_00564	CDS	732				hypothetical protein
FGCHFFMF_00565	CDS	744	ybhF_1		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
FGCHFFMF_00566	CDS	906	ybhF_2		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
FGCHFFMF_00567	CDS	1110	ybhS		COG0842	putative multidrug ABC transporter permease YbhS
FGCHFFMF_00568	CDS	1089	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
FGCHFFMF_00569	CDS	2736	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
FGCHFFMF_00570	CDS	720				hypothetical protein
FGCHFFMF_00571	CDS	675				hypothetical protein
FGCHFFMF_00572	CDS	360				hypothetical protein
FGCHFFMF_00573	CDS	990	lapB			Lipopolysaccharide assembly protein B
FGCHFFMF_00574	CDS	1482				hypothetical protein
FGCHFFMF_00575	CDS	1221				hypothetical protein
FGCHFFMF_00576	CDS	2043				hypothetical protein
FGCHFFMF_00577	CDS	1092	tagO	2.7.8.33	COG0472	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase
FGCHFFMF_00578	CDS	882				hypothetical protein
FGCHFFMF_00579	CDS	1338				hypothetical protein
FGCHFFMF_00580	CDS	441	cymR_1			HTH-type transcriptional regulator CymR
FGCHFFMF_00581	CDS	927	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
FGCHFFMF_00582	CDS	1296		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
FGCHFFMF_00583	CDS	1149	metXA_1	2.3.1.31	COG2021	Homoserine O-acetyltransferase
FGCHFFMF_00584	CDS	612	metXA_2		COG0500	Bifunctional methionine biosynthesis protein MetXA/MetW
FGCHFFMF_00585	CDS	1173	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
FGCHFFMF_00586	CDS	1206				hypothetical protein
FGCHFFMF_00587	CDS	1113	ycf3_1			Photosystem I assembly protein Ycf3
FGCHFFMF_00588	CDS	423	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
FGCHFFMF_00589	CDS	405				hypothetical protein
FGCHFFMF_00590	CDS	900				hypothetical protein
FGCHFFMF_00591	CDS	1923				hypothetical protein
FGCHFFMF_00592	CDS	459				hypothetical protein
FGCHFFMF_00593	CDS	420				hypothetical protein
FGCHFFMF_00594	CDS	1584	thyX	2.1.1.148		Flavin-dependent thymidylate synthase
FGCHFFMF_00595	CDS	816				hypothetical protein
FGCHFFMF_00596	CDS	669				hypothetical protein
FGCHFFMF_00597	CDS	3099				hypothetical protein
FGCHFFMF_00598	tRNA	77				tRNA-Val(cac)
FGCHFFMF_00599	CDS	198	swrD		COG1582	Swarming motility protein SwrD
FGCHFFMF_00600	CDS	813	pomA		COG1291	Chemotaxis protein PomA
FGCHFFMF_00601	CDS	789	motB		COG1360	Motility protein B
FGCHFFMF_00602	CDS	471				hypothetical protein
FGCHFFMF_00603	CDS	1023	fliM		COG1868	Flagellar motor switch protein FliM
FGCHFFMF_00604	CDS	972				hypothetical protein
FGCHFFMF_00605	CDS	615				hypothetical protein
FGCHFFMF_00606	CDS	756	fliP		COG1338	Flagellar biosynthetic protein FliP
FGCHFFMF_00607	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
FGCHFFMF_00608	CDS	801	fliR		COG1684	Flagellar biosynthetic protein FliR
FGCHFFMF_00609	CDS	1128	flhB		COG1377	Flagellar biosynthetic protein FlhB
FGCHFFMF_00610	CDS	2115	flhA		COG1298	Flagellar biosynthesis protein FlhA
FGCHFFMF_00611	CDS	1263	flhF		COG1419	Flagellar biosynthesis protein FlhF
FGCHFFMF_00612	CDS	927	ylxH		COG0455	Flagellum site-determining protein YlxH
FGCHFFMF_00613	CDS	438				hypothetical protein
FGCHFFMF_00614	CDS	774	sigD		COG1191	RNA polymerase sigma-D factor
FGCHFFMF_00615	CDS	1671				hypothetical protein
FGCHFFMF_00616	CDS	333				hypothetical protein
FGCHFFMF_00617	CDS	705				hypothetical protein
FGCHFFMF_00618	CDS	2121				hypothetical protein
FGCHFFMF_00619	CDS	318				hypothetical protein
FGCHFFMF_00620	CDS	1203				hypothetical protein
FGCHFFMF_00621	CDS	654				hypothetical protein
FGCHFFMF_00622	CDS	873	nadK	2.7.1.23	COG0061	NAD kinase
FGCHFFMF_00623	CDS	1038				hypothetical protein
FGCHFFMF_00624	CDS	1689	recN		COG0497	DNA repair protein RecN
FGCHFFMF_00625	CDS	1449				hypothetical protein
FGCHFFMF_00626	CDS	3501				hypothetical protein
FGCHFFMF_00627	CDS	1170				hypothetical protein
FGCHFFMF_00628	CDS	1035				hypothetical protein
FGCHFFMF_00629	CDS	1542				hypothetical protein
FGCHFFMF_00630	CDS	630				hypothetical protein
FGCHFFMF_00631	CDS	1395				hypothetical protein
FGCHFFMF_00632	CDS	825				hypothetical protein
FGCHFFMF_00633	CDS	1308				hypothetical protein
FGCHFFMF_00634	CDS	3171	mdtC_1			Multidrug resistance protein MdtC
FGCHFFMF_00635	CDS	489				hypothetical protein
FGCHFFMF_00636	CDS	861				hypothetical protein
FGCHFFMF_00637	CDS	876				hypothetical protein
FGCHFFMF_00638	CDS	756				hypothetical protein
FGCHFFMF_00639	CDS	624				hypothetical protein
FGCHFFMF_00640	CDS	720				hypothetical protein
FGCHFFMF_00641	CDS	1068	xerC_1		COG4973	Tyrosine recombinase XerC
FGCHFFMF_00642	CDS	324		2.8.1.-	COG0607	Sulfurtransferase
FGCHFFMF_00643	CDS	1149	fabH_1	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
FGCHFFMF_00644	CDS	228				hypothetical protein
FGCHFFMF_00645	CDS	459				hypothetical protein
FGCHFFMF_00646	CDS	819				hypothetical protein
FGCHFFMF_00647	CDS	408	hspA		COG0071	Spore protein SP21
FGCHFFMF_00648	tRNA	75				tRNA-Gly(ccc)
FGCHFFMF_00649	CDS	2211				hypothetical protein
FGCHFFMF_00650	CDS	747				hypothetical protein
FGCHFFMF_00651	CDS	855				hypothetical protein
FGCHFFMF_00652	CDS	453				hypothetical protein
FGCHFFMF_00653	CDS	129				hypothetical protein
FGCHFFMF_00654	CDS	423				hypothetical protein
FGCHFFMF_00655	CDS	444				hypothetical protein
FGCHFFMF_00656	CDS	612				hypothetical protein
FGCHFFMF_00657	CDS	2070				hypothetical protein
FGCHFFMF_00658	CDS	762				hypothetical protein
FGCHFFMF_00659	CDS	690				hypothetical protein
FGCHFFMF_00660	CDS	477				hypothetical protein
FGCHFFMF_00661	CDS	1065				hypothetical protein
FGCHFFMF_00662	CDS	453				hypothetical protein
FGCHFFMF_00663	CDS	207				hypothetical protein
FGCHFFMF_00664	CDS	987	sctC_1			Type 3 secretion system secretin
FGCHFFMF_00665	CDS	1005				hypothetical protein
FGCHFFMF_00666	CDS	306				hypothetical protein
FGCHFFMF_00667	CDS	546		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
FGCHFFMF_00668	CDS	435				hypothetical protein
FGCHFFMF_00669	CDS	561				hypothetical protein
FGCHFFMF_00670	CDS	1977				hypothetical protein
FGCHFFMF_00671	CDS	339	glnB_1		COG0347	Nitrogen regulatory protein P-II
FGCHFFMF_00672	CDS	2166	glnA_2	6.3.1.2		Glutamine synthetase
FGCHFFMF_00673	CDS	1068	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
FGCHFFMF_00674	CDS	1332	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
FGCHFFMF_00675	CDS	1968	kimA		COG0531	Potassium transporter KimA
FGCHFFMF_00676	CDS	738				hypothetical protein
FGCHFFMF_00677	CDS	975	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
FGCHFFMF_00678	CDS	2031	tkt	2.2.1.1		Transketolase
FGCHFFMF_00679	CDS	1260	tyrS	6.1.1.1		Tyrosine--tRNA ligase
FGCHFFMF_00680	CDS	696				hypothetical protein
FGCHFFMF_00681	CDS	1311				hypothetical protein
FGCHFFMF_00682	CDS	372				hypothetical protein
FGCHFFMF_00683	CDS	948				hypothetical protein
FGCHFFMF_00684	CDS	987				hypothetical protein
FGCHFFMF_00685	CDS	882			COG1721	putative protein
FGCHFFMF_00686	CDS	1062				hypothetical protein
FGCHFFMF_00687	CDS	1758				hypothetical protein
FGCHFFMF_00688	CDS	795				hypothetical protein
FGCHFFMF_00689	CDS	456				hypothetical protein
FGCHFFMF_00690	CDS	327	yciH		COG0023	putative protein YciH
FGCHFFMF_00691	CDS	819	cof	3.6.1.-		HMP-PP phosphatase
FGCHFFMF_00692	CDS	696				hypothetical protein
FGCHFFMF_00693	CDS	726	trmL	2.1.1.207		tRNA (cytidine(34)-2'-O)-methyltransferase
FGCHFFMF_00694	CDS	351				hypothetical protein
FGCHFFMF_00695	CDS	366				hypothetical protein
FGCHFFMF_00696	CDS	396				hypothetical protein
FGCHFFMF_00697	CDS	903	speE_1	2.5.1.104	COG0421	Polyamine aminopropyltransferase
FGCHFFMF_00698	CDS	2145	ppk	2.7.4.1		Polyphosphate kinase
FGCHFFMF_00699	CDS	816				hypothetical protein
FGCHFFMF_00700	CDS	1146				hypothetical protein
FGCHFFMF_00701	tRNA	86				tRNA-Ile(gat)
FGCHFFMF_00702	CDS	1062				hypothetical protein
FGCHFFMF_00703	CDS	888	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
FGCHFFMF_00704	CDS	1422				hypothetical protein
FGCHFFMF_00705	tRNA	78				tRNA-Val(gac)
FGCHFFMF_00706	CDS	984				hypothetical protein
FGCHFFMF_00707	CDS	1422				hypothetical protein
FGCHFFMF_00708	CDS	1797				hypothetical protein
FGCHFFMF_00709	CDS	2232				hypothetical protein
FGCHFFMF_00710	CDS	2247				hypothetical protein
FGCHFFMF_00711	CDS	1905				hypothetical protein
FGCHFFMF_00712	CDS	2736	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
FGCHFFMF_00713	CDS	2133	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
FGCHFFMF_00714	CDS	939	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
FGCHFFMF_00715	CDS	669				hypothetical protein
FGCHFFMF_00716	CDS	1455				hypothetical protein
FGCHFFMF_00717	CDS	3219	mdtC_2			Multidrug resistance protein MdtC
FGCHFFMF_00718	CDS	207	cspLA		COG1278	Cold shock-like protein CspLA
FGCHFFMF_00719	CDS	699	cysG_1	4.99.1.4		Siroheme synthase
FGCHFFMF_00720	CDS	1644	pfp_2	2.7.1.90	COG0205	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
FGCHFFMF_00721	CDS	369				hypothetical protein
FGCHFFMF_00722	CDS	2409	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
FGCHFFMF_00723	CDS	192	rpmB		COG0227	50S ribosomal protein L28
FGCHFFMF_00724	CDS	381			COG0251	RutC family protein
FGCHFFMF_00725	CDS	2334	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
FGCHFFMF_00726	CDS	648				hypothetical protein
FGCHFFMF_00727	CDS	651				hypothetical protein
FGCHFFMF_00728	CDS	1122	garK	2.7.1.165	COG1929	Glycerate 2-kinase
FGCHFFMF_00729	CDS	1920	thrZ	6.1.1.3	COG0441	Threonine--tRNA ligase 2
FGCHFFMF_00730	CDS	759				hypothetical protein
FGCHFFMF_00731	CDS	699	psd	4.1.1.65		Phosphatidylserine decarboxylase proenzyme
FGCHFFMF_00732	CDS	1122				hypothetical protein
FGCHFFMF_00733	CDS	909	secF		COG0341	Protein translocase subunit SecF
FGCHFFMF_00734	CDS	1353	secDF		COG0341	Protein translocase subunit SecDF
FGCHFFMF_00735	CDS	5580				hypothetical protein
FGCHFFMF_00736	CDS	423				hypothetical protein
FGCHFFMF_00737	CDS	951	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase
FGCHFFMF_00738	CDS	1227	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
FGCHFFMF_00739	CDS	882	argB	2.7.2.8	COG0548	Acetylglutamate kinase
FGCHFFMF_00740	CDS	1341	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
