	locus_tag	ftype	length_bp	gene	EC_number	COG	product	COG_category_ID	COG_name	COG_Gene	COG_pathway	PubMed_ID	PDB_ID	Hexadecimal	COG_category_desc
389	FGCHFFMF_00374	CDS	1056				hypothetical protein								
390	FGCHFFMF_00375	CDS	1179	fabF_1	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2								
391	FGCHFFMF_00376	CDS	258	acpP_1			Acyl carrier protein								
392	FGCHFFMF_00377	CDS	963				hypothetical protein								
393	FGCHFFMF_00378	CDS	1197				hypothetical protein								
394	FGCHFFMF_00379	CDS	1359				hypothetical protein								
395	FGCHFFMF_00380	CDS	1287	bchR	2.1.1.331	COG1032	Bacteriochlorophyllide d C-12(1)-methyltransferase	R	Radical SAM superfamily enzyme YgiQ, UPF0313 family	YgiQ			6FD2	E0E0E0	General function prediction only
396	FGCHFFMF_00381	CDS	675				hypothetical protein								
397	FGCHFFMF_00382	CDS	1119	fabF_2	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2	Q	3-oxoacyl-(acyl-carrier-protein) synthase	FabB	Fatty acid biosynthesis	21652641	2UV8	BCCCFC	Secondary metabolites biosynthesis, transport and catabolism
398	FGCHFFMF_00382	CDS	1119	fabF_2	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2	I	3-oxoacyl-(acyl-carrier-protein) synthase	FabB	Fatty acid biosynthesis	21652641	2UV8	DCCCFC	Lipid transport and metabolism
399	FGCHFFMF_00383	CDS	474				hypothetical protein								
400	FGCHFFMF_00384	CDS	900				hypothetical protein								
401	FGCHFFMF_00385	CDS	1308				hypothetical protein								
402	FGCHFFMF_00386	CDS	789				hypothetical protein								
403	FGCHFFMF_00387	CDS	273	acpP_2		COG0236	Acyl carrier protein	I	Acyl carrier protein	AcpP	Fatty acid biosynthesis		1ACP	DCCCFC	Lipid transport and metabolism
404	FGCHFFMF_00388	CDS	1248	fabB_1	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1								
405	FGCHFFMF_00389	CDS	1461				hypothetical protein								
406	FGCHFFMF_00390	CDS	1236	fabB_2	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1								
407	FGCHFFMF_00391	CDS	627				hypothetical protein								
408	FGCHFFMF_00392	CDS	546				hypothetical protein								
409	FGCHFFMF_00393	CDS	717	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG								
410	FGCHFFMF_00394	CDS	1596		5.4.3.6		MIO-dependent tyrosine 2,3-aminomutase								
411	FGCHFFMF_00395	tRNA	87				tRNA-Leu(cag)								
412	FGCHFFMF_00396	CDS	2049	ispG	1.17.7.3		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)								
413	FGCHFFMF_00397	CDS	786				hypothetical protein								
414	FGCHFFMF_00398	CDS	1305	lutA			Lactate utilization protein A								
415	FGCHFFMF_00399	CDS	2079				hypothetical protein								
416	FGCHFFMF_00400	CDS	540				hypothetical protein								
417	FGCHFFMF_00401	tRNA	73				tRNA-Thr(ggt)								
418	FGCHFFMF_00402	CDS	1401	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase	E	Isopropylmalate/homocitrate/citramalate synthases	LeuA	Isoleucine, leucine, valine biosynthesis		4JN6	DCFCFC	Amino acid transport and metabolism
419	FGCHFFMF_00403	CDS	1842	dnaK_1			Chaperone protein DnaK								
420	FGCHFFMF_00404	CDS	540	dnaJ_1			Chaperone protein DnaJ								
421	FGCHFFMF_00405	CDS	1047	prfB_2			Peptide chain release factor 2								
422	FGCHFFMF_00406	tRNA	77				tRNA-Val(tac)								
423	FGCHFFMF_00407	CDS	423				hypothetical protein								
424	FGCHFFMF_00408	CDS	462				hypothetical protein								
425	FGCHFFMF_00409	CDS	777	rbn	3.1.26.11		Ribonuclease BN								
426	FGCHFFMF_00410	CDS	1242				hypothetical protein								
427	FGCHFFMF_00411	CDS	660				hypothetical protein								
428	FGCHFFMF_00412	CDS	1653	rpsA		COG0539	30S ribosomal protein S1	J	Ribosomal protein S1	RpsA	Ribosome 30S subunit		4NNH	FCCCFC	Translation, ribosomal structure and biogenesis
429	FGCHFFMF_00413	CDS	627	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase	I	1-acyl-sn-glycerol-3-phosphate acyltransferase	PlsC	Phospholipid biosynthesis		1IUQ	DCCCFC	Lipid transport and metabolism
430	FGCHFFMF_00414	CDS	690	cmk	2.7.4.25	COG0283	Cytidylate kinase	F	Cytidylate kinase	Cmk		19111750;25691594;28928205	3R20	DCECFC	Nucleotide transport and metabolism
431	FGCHFFMF_00415	CDS	1320	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase	E	5-enolpyruvylshikimate-3-phosphate synthase	AroA	Aromatic amino acid biosynthesis		4N3P	DCFCFC	Amino acid transport and metabolism
432	FGCHFFMF_00416	CDS	849	tyrC	1.3.1.43		Cyclohexadienyl dehydrogenase								
433	FGCHFFMF_00417	CDS	1068	pheA			Bifunctional chorismate mutase/prephenate dehydratase								
434	FGCHFFMF_00418	CDS	834	rluB_2	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B	J	Pseudouridylate synthase RsuA, specific for 16S rRNA U516  and 23S rRNA U2605	RsuA	16S rRNA modification		1KSK	FCCCFC	Translation, ribosomal structure and biogenesis
435	FGCHFFMF_00419	CDS	681	scpB			Segregation and condensation protein B								
436	FGCHFFMF_00420	CDS	813	scpA		COG1354	Segregation and condensation protein A	L	Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family	ScpA			3W6J	FCDCDC	Replication, recombination and repair
437	FGCHFFMF_00421	CDS	1011	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase	J	Tryptophanyl-tRNA synthetase	TrpS	Aminoacyl-tRNA synthetases		3N9I	FCCCFC	Translation, ribosomal structure and biogenesis
438	FGCHFFMF_00422	CDS	657				hypothetical protein								
439	FGCHFFMF_00423	CDS	879				hypothetical protein								
440	FGCHFFMF_00424	CDS	1038	rfaQ_1	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ	M	ADP-heptose:LPS heptosyltransferase	RfaF			1PSW	ECFCAC	Cell wall/membrane/envelope biogenesis
441	FGCHFFMF_00425	CDS	465				hypothetical protein								
442	FGCHFFMF_00426	CDS	1032	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB	L	Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit RuvB	RuvB			1HQC	FCDCDC	Replication, recombination and repair
443	FGCHFFMF_00427	CDS	642	mshB	3.5.1.103		1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase								
444	FGCHFFMF_00428	CDS	645				putative protein								
445	FGCHFFMF_00429	CDS	174				hypothetical protein								
446	FGCHFFMF_00430	CDS	1209				hypothetical protein								
447	FGCHFFMF_00431	CDS	345				hypothetical protein								
448	FGCHFFMF_00432	CDS	501				hypothetical protein								
449	FGCHFFMF_00433	tRNA	86				tRNA-Met(cat)								
450	FGCHFFMF_00434	CDS	567	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C	V	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	AhpC			2RII	FCFCBC	Defense mechanisms
451	FGCHFFMF_00435	CDS	1053	pyk	2.7.1.40		Pyruvate kinase								
452	FGCHFFMF_00436	CDS	555				hypothetical protein								
453	FGCHFFMF_00437	CDS	1110				hypothetical protein								
454	FGCHFFMF_00438	CDS	348	mazF	3.1.-.-		Endoribonuclease MazF								
455	FGCHFFMF_00439	CDS	300				hypothetical protein								
456	FGCHFFMF_00440	CDS	339				hypothetical protein								
457	FGCHFFMF_00441	CDS	231				hypothetical protein								
458	FGCHFFMF_00442	CDS	537				hypothetical protein								
459	FGCHFFMF_00443	CDS	1224	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase	R	Predicted flavoprotein YhiN	YhiN			3V76	E0E0E0	General function prediction only
460	FGCHFFMF_00444	CDS	1317	mtnW	5.3.2.5	COG1850	2,3-diketo-5-methylthiopentyl-1-phosphate enolase	G	Ribulose 1,5-bisphosphate carboxylase, large subunit, or a RuBisCO-like protein	RbcL			2YBV	CCFCFC	Carbohydrate transport and metabolism
461	FGCHFFMF_00445	CDS	876	lipA	2.8.1.8	COG0320	Lipoyl synthase	H	Lipoate synthase	LipA	Lipoate biosynthesis	27941785	4U0O	DCDCFC	Coenzyme transport and metabolism
462	FGCHFFMF_00446	CDS	2700	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component	C	Pyruvate dehydrogenase complex, dehydrogenase (E1) component	AceE	Pyruvate oxidation		1L8A	BCFCFC	Energy production and conversion
463	FGCHFFMF_00447	CDS	1356	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	C	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component	AceF	Pyruvate oxidation		1B5S	BCFCFC	Energy production and conversion
464	FGCHFFMF_00448	CDS	1755	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase	C	Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase	Lpd	Glycine cleavagePyruvate oxidation		6QKG	BCFCFC	Energy production and conversion
465	FGCHFFMF_00449	CDS	2481		7.2.2.10		Calcium-transporting ATPase 1								
466	FGCHFFMF_00450	CDS	987				hypothetical protein								
467	FGCHFFMF_00451	CDS	909	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase	I	Palmitoleoyl-ACP: Kdo2-lipid-IV acyltransferase (lipid A biosynthesis)	LpxP	Lipid A biosynthesis	11830595	5F2T	DCCCFC	Lipid transport and metabolism
468	FGCHFFMF_00452	CDS	573	lptC			Lipopolysaccharide export system protein LptC								
469	FGCHFFMF_00453	CDS	774	lptD_1			LPS-assembly protein LptD								
470	FGCHFFMF_00454	CDS	780	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB	M	ABC-type lipopolysaccharide export system, ATPase component	LptB		12029038	5L75	ECFCAC	Cell wall/membrane/envelope biogenesis
471	FGCHFFMF_00455	CDS	1962				hypothetical protein								
472	FGCHFFMF_00456	CDS	996	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase ManA	G	Mannose-6-phosphate isomerase, class I	ManA			1PMI	CCFCFC	Carbohydrate transport and metabolism
473	FGCHFFMF_00457	CDS	456				hypothetical protein								
474	FGCHFFMF_00458	CDS	2994	bamB			Outer membrane protein assembly factor BamB								
475	FGCHFFMF_00459	CDS	768		1.-.-.-	COG1028	putative oxidoreductase	I	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	FabG	Fatty acid biosynthesis		6L1H	DCCCFC	Lipid transport and metabolism
476	FGCHFFMF_00460	CDS	2157	clpB1		COG0542	Chaperone protein ClpB 1	O	ATP-dependent Clp protease, ATP-binding subunit ClpA	ClpA			1KSF	9CFCAC	Posttranslational modification, protein turnover, chaperones
477	FGCHFFMF_00461	CDS	621				hypothetical protein								
478	FGCHFFMF_00462	CDS	1446				hypothetical protein								
479	FGCHFFMF_00463	CDS	1518	mdtB			Multidrug resistance protein MdtB								
480	FGCHFFMF_00464	CDS	1629	ttgB			Toluene efflux pump membrane transporter TtgB								
481	FGCHFFMF_00465	CDS	1854				hypothetical protein								
482	FGCHFFMF_00466	CDS	846				hypothetical protein								
483	FGCHFFMF_00467	CDS	795	lpxA_1	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase								
484	FGCHFFMF_00468	CDS	843	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase	F	Formyltetrahydrofolate hydrolase	PurU	Purine biosynthesis		3O1L	DCECFC	Nucleotide transport and metabolism
485	FGCHFFMF_00469	CDS	1044			COG2220	putative protein	G	L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily	UlaG			2WYM	CCFCFC	Carbohydrate transport and metabolism
486	FGCHFFMF_00470	CDS	459				hypothetical protein								
487	FGCHFFMF_00471	CDS	1134				hypothetical protein								
488	FGCHFFMF_00472	CDS	1308				hypothetical protein								
489	FGCHFFMF_00473	CDS	906				hypothetical protein								
490	FGCHFFMF_00474	CDS	231				hypothetical protein								
491	FGCHFFMF_00475	CDS	327				hypothetical protein								
492	FGCHFFMF_00476	CDS	342				hypothetical protein								
493	FGCHFFMF_00477	CDS	2709				hypothetical protein								
494	FGCHFFMF_00478	CDS	1131				hypothetical protein								
495	FGCHFFMF_00479	CDS	822	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU	H	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases	Cof			1YMQ	DCDCFC	Coenzyme transport and metabolism
496	FGCHFFMF_00479	CDS	822	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU	R	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases	Cof			1YMQ	E0E0E0	General function prediction only
497	FGCHFFMF_00480	CDS	531				hypothetical protein								
498	FGCHFFMF_00481	CDS	1233				hypothetical protein								
499	FGCHFFMF_00482	CDS	1848	typA		COG1217	GTP-binding protein TypA/BipA	T	Predicted membrane GTPase TypA/BipA involved in stress response	TypA			5A9V	FCFCAC	Signal transduction mechanisms
500	FGCHFFMF_00483	CDS	942				hypothetical protein								
501	FGCHFFMF_00484	CDS	663	tldD	3.4.-.-	COG0312	Metalloprotease TldD	R	Zn-dependent protease PmbA/TldA or its inactivated homolog	TldD		12029038	3TV9	E0E0E0	General function prediction only
502	FGCHFFMF_00485	CDS	1338				hypothetical protein								
503	FGCHFFMF_00486	CDS	1578				hypothetical protein								
504	FGCHFFMF_00487	CDS	141				hypothetical protein								
505	FGCHFFMF_00488	CDS	1251	tetA			Tetracycline resistance protein, class C								
506	FGCHFFMF_00489	CDS	1317				hypothetical protein								
507	FGCHFFMF_00490	CDS	570	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE								
508	FGCHFFMF_00491	CDS	738	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG								
509	FGCHFFMF_00492	CDS	342				hypothetical protein								
510	FGCHFFMF_00493	CDS	1323				hypothetical protein								
511	FGCHFFMF_00494	CDS	1002				hypothetical protein								
512	FGCHFFMF_00495	CDS	1005	iolS_2	1.1.1.-	COG0667	Aldo-keto reductase IolS	R	Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family	PdxI		32253339	1LQA	E0E0E0	General function prediction only
513	FGCHFFMF_00495	CDS	1005	iolS_2	1.1.1.-	COG0667	Aldo-keto reductase IolS	H	Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family	PdxI		32253339	1LQA	DCDCFC	Coenzyme transport and metabolism
514	FGCHFFMF_00496	CDS	2406	ctpF	3.6.3.-	COG0474	putative cation-transporting ATPase F	P	Magnesium-transporting ATPase (P-type)	MgtA			1IWO	CCCCFC	Inorganic ion transport and metabolism
515	FGCHFFMF_00497	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit	E	3-isopropylmalate dehydratase small subunit	LeuD	Isoleucine, leucine, valine biosynthesis		3Q3W	DCFCFC	Amino acid transport and metabolism
516	FGCHFFMF_00498	CDS	1401	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit	E	Homoaconitase/3-isopropylmalate dehydratase large subunit	LeuC	Isoleucine, leucine, valine biosynthesis		4KP1	DCFCFC	Amino acid transport and metabolism
517	FGCHFFMF_00499	CDS	897	cynR			HTH-type transcriptional regulator CynR								
518	FGCHFFMF_00500	CDS	945	lacC	2.7.1.144	COG1105	Tagatose-6-phosphate kinase	G	1-phosphofructokinase or 6-phosphofructokinase II	FruK			2ABQ	CCFCFC	Carbohydrate transport and metabolism
519	FGCHFFMF_00501	CDS	861				hypothetical protein								
520	FGCHFFMF_00502	CDS	678				hypothetical protein								
521	FGCHFFMF_00503	CDS	792				hypothetical protein								
522	FGCHFFMF_00504	CDS	279	hup_1			DNA-binding protein HU								
523	FGCHFFMF_00505	CDS	1992	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA	L	Rad3-related DNA helicase DinG	DinG			5H8W	FCDCDC	Replication, recombination and repair
524	FGCHFFMF_00506	CDS	306				hypothetical protein								
525	FGCHFFMF_00507	CDS	942				hypothetical protein								
526	FGCHFFMF_00508	CDS	1305				hypothetical protein								
527	FGCHFFMF_00509	CDS	1347	der_2			GTPase Der								
528	FGCHFFMF_00510	CDS	711	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase	I	Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase	PlsY		29684280	5XJ5	DCCCFC	Lipid transport and metabolism
529	FGCHFFMF_00511	CDS	1017	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]								
530	FGCHFFMF_00512	CDS	552				hypothetical protein								
531	FGCHFFMF_00513	CDS	1530				hypothetical protein								
532	FGCHFFMF_00514	tRNA	75				tRNA-Pro(ggg)								
533	FGCHFFMF_00515	tRNA	75				tRNA-Pro(cgg)								
534	FGCHFFMF_00516	CDS	783				hypothetical protein								
535	FGCHFFMF_00517	CDS	897	sigA		COG0568	RNA polymerase sigma factor SigA	K	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	RpoD	RNA polymerase		1SIG	FCDCEC	Transcription
536	FGCHFFMF_00518	CDS	519	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase	F	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein	Apt	Purine salvage		1QB7	DCECFC	Nucleotide transport and metabolism
537	FGCHFFMF_00519	CDS	927				hypothetical protein								
538	FGCHFFMF_00520	tRNA	77				tRNA-Arg(cct)								
539	FGCHFFMF_00521	CDS	537				hypothetical protein								
540	FGCHFFMF_00522	CDS	771				hypothetical protein								
541	FGCHFFMF_00523	CDS	741				hypothetical protein								
542	FGCHFFMF_00524	tRNA	76				tRNA-Ala(ggc)								
543	FGCHFFMF_00525	CDS	1026	ilvD_2	4.2.1.9	COG0129	Dihydroxy-acid dehydratase	G	Dihydroxyacid dehydratase/phosphogluconate dehydratase	IlvD	Isoleucine, leucine, valine biosynthesis		2GP4	CCFCFC	Carbohydrate transport and metabolism
544	FGCHFFMF_00525	CDS	1026	ilvD_2	4.2.1.9	COG0129	Dihydroxy-acid dehydratase	E	Dihydroxyacid dehydratase/phosphogluconate dehydratase	IlvD	Isoleucine, leucine, valine biosynthesis		2GP4	DCFCFC	Amino acid transport and metabolism
545	FGCHFFMF_00526	CDS	495	ilvH	2.2.1.6	COG0440	Acetolactate synthase small subunit	E	Acetolactate synthase, small subunit	IlvH	Isoleucine, leucine, valine biosynthesis		2F1F	DCFCFC	Amino acid transport and metabolism
546	FGCHFFMF_00527	CDS	1056		1.1.1.382	COG0059	Ketol-acid reductoisomerase (NAD(+))	H	Ketol-acid reductoisomerase	IlvC	Isoleucine, leucine, valine biosynthesis		1NP3	DCDCFC	Coenzyme transport and metabolism
547	FGCHFFMF_00527	CDS	1056		1.1.1.382	COG0059	Ketol-acid reductoisomerase (NAD(+))	E	Ketol-acid reductoisomerase	IlvC	Isoleucine, leucine, valine biosynthesis		1NP3	DCFCFC	Amino acid transport and metabolism
548	FGCHFFMF_00528	CDS	699				hypothetical protein								
549	FGCHFFMF_00529	CDS	1536	leuA_2	2.3.3.13	COG0119	2-isopropylmalate synthase	E	Isopropylmalate/homocitrate/citramalate synthases	LeuA	Isoleucine, leucine, valine biosynthesis		4JN6	DCFCFC	Amino acid transport and metabolism
550	FGCHFFMF_00530	CDS	1098	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2	E	Aspartate-semialdehyde dehydrogenase	Asd	Lysine biosynthesis		1BRM	DCFCFC	Amino acid transport and metabolism
551	FGCHFFMF_00531	CDS	366				hypothetical protein								
552	FGCHFFMF_00532	CDS	273				hypothetical protein								
553	FGCHFFMF_00533	CDS	315				hypothetical protein								
554	FGCHFFMF_00534	CDS	2229				hypothetical protein								
555	FGCHFFMF_00535	CDS	810	truA_1	5.4.99.12	COG0101	tRNA pseudouridine synthase A	J	tRNA U38,U39,U40 pseudouridine synthase TruA	TruA	tRNA modification		1DJ0	FCCCFC	Translation, ribosomal structure and biogenesis
556	FGCHFFMF_00536	CDS	456	rplM		COG0102	50S ribosomal protein L13	J	Ribosomal protein L13	RplM	Ribosome 50S subunit		1VS6	FCCCFC	Translation, ribosomal structure and biogenesis
557	FGCHFFMF_00537	CDS	402	rpsI		COG0103	30S ribosomal protein S9	J	Ribosomal protein S9	RpsI	Ribosome 30S subunit		4V4H	FCCCFC	Translation, ribosomal structure and biogenesis
558	FGCHFFMF_00538	CDS	423	mraZ			Transcriptional regulator MraZ								
559	FGCHFFMF_00539	CDS	354				hypothetical protein								
560	FGCHFFMF_00540	CDS	936	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H	J	16S rRNA C1402 N4-methylase RsmH	RmsH	16S rRNA modification		1M6Y	FCCCFC	Translation, ribosomal structure and biogenesis
561	FGCHFFMF_00541	CDS	402	ftsL			Cell division protein FtsL								
562	FGCHFFMF_00542	CDS	1995	penA	3.4.16.4	COG0768	putative peptidoglycan D,D-transpeptidase PenA	M	Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2)	FtsI			6HZQ	ECFCAC	Cell wall/membrane/envelope biogenesis
563	FGCHFFMF_00542	CDS	1995	penA	3.4.16.4	COG0768	putative peptidoglycan D,D-transpeptidase PenA	D	Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2)	FtsI			6HZQ	FCFCDC	Cell cycle control, cell division, chromosome partitioning
564	FGCHFFMF_00543	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	M	UDP-N-acetylmuramyl tripeptide synthase	MurE	Mureine biosynthesis		1E8C	ECFCAC	Cell wall/membrane/envelope biogenesis
565	FGCHFFMF_00544	CDS	1404	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	M	UDP-N-acetylmuramyl pentapeptide synthase	MurF	Mureine biosynthesis		4CVK	ECFCAC	Cell wall/membrane/envelope biogenesis
566	FGCHFFMF_00545	CDS	192				hypothetical protein								
567	FGCHFFMF_00546	CDS	612	leuA_3	2.3.3.13		2-isopropylmalate synthase								
568	FGCHFFMF_00547	CDS	549				hypothetical protein								
569	FGCHFFMF_00548	CDS	342				hypothetical protein								
570	FGCHFFMF_00549	CDS	432	arsC	1.20.4.4	COG0394	Arsenate reductase	T	Protein-tyrosine-phosphatase	Wzb		26641313	4D74	FCFCAC	Signal transduction mechanisms
571	FGCHFFMF_00550	CDS	1056	acr3		COG0798	Arsenical-resistance protein Acr3	P	Arsenite efflux pump ArsB, ACR3 family	ACR3				CCCCFC	Inorganic ion transport and metabolism
572	FGCHFFMF_00551	CDS	2682	btuB_1			Vitamin B12 transporter BtuB								
573	FGCHFFMF_00552	CDS	2346				hypothetical protein								
574	FGCHFFMF_00553	CDS	630	tolQ_2		COG0811	Tol-Pal system protein TolQ	U	Biopolymer transport protein ExbB/TolQ	TolQ			5SV0	ACFCAC	Intracellular trafficking, secretion, and vesicular transport
575	FGCHFFMF_00554	CDS	405	tolR			Tol-Pal system protein TolR								
576	FGCHFFMF_00555	CDS	621				hypothetical protein								
577	FGCHFFMF_00556	CDS	483				hypothetical protein								
578	FGCHFFMF_00557	tRNA	90				tRNA-Ser(tga)								
579	FGCHFFMF_00558	CDS	705	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY	M	ABC-type lipoprotein export system, ATPase component	LolD			5GKO	ECFCAC	Cell wall/membrane/envelope biogenesis
580	FGCHFFMF_00559	CDS	2088				hypothetical protein								
581	FGCHFFMF_00560	CDS	1302				hypothetical protein								
582	FGCHFFMF_00561	CDS	777				hypothetical protein								
583	FGCHFFMF_00562	CDS	1461				hypothetical protein								
584	FGCHFFMF_00563	CDS	645				hypothetical protein								
585	FGCHFFMF_00564	CDS	732				hypothetical protein								
586	FGCHFFMF_00565	CDS	744	ybhF_1		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF	V	ABC-type multidrug transport system, ATPase component	CcmA			5DO7	FCFCBC	Defense mechanisms
587	FGCHFFMF_00566	CDS	906	ybhF_2		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF	V	ABC-type multidrug transport system, ATPase component	CcmA			5DO7	FCFCBC	Defense mechanisms
588	FGCHFFMF_00567	CDS	1110	ybhS		COG0842	putative multidrug ABC transporter permease YbhS	V	ABC-type multidrug transport system, permease component	YadH				FCFCBC	Defense mechanisms
589	FGCHFFMF_00568	CDS	1089	ybhR		COG0842	putative multidrug ABC transporter permease YbhR	V	ABC-type multidrug transport system, permease component	YadH				FCFCBC	Defense mechanisms
590	FGCHFFMF_00569	CDS	2736	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC								
591	FGCHFFMF_00570	CDS	720				hypothetical protein								
592	FGCHFFMF_00571	CDS	675				hypothetical protein								
593	FGCHFFMF_00572	CDS	360				hypothetical protein								
594	FGCHFFMF_00573	CDS	990	lapB			Lipopolysaccharide assembly protein B								
595	FGCHFFMF_00574	CDS	1482				hypothetical protein								
596	FGCHFFMF_00575	CDS	1221				hypothetical protein								
597	FGCHFFMF_00576	CDS	2043				hypothetical protein								
598	FGCHFFMF_00577	CDS	1092	tagO	2.7.8.33	COG0472	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase	M	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase	Rfe	Mureine biosynthesis		4J72	ECFCAC	Cell wall/membrane/envelope biogenesis
599	FGCHFFMF_00578	CDS	882				hypothetical protein								
600	FGCHFFMF_00579	CDS	1338				hypothetical protein								
601	FGCHFFMF_00580	CDS	441	cymR_1			HTH-type transcriptional regulator CymR								
602	FGCHFFMF_00581	CDS	927	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase	E	Cysteine synthase	CysK	Cysteine biosynthesis		1FCJ	DCFCFC	Amino acid transport and metabolism
603	FGCHFFMF_00582	CDS	1296		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase	E	O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent	MET17	Methionine biosynthesis		2CTZ	DCFCFC	Amino acid transport and metabolism
604	FGCHFFMF_00583	CDS	1149	metXA_1	2.3.1.31	COG2021	Homoserine O-acetyltransferase	E	Homoserine O-acetyltransferase	MET2	Methionine biosynthesis		2VAT	DCFCFC	Amino acid transport and metabolism
605	FGCHFFMF_00584	CDS	612	metXA_2		COG0500	Bifunctional methionine biosynthesis protein MetXA/MetW	R	SAM-dependent methyltransferase	SmtA			5DNK	E0E0E0	General function prediction only
606	FGCHFFMF_00584	CDS	612	metXA_2		COG0500	Bifunctional methionine biosynthesis protein MetXA/MetW	Q	SAM-dependent methyltransferase	SmtA			5DNK	BCCCFC	Secondary metabolites biosynthesis, transport and catabolism
607	FGCHFFMF_00585	CDS	1173	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase								
608	FGCHFFMF_00586	CDS	1206				hypothetical protein								
609	FGCHFFMF_00587	CDS	1113	ycf3_1			Photosystem I assembly protein Ycf3								
