	seqname	contigLen	totalAvgDepth	29a45e09-e5c8-45c0-9213-0cc1e124c5aa.inter.fastq.sam.sorted.bam	29a45e09-e5c8-45c0-9213-0cc1e124c5aa.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
23872	NODE_23873_length_5286_cov_3.910916	5286	5.96417	5.96417	4.05596	bin.036	38.0							Bacteria?					
23873	NODE_23874_length_5286_cov_3.470847	5286	5.39759	5.39759	6.32799	bin.036	42.0							Bacteria?					
23883	NODE_23884_length_5285_cov_3.811090	5285	6.05803	6.05803	6.05272	bin.036	38.0							Bacteria?					
23909	NODE_23910_length_5282_cov_3.530515	5282	5.50234	5.50234	5.33405	bin.036	41.0							Bacteria?					
23958	NODE_23959_length_5276_cov_2.973185	5276	4.75829	4.75829	4.76517	bin.036	35.0							Bacteria?					
24013	NODE_24014_length_5269_cov_3.754124	5269	5.99726	5.99726	5.38062	bin.036	38.0							Bacteria?					
24023	NODE_24024_length_5268_cov_5.580856	5268	8.74697	8.74697	12.796	bin.036	39.0							Bacteria?					
24098	NODE_24099_length_5259_cov_3.928517	5259	6.25426	6.25426	7.49386	bin.036	36.0							Bacteria?					
24099	NODE_24100_length_5259_cov_3.627786	5259	5.70523	5.70523	4.80102	bin.036	36.0							Bacteria?					
24159	NODE_24160_length_5252_cov_2.775447	5252	4.42846	4.42846	4.29161	bin.036	39.0							Bacteria?					
24165	NODE_24166_length_5251_cov_2.945727	5251	4.63399	4.63399	4.26115	bin.036	41.0							Bacteria?					
24304	NODE_24305_length_5238_cov_3.714644	5238	5.89878	5.89878	5.41679	bin.036	35.0							Bacteria?					
24429	NODE_24430_length_5224_cov_3.482298	5224	5.78183	5.78183	4.44465	bin.036	40.0							Bacteria?					
24447	NODE_24448_length_5222_cov_2.619121	5222	4.18809	4.18809	3.47633	bin.036	34.0							Bacteria?					
24484	NODE_24485_length_5219_cov_3.233927	5219	5.15979	5.15979	3.45633	bin.036	41.0							Bacteria?					
24527	NODE_24528_length_5213_cov_3.901318	5213	6.28027	6.28027	5.29667	bin.036	35.0							Bacteria?					
24539	NODE_24540_length_5212_cov_4.070002	5212	6.48736	6.48736	7.5624	bin.036	39.0							Bacteria?					
24541	NODE_24542_length_5212_cov_3.541594	5212	5.68273	5.68273	8.94701	bin.036	39.0							Bacteria?					
24544	NODE_24545_length_5212_cov_3.114989	5212	4.78013	4.78013	6.65732	bin.036	41.0							Bacteria?					
24566	NODE_24567_length_5209_cov_3.179472	5209	4.82072	4.82072	4.79718	bin.036	37.0							Bacteria?					
24605	NODE_24606_length_5204_cov_2.660128	5204	4.25326	4.25326	2.56873	bin.036	40.0							Bacteria?					
24659	NODE_24660_length_5197_cov_3.478996	5197	5.46998	5.46998	7.38397	bin.036	35.0							Bacteria?					
24662	NODE_24663_length_5197_cov_2.881564	5197	4.60214	4.60214	4.65492	bin.036	43.0							Bacteria?					
24768	NODE_24769_length_5187_cov_3.954988	5187	6.31904	6.31904	8.43173	bin.036	39.0							Bacteria?					
24847	NODE_24848_length_5179_cov_3.261124	5179	5.23265	5.23265	7.4465	bin.036	40.0							Bacteria?					
24887	NODE_24888_length_5175_cov_3.473633	5175	5.55761	5.55761	5.20789	bin.036	35.0							Bacteria?					
24915	NODE_24916_length_5173_cov_2.626807	5173	4.30181	4.30181	3.91889	bin.036	40.0							Bacteria?					
24944	NODE_24945_length_5170_cov_3.277419	5170	5.18884	5.18884	4.81795	bin.036	36.0							Bacteria?					
25000	NODE_25001_length_5163_cov_3.316954	5163	5.2683	5.2683	3.77417	bin.036	35.0							Bacteria?					
25029	NODE_25030_length_5160_cov_3.959256	5160	6.3499	6.3499	6.31333	bin.036	42.0							Bacteria?					
25042	NODE_25043_length_5159_cov_2.796826	5159	4.48533	4.48533	4.13521	bin.036	37.0							Bacteria?					
25062	NODE_25063_length_5156_cov_3.074495	5156	4.81662	4.81662	2.7196	bin.036	39.0							Bacteria?					
25065	NODE_25066_length_5156_cov_2.402078	5156	3.77527	3.77527	4.54715	bin.036	33.0							Bacteria?					
25232	NODE_25233_length_5137_cov_2.953168	5137	4.64287	4.64287	4.05599	bin.036	41.0							Bacteria?					
25237	NODE_25238_length_5136_cov_3.867349	5136	6.12515	6.12515	5.39723	bin.036	37.0	bin.036	0.167	0.047	0.807	0.973	0.973	NCLDV	4949.0	0.0	33.3	0.0	|full
25297	NODE_25298_length_5129_cov_2.700631	5129	4.27415	4.27415	3.89732	bin.036	38.0							Bacteria?					
25308	NODE_25309_length_5128_cov_3.621920	5128	5.75352	5.75352	6.09538	bin.036	36.0							Bacteria?					
25330	NODE_25331_length_5126_cov_4.671662	5126	7.38063	7.38063	13.2789	bin.036	36.0							Bacteria?					
25373	NODE_25374_length_5122_cov_3.806592	5122	6.07422	6.07422	5.93139	bin.036	42.0							Bacteria?					
25436	NODE_25437_length_5116_cov_3.470263	5116	5.55155	5.55155	5.75113	bin.036	41.0							Bacteria?					
25458	NODE_25459_length_5113_cov_3.395809	5113	5.33065	5.33065	7.56842	bin.036	39.0							Bacteria?					
25469	NODE_25470_length_5112_cov_3.636148	5112	5.80653	5.80653	6.32827	bin.036	36.0							Bacteria?					
25495	NODE_25496_length_5109_cov_2.691729	5109	4.19641	4.19641	2.97481	bin.036	39.0							Bacteria?					
25673	NODE_25674_length_5090_cov_3.392453	5090	5.42328	5.42328	4.74548	bin.036	35.0							Bacteria?					
25693	NODE_25694_length_5088_cov_3.461951	5088	5.40806	5.40806	5.63438	bin.036	34.0							Bacteria?					
25745	NODE_25746_length_5082_cov_3.108613	5082	4.96776	4.96776	3.98743	bin.036	42.0							Bacteria?					
25811	NODE_25812_length_5075_cov_3.640239	5075	5.72447	5.72447	4.80604	bin.036	41.0							Bacteria?					
25847	NODE_25848_length_5072_cov_4.095276	5072	6.54978	6.54978	8.40852	bin.036	39.0							Bacteria?					
25863	NODE_25864_length_5071_cov_2.857257	5071	4.57854	4.57854	4.27564	bin.036	38.0							Bacteria?					
25867	NODE_25868_length_5070_cov_3.716849	5070	5.80894	5.80894	10.0501	bin.036	37.0	bin.036	0.7	0.52	0.693	0.153	0.7	dsDNAphage	4997.0	0.0	25.0	0.0	|full
25919	NODE_25920_length_5064_cov_3.108006	5064	5.05067	5.05067	4.49709	bin.036	36.0	bin.036	0.767	0.367	0.193	0.747	0.767	dsDNAphage	5063.0	0.0	10.0	0.0	|full
25920	NODE_25921_length_5064_cov_2.946696	5064	4.68783	4.68783	4.10727	bin.036	35.0	bin.036	0.587	0.087	0.307	0.433	0.587	dsDNAphage	5062.0	0.0	28.6	0.0	|full
25925	NODE_25926_length_5063_cov_3.576677	5063	5.67718	5.67718	4.23454	bin.036	33.0							Bacteria?					
25942	NODE_25943_length_5062_cov_2.527861	5062	4.03481	4.03481	3.78607	bin.036	39.0							Bacteria?					
26038	NODE_26039_length_5053_cov_3.661064	5053	5.40608	5.40608	6.07565	bin.036	40.0							Bacteria?					
26042	NODE_26043_length_5053_cov_3.136255	5053	4.97083	4.97083	4.70684	bin.036	34.0							Bacteria?					
26055	NODE_26056_length_5052_cov_3.210126	5052	5.04345	5.04345	3.81961	bin.036	37.0							Bacteria?					
26087	NODE_26088_length_5049_cov_3.560272	5049	5.6583	5.6583	5.64563	bin.036	39.0							Bacteria?					
26098	NODE_26099_length_5048_cov_3.630282	5048	5.75337	5.75337	5.49114	bin.036	41.0							Bacteria?					
26126	NODE_26127_length_5045_cov_3.978357	5045	6.26088	6.26088	7.94272	bin.036	36.0							Bacteria?					
26183	NODE_26184_length_5039_cov_3.237560	5039	5.03661	5.03661	5.40559	bin.036	36.0	bin.036	0.12	0.033	0.76	0.913	0.913	NCLDV	5038.0	0.0	25.0	0.0	|full
26195	NODE_26196_length_5038_cov_3.001806	5038	4.82426	4.82426	4.38442	bin.036	41.0							Bacteria?					
26222	NODE_26223_length_5035_cov_3.880723	5035	6.25036	6.25036	6.09923	bin.036	34.0							Bacteria?					
26239	NODE_26240_length_5034_cov_3.172324	5034	5.14599	5.14599	4.45526	bin.036	40.0							Bacteria?					
26269	NODE_26270_length_5031_cov_4.428457	5031	6.99836	6.99836	5.766	bin.036	38.0							Bacteria?					
26315	NODE_26316_length_5027_cov_3.690265	5027	5.88456	5.88456	4.73381	bin.036	41.0	bin.036	0.18	0.0	0.027	0.5	0.5	NCLDV	4862.0	0.0	50.0	25.0	|full
26345	NODE_26346_length_5024_cov_2.849869	5024	4.60382	4.60382	5.43067	bin.036	39.0							Bacteria?					
26405	NODE_26406_length_5018_cov_4.269595	5018	6.82025	6.82025	6.98647	bin.036	41.0							Bacteria?					
26419	NODE_26420_length_5017_cov_3.575574	5017	5.75858	5.75858	5.45276	bin.036	40.0							Bacteria?					
26449	NODE_26450_length_5014_cov_3.289978	5014	5.21114	5.21114	4.53134	bin.036	40.0							Bacteria?					
26511	NODE_26512_length_5007_cov_3.672859	5007	5.83467	5.83467	5.37977	bin.036	41.0							Bacteria?					
26565	NODE_26566_length_5003_cov_3.936742	5003	6.2926	6.2926	7.63653	bin.036	33.0	bin.036	0.067	0.013	0.413	0.92	0.92	NCLDV	4948.0	0.0	16.7	0.0	|full
454	NODE_455_length_42967_cov_4.504311	42967	7.26254	7.26254	9.28449	bin.037	69.0							Bacteria?					
844	NODE_845_length_32780_cov_5.040397	32780	8.00328	8.00328	9.98425	bin.037	63.0							Bacteria?					
1208	NODE_1209_length_26734_cov_4.048990	26734	6.5597	6.5597	7.96374	bin.037	72.0	bin.037	0.773	0.02	0.087	0.02	0.773	dsDNAphage	26733.0	0.0	22.2	3.7	|full
1563	NODE_1564_length_23193_cov_4.428732	23193	7.09595	7.09595	6.92082	bin.037	64.0	bin.037	0.993	0.0	0.007	0.467	0.993	dsDNAphage	23189.0	3.0	22.2	2.8	|full
1669	NODE_1670_length_22479_cov_4.000357	22479	6.21631	6.21631	8.53506	bin.037	67.0							Bacteria?					
1682	NODE_1683_length_22384_cov_4.427695	22384	7.04075	7.04075	8.43828	bin.037	69.0							Bacteria?					
1949	NODE_1950_length_20719_cov_4.092189	20719	6.48019	6.48019	8.08819	bin.037	67.0							Bacteria?					
1994	NODE_1995_length_20511_cov_4.479370	20511	7.06768	7.06768	8.63427	bin.037	65.0							Bacteria?					
2109	NODE_2110_length_19845_cov_4.137847	19845	6.30881	6.30881	8.64966	bin.037	65.0							Bacteria?					
2130	NODE_2131_length_19741_cov_4.393935	19741	6.93262	6.93262	6.8461	bin.037	66.0							Bacteria?					
2165	NODE_2166_length_19569_cov_4.228041	19569	6.66059	6.66059	6.75743	bin.037	68.0							Bacteria?					
2171	NODE_2172_length_19552_cov_4.041853	19552	6.13019	6.13019	6.25036	bin.037	65.0	bin.037	0.967	0.013	0.093	0.42	0.967	dsDNAphage	19515.0	4.0	27.6	0.0	|full
2303	NODE_2304_length_19061_cov_4.661581	19061	7.16393	7.16393	8.45559	bin.037	67.0							Bacteria?					
2321	NODE_2322_length_18954_cov_4.392508	18954	6.89428	6.89428	10.1965	bin.037	67.0							Bacteria?					
2343	NODE_2344_length_18824_cov_4.916991	18824	6.69824	6.69824	8.39919	bin.037	67.0							Bacteria?					
2359	NODE_2360_length_18777_cov_4.104369	18777	6.52016	6.52016	7.12415	bin.037	67.0							Bacteria?					
2416	NODE_2417_length_18580_cov_4.352443	18580	6.82127	6.82127	8.04237	bin.037	72.0							Bacteria?					
2432	NODE_2433_length_18499_cov_4.776350	18499	7.41479	7.41479	9.37931	bin.037	67.0							Bacteria?					
2559	NODE_2560_length_17987_cov_4.433973	17987	6.8835	6.8835	9.57981	bin.037	68.0							Bacteria?					
2669	NODE_2670_length_17613_cov_4.299123	17613	6.65476	6.65476	8.80896	bin.037	68.0							Bacteria?					
2783	NODE_2784_length_17291_cov_4.203237	17291	6.54472	6.54472	10.3044	bin.037	67.0							Bacteria?					
2785	NODE_2786_length_17285_cov_4.648114	17285	7.2984	7.2984	7.26055	bin.037	65.0							Bacteria?					
2838	NODE_2839_length_17100_cov_4.184864	17100	6.58696	6.58696	6.71464	bin.037	66.0							Bacteria?					
2844	NODE_2845_length_17089_cov_4.253493	17089	6.62211	6.62211	7.61025	bin.037	67.0							Bacteria?					
2942	NODE_2943_length_16786_cov_4.243022	16786	6.59756	6.59756	7.7714	bin.037	66.0							Bacteria?					
2987	NODE_2988_length_16626_cov_4.406916	16626	6.86878	6.86878	10.687	bin.037	65.0	bin.037	0.853	0.0	0.007	0.0	0.853	dsDNAphage	15975.0	1.0	15.8	10.5	|0_partial
3026	NODE_3027_length_16504_cov_4.840659	16504	7.73737	7.73737	10.2976	bin.037	67.0							Bacteria?					
3063	NODE_3064_length_16406_cov_4.547428	16406	7.26323	7.26323	9.35451	bin.037	66.0							Bacteria?					
3151	NODE_3152_length_16089_cov_5.250468	16089	8.1832	8.1832	10.0533	bin.037	68.0							Bacteria?					
3177	NODE_3178_length_16007_cov_4.562688	16007	7.28625	7.28625	8.38577	bin.037	68.0							Bacteria?					
3200	NODE_3201_length_15950_cov_4.356401	15950	6.82449	6.82449	7.80479	bin.037	65.0	bin.037	0.0	0.0	0.0	0.533	0.533	NCLDV	15674.0	0.0	8.3	0.0	|full
3259	NODE_3260_length_15813_cov_4.587892	15813	7.21937	7.21937	8.50032	bin.037	68.0							Bacteria?					
3266	NODE_3267_length_15804_cov_4.316211	15804	6.73157	6.73157	8.85896	bin.037	67.0							Bacteria?					
3341	NODE_3342_length_15602_cov_4.049977	15602	6.28844	6.28844	7.36081	bin.037	66.0							Bacteria?					
3344	NODE_3345_length_15590_cov_5.030512	15590	7.86477	7.86477	12.1861	bin.037	67.0							Bacteria?					
3357	NODE_3358_length_15555_cov_4.471161	15555	6.83947	6.83947	5.90746	bin.037	69.0							Bacteria?					
3399	NODE_3400_length_15444_cov_4.449607	15444	7.00791	7.00791	7.51632	bin.037	68.0							Bacteria?					
3575	NODE_3576_length_15016_cov_3.963238	15016	6.28871	6.28871	7.28379	bin.037	66.0							Bacteria?					
3582	NODE_3583_length_15003_cov_4.382927	15003	6.86521	6.86521	8.92945	bin.037	66.0							Bacteria?					
3601	NODE_3602_length_14951_cov_3.982814	14951	6.29991	6.29991	6.48842	bin.037	67.0							Bacteria?					
3633	NODE_3634_length_14866_cov_4.487611	14866	6.95461	6.95461	8.61586	bin.037	66.0							Bacteria?					
3674	NODE_3675_length_14785_cov_4.388119	14785	6.73946	6.73946	8.96758	bin.037	66.0							Bacteria?					
3685	NODE_3686_length_14746_cov_4.556259	14746	7.04542	7.04542	8.97794	bin.037	68.0							Bacteria?					
3732	NODE_3733_length_14633_cov_4.911168	14633	7.62528	7.62528	8.47402	bin.037	67.0							Bacteria?					
3800	NODE_3801_length_14478_cov_3.921861	14478	6.22885	6.22885	6.32129	bin.037	67.0							Bacteria?					
3828	NODE_3829_length_14425_cov_3.941754	14425	6.21905	6.21905	7.28226	bin.037	67.0							Bacteria?					
3846	NODE_3847_length_14398_cov_4.627972	14398	7.14276	7.14276	9.80064	bin.037	65.0							Bacteria?					
3887	NODE_3888_length_14322_cov_4.052218	14322	6.18699	6.18699	6.84619	bin.037	67.0							Bacteria?					
3898	NODE_3899_length_14293_cov_4.994873	14293	7.7246	7.7246	9.42908	bin.037	68.0							Bacteria?					
3918	NODE_3919_length_14253_cov_4.510494	14253	7.06297	7.06297	8.52797	bin.037	66.0							Bacteria?					
3923	NODE_3924_length_14245_cov_4.065539	14245	6.39241	6.39241	7.87792	bin.037	66.0							Bacteria?					
3993	NODE_3994_length_14131_cov_4.260088	14131	6.74894	6.74894	8.88943	bin.037	66.0	bin.037	0.993	0.107	0.42	0.473	0.993	dsDNAphage	14129.0	3.0	40.0	0.0	|full
4123	NODE_4124_length_13890_cov_4.714781	13890	7.50975	7.50975	10.4967	bin.037	70.0							Bacteria?					
4164	NODE_4165_length_13834_cov_4.918427	13834	6.46434	6.46434	8.66677	bin.037	69.0							Bacteria?					
4203	NODE_4204_length_13762_cov_4.521923	13762	7.05723	7.05723	7.97762	bin.037	65.0							Bacteria?					
4219	NODE_4220_length_13727_cov_4.344061	13727	6.75981	6.75981	8.68093	bin.037	67.0							Bacteria?					
4304	NODE_4305_length_13579_cov_4.344647	13579	6.7912	6.7912	8.57283	bin.037	65.0							Bacteria?					
4384	NODE_4385_length_13408_cov_4.758257	13408	7.51946	7.51946	9.0565	bin.037	66.0							Bacteria?					
4390	NODE_4391_length_13396_cov_4.562027	13396	6.9778	6.9778	12.0873	bin.037	68.0							Bacteria?					
4396	NODE_4397_length_13384_cov_4.299122	13384	6.60798	6.60798	8.18528	bin.037	66.0							Bacteria?					
4440	NODE_4441_length_13300_cov_5.495206	13300	8.36662	8.36662	11.8315	bin.037	68.0							Bacteria?					
4471	NODE_4472_length_13240_cov_4.506485	13240	6.88258	6.88258	8.63755	bin.037	67.0							Bacteria?					
4477	NODE_4478_length_13230_cov_4.504592	13230	7.00994	7.00994	11.4899	bin.037	68.0							Bacteria?					
4550	NODE_4551_length_13107_cov_3.831750	13107	6.20776	6.20776	5.0502	bin.037	67.0							Bacteria?					
4552	NODE_4553_length_13106_cov_3.940618	13106	6.26798	6.26798	7.25198	bin.037	67.0							Bacteria?					
4587	NODE_4588_length_13043_cov_4.036572	13043	6.47987	6.47987	8.59202	bin.037	65.0							Bacteria?					
4644	NODE_4645_length_12955_cov_3.586977	12955	5.7829	5.7829	6.41001	bin.037	65.0							Bacteria?					
4688	NODE_4689_length_12879_cov_4.305677	12879	6.77155	6.77155	6.19728	bin.037	66.0							Bacteria?					
4697	NODE_4698_length_12864_cov_3.693184	12864	5.85221	5.85221	6.24326	bin.037	67.0							Bacteria?					
4766	NODE_4767_length_12776_cov_4.678406	12776	6.607	6.607	7.93351	bin.037	70.0							Bacteria?					
4793	NODE_4794_length_12736_cov_4.002839	12736	6.29175	6.29175	9.58456	bin.037	67.0							Bacteria?					
4820	NODE_4821_length_12697_cov_4.573248	12697	7.0573	7.0573	8.74098	bin.037	66.0							Bacteria?					
4834	NODE_4835_length_12684_cov_4.182279	12684	6.61441	6.61441	7.99244	bin.037	68.0							Bacteria?					
4843	NODE_4844_length_12667_cov_4.862750	12667	7.55261	7.55261	9.25584	bin.037	68.0							Bacteria?					
4852	NODE_4853_length_12658_cov_4.163691	12658	6.38256	6.38256	7.25653	bin.037	69.0							Bacteria?					
4872	NODE_4873_length_12627_cov_4.528794	12627	6.97275	6.97275	11.014	bin.037	67.0							Bacteria?					
4881	NODE_4882_length_12617_cov_4.338640	12617	6.78431	6.78431	9.77268	bin.037	65.0							Bacteria?					
4936	NODE_4937_length_12531_cov_4.678743	12531	7.24812	7.24812	8.88802	bin.037	67.0							Bacteria?					
4956	NODE_4957_length_12512_cov_4.393674	12512	6.67028	6.67028	9.20417	bin.037	69.0							Bacteria?					
4969	NODE_4970_length_12491_cov_4.095047	12491	6.42476	6.42476	8.33615	bin.037	66.0							Bacteria?					
4982	NODE_4983_length_12477_cov_4.536629	12477	7.22398	7.22398	8.22166	bin.037	68.0							Bacteria?					
5005	NODE_5006_length_12449_cov_4.820155	12449	7.43565	7.43565	7.55801	bin.037	67.0							Bacteria?					
5030	NODE_5031_length_12419_cov_4.370592	12419	6.79566	6.79566	7.28431	bin.037	66.0							Bacteria?					
5057	NODE_5058_length_12386_cov_4.093829	12386	6.55059	6.55059	5.76162	bin.037	68.0							Bacteria?					
5061	NODE_5062_length_12377_cov_4.291186	12377	6.69486	6.69486	6.61209	bin.037	66.0							Bacteria?					
5099	NODE_5100_length_12328_cov_4.277275	12328	6.7879	6.7879	8.58784	bin.037	67.0							Bacteria?					
5201	NODE_5202_length_12221_cov_3.841772	12221	6.19982	6.19982	6.75148	bin.037	66.0							Bacteria?					
5268	NODE_5269_length_12133_cov_3.870591	12133	6.06701	6.06701	6.37514	bin.037	64.0							Bacteria?					
5301	NODE_5302_length_12097_cov_4.068593	12097	6.5213	6.5213	9.70814	bin.037	68.0							Bacteria?					
5335	NODE_5336_length_12043_cov_4.469052	12043	6.90137	6.90137	7.08191	bin.037	67.0							Bacteria?					
5373	NODE_5374_length_11995_cov_4.122781	11995	6.39308	6.39308	7.3499	bin.037	65.0							Bacteria?					
5409	NODE_5410_length_11947_cov_4.055920	11947	6.46749	6.46749	7.12747	bin.037	66.0							Bacteria?					
5429	NODE_5430_length_11929_cov_5.308489	11929	8.04304	8.04304	13.6557	bin.037	67.0							Bacteria?					
5490	NODE_5491_length_11859_cov_4.211284	11859	6.63438	6.63438	7.70342	bin.037	71.0							Bacteria?					
5493	NODE_5494_length_11855_cov_4.335678	11855	6.7443	6.7443	7.98126	bin.037	66.0							Bacteria?					
5501	NODE_5502_length_11845_cov_4.901612	11845	7.49183	7.49183	10.2538	bin.037	67.0							Bacteria?					
5556	NODE_5557_length_11783_cov_4.256821	11783	6.81664	6.81664	8.2732	bin.037	68.0							Bacteria?					
5561	NODE_5562_length_11777_cov_4.038475	11777	6.45463	6.45463	7.37722	bin.037	66.0							Bacteria?					
5573	NODE_5574_length_11766_cov_4.302878	11766	6.73502	6.73502	6.87838	bin.037	65.0							Bacteria?					
5602	NODE_5603_length_11729_cov_4.323283	11729	6.86778	6.86778	8.85306	bin.037	65.0	bin.037	0.04	0.0	0.0	0.6	0.6	NCLDV	11680.0	0.0	9.1	0.0	|full
5612	NODE_5613_length_11715_cov_3.548027	11715	5.60623	5.60623	6.10492	bin.037	64.0							Bacteria?					
5664	NODE_5665_length_11653_cov_4.551216	11653	7.1018	7.1018	7.9687	bin.037	65.0							Bacteria?					
5669	NODE_5670_length_11650_cov_4.570160	11650	6.96887	6.96887	9.33802	bin.037	66.0							Bacteria?					
5670	NODE_5671_length_11646_cov_5.188508	11646	7.98373	7.98373	12.5318	bin.037	64.0							Bacteria?					
5689	NODE_5690_length_11623_cov_4.489972	11623	6.93672	6.93672	8.90257	bin.037	67.0							Bacteria?					
5693	NODE_5694_length_11621_cov_4.233183	11621	6.56176	6.56176	6.77899	bin.037	66.0							Bacteria?					
5727	NODE_5728_length_11593_cov_4.813573	11593	7.4886	7.4886	8.86651	bin.037	67.0	bin.037	0.287	0.0	0.02	0.727	0.727	NCLDV	11542.0	0.0	21.4	0.0	|full
5747	NODE_5748_length_11562_cov_4.810811	11562	7.68761	7.68761	8.37928	bin.037	67.0							Bacteria?					
5822	NODE_5823_length_11478_cov_4.112492	11478	6.37562	6.37562	7.21882	bin.037	67.0							Bacteria?					
5823	NODE_5824_length_11477_cov_4.640431	11477	7.17781	7.17781	8.79281	bin.037	67.0							Bacteria?					
5844	NODE_5845_length_11458_cov_4.558011	11458	7.11381	7.11381	8.68769	bin.037	65.0							Bacteria?					
5853	NODE_5854_length_11448_cov_4.380146	11448	6.5139	6.5139	7.82332	bin.037	68.0							Bacteria?					
5869	NODE_5870_length_11428_cov_4.880419	11428	7.67982	7.67982	9.60452	bin.037	66.0							Bacteria?					
5889	NODE_5890_length_11409_cov_4.199137	11409	6.58966	6.58966	8.85826	bin.037	65.0							Bacteria?					
5945	NODE_5946_length_11345_cov_3.930469	11345	6.25976	6.25976	6.67986	bin.037	64.0							Bacteria?					
6021	NODE_6022_length_11262_cov_3.863924	11262	6.19591	6.19591	4.8659	bin.037	66.0							Bacteria?					
6071	NODE_6072_length_11212_cov_4.244421	11212	6.73206	6.73206	9.20156	bin.037	67.0							Bacteria?					
6129	NODE_6130_length_11165_cov_5.168587	11165	7.55152	7.55152	8.96777	bin.037	67.0							Bacteria?					
6152	NODE_6153_length_11139_cov_4.581739	11139	6.93776	6.93776	8.46882	bin.037	67.0							Bacteria?					
6161	NODE_6162_length_11135_cov_4.344314	11135	6.83833	6.83833	6.74528	bin.037	66.0							Bacteria?					
6206	NODE_6207_length_11088_cov_4.094988	11088	6.48391	6.48391	6.5377	bin.037	68.0							Bacteria?					
6281	NODE_6282_length_11017_cov_4.785441	11017	7.47575	7.47575	9.15991	bin.037	68.0							Bacteria?					
6307	NODE_6308_length_10998_cov_4.205520	10998	6.54121	6.54121	9.11867	bin.037	67.0							Bacteria?					
6344	NODE_6345_length_10968_cov_4.384954	10968	6.98031	6.98031	9.35383	bin.037	68.0							Bacteria?					
6367	NODE_6368_length_10945_cov_4.587328	10945	7.13321	7.13321	8.94399	bin.037	64.0							Bacteria?					
6387	NODE_6388_length_10931_cov_10.029790	10931	5.83554	5.83554	11.3056	bin.037	67.0							Bacteria?					
6405	NODE_6406_length_10913_cov_3.913059	10913	6.37443	6.37443	6.2959	bin.037	67.0							Bacteria?					
6443	NODE_6444_length_10871_cov_4.132027	10871	6.63408	6.63408	6.73346	bin.037	66.0							Bacteria?					
6513	NODE_6514_length_10807_cov_4.090867	10807	6.41747	6.41747	8.50435	bin.037	70.0							Bacteria?					
6595	NODE_6596_length_10713_cov_5.042409	10713	8.00767	8.00767	11.723	bin.037	67.0							Bacteria?					
6642	NODE_6643_length_10676_cov_4.282648	10676	6.52233	6.52233	10.8353	bin.037	66.0							Bacteria?					
6708	NODE_6709_length_10633_cov_4.141615	10633	6.45989	6.45989	7.74223	bin.037	66.0							Bacteria?					
6761	NODE_6762_length_10580_cov_4.452542	10580	6.89626	6.89626	9.97853	bin.037	68.0							Bacteria?					
6784	NODE_6785_length_10559_cov_4.152513	10559	6.79595	6.79595	7.50255	bin.037	72.0	bin.037	0.92	0.007	0.04	0.313	0.92	dsDNAphage	10499.0	2.0	25.0	12.5	|full
6801	NODE_6802_length_10541_cov_4.721820	10541	7.18911	7.18911	8.31901	bin.037	66.0							Bacteria?					
6823	NODE_6824_length_10521_cov_4.382859	10521	6.89085	6.89085	8.17273	bin.037	66.0							Bacteria?					
6880	NODE_6881_length_10465_cov_4.553122	10465	7.18808	7.18808	9.50023	bin.037	66.0							Bacteria?					
6888	NODE_6889_length_10457_cov_4.456835	10457	6.93024	6.93024	7.8414	bin.037	69.0							Bacteria?					
6900	NODE_6901_length_10446_cov_3.928111	10446	6.15307	6.15307	8.92657	bin.037	67.0							Bacteria?					
6909	NODE_6910_length_10438_cov_4.443513	10438	6.95908	6.95908	10.2915	bin.037	66.0							Bacteria?					
6978	NODE_6979_length_10385_cov_4.323524	10385	6.58192	6.58192	6.79486	bin.037	63.0							Bacteria?					
6997	NODE_6998_length_10363_cov_4.500582	10363	7.36992	7.36992	12.0675	bin.037	68.0							Bacteria?					
7037	NODE_7038_length_10329_cov_4.119233	10329	6.42195	6.42195	8.65731	bin.037	65.0							Bacteria?					
7071	NODE_7072_length_10305_cov_3.671902	10305	5.69316	5.69316	7.08817	bin.037	65.0							Bacteria?					
7085	NODE_7086_length_10296_cov_4.074212	10296	6.5206	6.5206	7.8808	bin.037	68.0							Bacteria?					
7105	NODE_7106_length_10275_cov_4.367319	10275	6.9682	6.9682	7.42043	bin.037	70.0							Bacteria?					
7108	NODE_7109_length_10274_cov_4.342304	10274	6.36547	6.36547	10.6264	bin.037	66.0							Bacteria?					
7148	NODE_7149_length_10244_cov_4.177250	10244	6.5642	6.5642	8.27849	bin.037	66.0							Bacteria?					
7285	NODE_7286_length_10142_cov_4.229801	10142	6.77752	6.77752	6.58483	bin.037	66.0							Bacteria?					
7296	NODE_7297_length_10133_cov_5.562314	10133	8.56416	8.56416	12.4589	bin.037	66.0							Bacteria?					
7384	NODE_7385_length_10055_cov_4.299200	10055	6.50692	6.50692	8.88883	bin.037	64.0							Bacteria?					
7408	NODE_7409_length_10040_cov_4.489334	10040	7.0911	7.0911	8.12914	bin.037	66.0							Bacteria?					
7413	NODE_7414_length_10036_cov_4.510370	10036	7.30801	7.30801	9.14493	bin.037	68.0							Bacteria?					
7424	NODE_7425_length_10024_cov_3.909620	10024	6.22564	6.22564	6.92753	bin.037	67.0							Bacteria?					
