	seqname	contigLen	totalAvgDepth	2c11f2d7-e513-4790-bed2-3d20f1d9d7cd.inter.fastq.sam.sorted.bam	2c11f2d7-e513-4790-bed2-3d20f1d9d7cd.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
400	NODE_401_length_67539_cov_10.829708	67539	16.9449	16.9449	20.4006	bin.014	63.0							Bacteria?					
424	NODE_425_length_65737_cov_10.537012	65737	16.5543	16.5543	22.7704	bin.014	63.0							Bacteria?					
519	NODE_520_length_60269_cov_11.302870	60269	17.5954	17.5954	27.262	bin.014	63.0							Bacteria?					
913	NODE_914_length_46340_cov_11.117057	46340	17.3727	17.3727	23.9549	bin.014	64.0							Bacteria?					
1549	NODE_1550_length_35045_cov_10.741269	35045	16.821	16.821	23.4254	bin.014	63.0							Bacteria?					
1648	NODE_1649_length_33954_cov_11.336677	33954	17.5834	17.5834	22.5062	bin.014	63.0							Bacteria?					
1918	NODE_1919_length_31029_cov_11.386098	31029	17.5981	17.5981	23.2582	bin.014	64.0							Bacteria?					
2060	NODE_2061_length_29757_cov_11.001279	29757	17.1716	17.1716	20.7919	bin.014	64.0							Bacteria?					
2662	NODE_2663_length_25290_cov_10.123281	25290	15.8703	15.8703	20.9663	bin.014	64.0							Bacteria?					
4340	NODE_4341_length_18454_cov_10.569868	18454	16.4825	16.4825	22.2867	bin.014	65.0							Bacteria?					
5026	NODE_5027_length_16786_cov_11.091148	16786	16.7467	16.7467	21.1178	bin.014	61.0							Bacteria?					
5133	NODE_5134_length_16584_cov_10.428459	16584	16.3445	16.3445	19.265	bin.014	63.0							Bacteria?					
5817	NODE_5818_length_15215_cov_10.311873	15215	16.1464	16.1464	22.1571	bin.014	63.0							Bacteria?					
14776	NODE_14777_length_7894_cov_10.689119	7894	16.1927	16.1927	22.9186	bin.014	61.0							Bacteria?					
24433	NODE_24434_length_5602_cov_9.737696	5602	15.1952	15.1952	13.9537	bin.014	63.0							Bacteria?					
60	NODE_61_length_161929_cov_5.296051	161929	8.29082	8.29082	10.1987	bin.015	61.0							Bacteria?					
161	NODE_162_length_104843_cov_5.049424	104843	7.88348	7.88348	9.82869	bin.015	61.0							Bacteria?					
255	NODE_256_length_82761_cov_4.964622	82761	7.74494	7.74494	9.74393	bin.015	61.0							Bacteria?					
262	NODE_263_length_82060_cov_5.267654	82060	8.23788	8.23788	9.7569	bin.015	61.0							Bacteria?					
312	NODE_313_length_76087_cov_4.894900	76087	7.63678	7.63678	9.23185	bin.015	60.0							Bacteria?					
317	NODE_318_length_75224_cov_5.172265	75224	8.1106	8.1106	11.1781	bin.015	61.0							Bacteria?					
320	NODE_321_length_75050_cov_5.113741	75050	7.94821	7.94821	9.76193	bin.015	61.0							Bacteria?					
329	NODE_330_length_73678_cov_5.606006	73678	8.71498	8.71498	10.669	bin.015	61.0							Bacteria?					
440	NODE_441_length_64910_cov_5.039735	64910	7.9057	7.9057	10.4281	bin.015	62.0							Bacteria?					
476	NODE_477_length_62426_cov_5.056757	62426	7.93983	7.93983	10.0499	bin.015	61.0							Bacteria?					
477	NODE_478_length_62376_cov_5.271257	62376	8.22385	8.22385	9.391	bin.015	61.0							Bacteria?					
478	NODE_479_length_62353_cov_5.289191	62353	8.30193	8.30193	10.1405	bin.015	62.0							Bacteria?					
493	NODE_494_length_61320_cov_5.200033	61320	8.12424	8.12424	9.71807	bin.015	60.0							Bacteria?					
571	NODE_572_length_57465_cov_5.187197	57465	8.14024	8.14024	9.76849	bin.015	62.0							Bacteria?					
620	NODE_621_length_55859_cov_5.438392	55859	8.52385	8.52385	10.3712	bin.015	61.0							Bacteria?					
623	NODE_624_length_55796_cov_4.888843	55796	7.6302	7.6302	9.37141	bin.015	61.0							Bacteria?					
684	NODE_685_length_53762_cov_5.231199	53762	8.15705	8.15705	10.051	bin.015	61.0							Bacteria?					
717	NODE_718_length_52282_cov_5.312922	52282	8.27989	8.27989	10.5967	bin.015	61.0							Bacteria?					
763	NODE_764_length_50674_cov_5.219996	50674	8.19775	8.19775	9.88341	bin.015	61.0							Bacteria?					
826	NODE_827_length_48425_cov_5.101613	48425	7.97388	7.97388	8.90561	bin.015	61.0							Bacteria?					
937	NODE_938_length_45741_cov_5.090816	45741	7.9882	7.9882	9.19384	bin.015	61.0							Bacteria?					
961	NODE_962_length_45266_cov_5.275575	45266	8.30018	8.30018	9.1867	bin.015	61.0							Bacteria?					
1027	NODE_1028_length_43747_cov_5.262542	43747	8.23992	8.23992	11.1252	bin.015	62.0							Bacteria?					
1041	NODE_1042_length_43276_cov_5.025196	43276	7.86087	7.86087	9.47746	bin.015	62.0							Bacteria?					
1059	NODE_1060_length_42992_cov_5.624007	42992	8.81966	8.81966	10.2883	bin.015	61.0							Bacteria?					
1088	NODE_1089_length_42466_cov_5.442314	42466	8.50747	8.50747	10.8119	bin.015	61.0							Bacteria?					
1157	NODE_1158_length_41082_cov_5.092256	41082	7.97752	7.97752	9.67876	bin.015	61.0							Bacteria?					
1166	NODE_1167_length_40874_cov_5.285333	40874	8.20715	8.20715	10.81	bin.015	61.0							Bacteria?					
1172	NODE_1173_length_40838_cov_5.080033	40838	7.91961	7.91961	9.33848	bin.015	60.0							Bacteria?					
1200	NODE_1201_length_40313_cov_5.209474	40313	8.14757	8.14757	10.2783	bin.015	61.0							Bacteria?					
1217	NODE_1218_length_40034_cov_5.324520	40034	8.29185	8.29185	10.0536	bin.015	61.0							Bacteria?					
1225	NODE_1226_length_39921_cov_5.340415	39921	8.39594	8.39594	11.7211	bin.015	61.0							Bacteria?					
1276	NODE_1277_length_39169_cov_5.273074	39169	8.2274	8.2274	9.7676	bin.015	61.0							Bacteria?					
1289	NODE_1290_length_39074_cov_5.496476	39074	8.60356	8.60356	10.1435	bin.015	62.0							Bacteria?					
1297	NODE_1298_length_39015_cov_4.850026	39015	7.61518	7.61518	8.46946	bin.015	62.0							Bacteria?					
1328	NODE_1329_length_38645_cov_5.017517	38645	7.87656	7.87656	10.5361	bin.015	61.0							Bacteria?					
1332	NODE_1333_length_38613_cov_5.050080	38613	7.9181	7.9181	9.59317	bin.015	60.0							Bacteria?					
1338	NODE_1339_length_38514_cov_4.833485	38514	7.54676	7.54676	9.60411	bin.015	61.0							Bacteria?					
1353	NODE_1354_length_38287_cov_5.386823	38287	8.45158	8.45158	10.2401	bin.015	61.0							Bacteria?					
1377	NODE_1378_length_37852_cov_4.959944	37852	7.68641	7.68641	9.96365	bin.015	60.0							Bacteria?					
1414	NODE_1415_length_37149_cov_5.143851	37149	8.07616	8.07616	8.79466	bin.015	61.0							Bacteria?					
1456	NODE_1457_length_36499_cov_4.977527	36499	7.83485	7.83485	9.05133	bin.015	62.0							Bacteria?					
1479	NODE_1480_length_36112_cov_5.349364	36112	8.32231	8.32231	10.1308	bin.015	62.0							Bacteria?					
1492	NODE_1493_length_35994_cov_5.001280	35994	7.80889	7.80889	7.71323	bin.015	62.0							Bacteria?					
1524	NODE_1525_length_35355_cov_5.090170	35355	7.96998	7.96998	9.61724	bin.015	62.0							Bacteria?					
1528	NODE_1529_length_35338_cov_5.159992	35338	8.04797	8.04797	10.6255	bin.015	62.0							Bacteria?					
1563	NODE_1564_length_34825_cov_5.271815	34825	8.2385	8.2385	8.83312	bin.015	61.0							Bacteria?					
1569	NODE_1570_length_34718_cov_5.108963	34718	8.00743	8.00743	10.0218	bin.015	62.0							Bacteria?					
1600	NODE_1601_length_34472_cov_5.273586	34472	8.2522	8.2522	10.1589	bin.015	61.0							Bacteria?					
1632	NODE_1633_length_34107_cov_4.844003	34107	7.58998	7.58998	10.0473	bin.015	62.0							Bacteria?					
1681	NODE_1682_length_33481_cov_5.266499	33481	8.2162	8.2162	9.92884	bin.015	63.0							Bacteria?					
1731	NODE_1732_length_32890_cov_5.295599	32890	8.12083	8.12083	11.3596	bin.015	61.0							Bacteria?					
1782	NODE_1783_length_32270_cov_4.807077	32270	7.54636	7.54636	9.7106	bin.015	62.0							Bacteria?					
1922	NODE_1923_length_31002_cov_5.076195	31002	7.88986	7.88986	10.1609	bin.015	61.0							Bacteria?					
1925	NODE_1926_length_30972_cov_5.527477	30972	8.66735	8.66735	12.1019	bin.015	61.0							Bacteria?					
2036	NODE_2037_length_30038_cov_5.348598	30038	8.32247	8.32247	12.4487	bin.015	60.0							Bacteria?					
2086	NODE_2087_length_29543_cov_5.071555	29543	7.95155	7.95155	9.16263	bin.015	61.0							Bacteria?					
2116	NODE_2117_length_29258_cov_5.392186	29258	8.46352	8.46352	10.9577	bin.015	61.0							Bacteria?					
2135	NODE_2136_length_29046_cov_4.880480	29046	7.65611	7.65611	9.45792	bin.015	63.0							Bacteria?					
2155	NODE_2156_length_28868_cov_5.383264	28868	8.34936	8.34936	10.2073	bin.015	61.0							Bacteria?					
2170	NODE_2171_length_28763_cov_4.950467	28763	7.72062	7.72062	9.40709	bin.015	62.0							Bacteria?					
2175	NODE_2176_length_28729_cov_5.041571	28729	7.86476	7.86476	9.6438	bin.015	61.0							Bacteria?					
2319	NODE_2320_length_27481_cov_5.006745	27481	7.7756	7.7756	11.4456	bin.015	61.0							Bacteria?					
2363	NODE_2364_length_27211_cov_5.289365	27211	8.36569	8.36569	9.23335	bin.015	62.0							Bacteria?					
2504	NODE_2505_length_26262_cov_4.855916	26262	7.60149	7.60149	9.48497	bin.015	60.0							Bacteria?					
2591	NODE_2592_length_25688_cov_4.934577	25688	7.77246	7.77246	8.90989	bin.015	63.0							Bacteria?					
2608	NODE_2609_length_25593_cov_5.038178	25593	7.8894	7.8894	9.17661	bin.015	61.0							Bacteria?					
2646	NODE_2647_length_25370_cov_4.872566	25370	7.61796	7.61796	9.27406	bin.015	63.0							Bacteria?					
2669	NODE_2670_length_25226_cov_4.572881	25226	7.14655	7.14655	8.00906	bin.015	61.0							Bacteria?					
2684	NODE_2685_length_25126_cov_5.256910	25126	8.26301	8.26301	9.35612	bin.015	61.0							Bacteria?					
2686	NODE_2687_length_25100_cov_5.131843	25100	8.03391	8.03391	10.5444	bin.015	61.0							Bacteria?					
2882	NODE_2883_length_24070_cov_4.782344	24070	7.53491	7.53491	11.2205	bin.015	61.0							Bacteria?					
2918	NODE_2919_length_23847_cov_4.766266	23847	7.37684	7.37684	9.54188	bin.015	61.0							Bacteria?					
2930	NODE_2931_length_23798_cov_5.131070	23798	8.09058	8.09058	12.0894	bin.015	61.0							Bacteria?					
3018	NODE_3019_length_23337_cov_4.466326	23337	7.00643	7.00643	7.8374	bin.015	62.0							Bacteria?					
3050	NODE_3051_length_23200_cov_4.594254	23200	7.19518	7.19518	8.25169	bin.015	61.0							Bacteria?					
3082	NODE_3083_length_23051_cov_4.823187	23051	7.54509	7.54509	8.72565	bin.015	62.0							Bacteria?					
3205	NODE_3206_length_22468_cov_5.254495	22468	8.20409	8.20409	9.95358	bin.015	62.0							Bacteria?					
3266	NODE_3267_length_22171_cov_4.840025	22171	7.6205	7.6205	7.85213	bin.015	62.0							Bacteria?					
3269	NODE_3270_length_22169_cov_4.773537	22169	7.54975	7.54975	9.37622	bin.015	62.0							Bacteria?					
3287	NODE_3288_length_22093_cov_5.287503	22093	8.23101	8.23101	9.22951	bin.015	61.0							Bacteria?					
3356	NODE_3357_length_21770_cov_4.990652	21770	7.82715	7.82715	10.027	bin.015	61.0							Bacteria?					
3369	NODE_3370_length_21736_cov_5.255339	21736	8.24256	8.24256	9.68098	bin.015	62.0							Bacteria?					
3404	NODE_3405_length_21594_cov_5.101769	21594	7.91517	7.91517	8.49633	bin.015	61.0							Bacteria?					
3410	NODE_3411_length_21582_cov_4.959307	21582	7.7856	7.7856	9.02961	bin.015	61.0							Bacteria?					
3431	NODE_3432_length_21497_cov_5.049622	21497	7.93278	7.93278	10.6109	bin.015	61.0							Bacteria?					
3435	NODE_3436_length_21487_cov_5.007465	21487	7.86713	7.86713	8.83153	bin.015	63.0							Bacteria?					
3500	NODE_3501_length_21229_cov_5.129687	21229	8.02951	8.02951	11.483	bin.015	61.0							Bacteria?					
3576	NODE_3577_length_20908_cov_5.412890	20908	8.42639	8.42639	10.0941	bin.015	61.0							Bacteria?					
3641	NODE_3642_length_20717_cov_4.921160	20717	7.58409	7.58409	9.54828	bin.015	60.0							Bacteria?					
3667	NODE_3668_length_20604_cov_4.948854	20604	7.77608	7.77608	8.1118	bin.015	62.0							Bacteria?					
3687	NODE_3688_length_20548_cov_4.919777	20548	7.71835	7.71835	11.2774	bin.015	62.0							Bacteria?					
3827	NODE_3828_length_20079_cov_4.728875	20079	7.47147	7.47147	8.40093	bin.015	62.0							Bacteria?					
3844	NODE_3845_length_20020_cov_4.994190	20020	7.82204	7.82204	9.21729	bin.015	62.0							Bacteria?					
4040	NODE_4041_length_19362_cov_5.220904	19362	8.20227	8.20227	9.2942	bin.015	61.0							Bacteria?					
4073	NODE_4074_length_19259_cov_5.444282	19259	8.50924	8.50924	10.3187	bin.015	61.0							Bacteria?					
4118	NODE_4119_length_19126_cov_4.973625	19126	7.76945	7.76945	8.33795	bin.015	62.0							Bacteria?					
4134	NODE_4135_length_19067_cov_5.025458	19067	7.93345	7.93345	9.43686	bin.015	61.0							Bacteria?					
4161	NODE_4162_length_19007_cov_5.233959	19007	8.2519	8.2519	10.0887	bin.015	60.0							Bacteria?					
4166	NODE_4167_length_18999_cov_5.227724	18999	8.22548	8.22548	10.1632	bin.015	61.0							Bacteria?					
4470	NODE_4471_length_18090_cov_4.920710	18090	7.70067	7.70067	8.60486	bin.015	61.0	bin.015	0.527	0.0	0.013	0.007	0.527	dsDNAphage	18004.0	2.0	20.0	10.0	|full
4612	NODE_4613_length_17726_cov_5.027446	17726	7.83239	7.83239	10.177	bin.015	61.0							Bacteria?					
4743	NODE_4744_length_17403_cov_5.322631	17403	8.32858	8.32858	10.2093	bin.015	60.0							Bacteria?					
4773	NODE_4774_length_17342_cov_5.192977	17342	8.1884	8.1884	9.10829	bin.015	60.0							Bacteria?					
5096	NODE_5097_length_16648_cov_4.909359	16648	7.63014	7.63014	10.5719	bin.015	61.0							Bacteria?					
5478	NODE_5479_length_15832_cov_4.941307	15832	7.7712	7.7712	12.4871	bin.015	63.0							Bacteria?					
5521	NODE_5522_length_15765_cov_5.310312	15765	8.26987	8.26987	10.9118	bin.015	60.0							Bacteria?					
5553	NODE_5554_length_15711_cov_5.464870	15711	8.50961	8.50961	9.28579	bin.015	61.0							Bacteria?					
5627	NODE_5628_length_15534_cov_5.081659	15534	7.94618	7.94618	6.6949	bin.015	61.0							Bacteria?					
5702	NODE_5703_length_15400_cov_4.558423	15400	7.2179	7.2179	7.60643	bin.015	63.0							Bacteria?					
5774	NODE_5775_length_15287_cov_5.136883	15287	8.0798	8.0798	11.3473	bin.015	62.0							Bacteria?					
5865	NODE_5866_length_15121_cov_5.109784	15121	7.99947	7.99947	12.6743	bin.015	61.0							Bacteria?					
5933	NODE_5934_length_15018_cov_5.557976	15018	8.66438	8.66438	10.8226	bin.015	61.0							Bacteria?					
5970	NODE_5971_length_14936_cov_5.085545	14936	7.96794	7.96794	9.74197	bin.015	61.0							Bacteria?					
6036	NODE_6037_length_14825_cov_5.082532	14825	7.99489	7.99489	8.04896	bin.015	63.0							Bacteria?					
6162	NODE_6163_length_14629_cov_4.652326	14629	7.28531	7.28531	9.63129	bin.015	61.0							Bacteria?					
6198	NODE_6199_length_14572_cov_5.069367	14572	7.93919	7.93919	9.29853	bin.015	62.0							Bacteria?					
6319	NODE_6320_length_14369_cov_5.567277	14369	8.73324	8.73324	9.64301	bin.015	62.0							Bacteria?					
6747	NODE_6748_length_13738_cov_5.185559	13738	8.08243	8.08243	9.37198	bin.015	62.0							Bacteria?					
6778	NODE_6779_length_13684_cov_5.284100	13684	8.32466	8.32466	10.7871	bin.015	62.0							Bacteria?					
6808	NODE_6809_length_13659_cov_5.137166	13659	7.98223	7.98223	8.96054	bin.015	62.0							Bacteria?					
6860	NODE_6861_length_13598_cov_5.159566	13598	8.02818	8.02818	10.6057	bin.015	62.0							Bacteria?					
7008	NODE_7009_length_13389_cov_5.199565	13389	8.18007	8.18007	12.0421	bin.015	62.0							Bacteria?					
7207	NODE_7208_length_13129_cov_4.648922	13129	7.26851	7.26851	7.71643	bin.015	62.0							Bacteria?					
7221	NODE_7222_length_13114_cov_4.387396	13114	6.90504	6.90504	6.28101	bin.015	64.0							Bacteria?					
7313	NODE_7314_length_12994_cov_5.233094	12994	8.13975	8.13975	14.4572	bin.015	62.0							Bacteria?					
7502	NODE_7503_length_12774_cov_4.810205	12774	7.57977	7.57977	9.42612	bin.015	61.0							Bacteria?					
7746	NODE_7747_length_12495_cov_5.205949	12495	8.14216	8.14216	10.0401	bin.015	61.0							Bacteria?					
7776	NODE_7777_length_12463_cov_4.733559	12463	7.43215	7.43215	8.62578	bin.015	62.0							Bacteria?					
7824	NODE_7825_length_12409_cov_5.006314	12409	7.78424	7.78424	10.3745	bin.015	60.0							Bacteria?					
7931	NODE_7932_length_12269_cov_5.029311	12269	7.85873	7.85873	11.5181	bin.015	62.0							Bacteria?					
8257	NODE_8258_length_11938_cov_5.077253	11938	7.99864	7.99864	10.9028	bin.015	62.0							Bacteria?					
8344	NODE_8345_length_11849_cov_5.395455	11849	8.54765	8.54765	8.31061	bin.015	62.0							Bacteria?					
8436	NODE_8437_length_11772_cov_4.298455	11772	6.72406	6.72406	8.76453	bin.015	63.0							Bacteria?					
8656	NODE_8657_length_11539_cov_5.070620	11539	8.00316	8.00316	11.7359	bin.015	61.0							Bacteria?					
8702	NODE_8703_length_11506_cov_4.953978	11506	7.80046	7.80046	10.4013	bin.015	62.0							Bacteria?					
8798	NODE_8799_length_11436_cov_5.027590	11436	7.84388	7.84388	9.86457	bin.015	60.0							Bacteria?					
8876	NODE_8877_length_11387_cov_4.803742	11387	7.53377	7.53377	8.26725	bin.015	62.0							Bacteria?					
8908	NODE_8909_length_11365_cov_5.320955	11365	8.17405	8.17405	15.5637	bin.015	60.0							Bacteria?					
8958	NODE_8959_length_11313_cov_4.555427	11313	7.10239	7.10239	7.70483	bin.015	60.0							Bacteria?					
8964	NODE_8965_length_11306_cov_4.865967	11306	7.62603	7.62603	8.08962	bin.015	62.0							Bacteria?					
9066	NODE_9067_length_11199_cov_4.481694	11199	7.00525	7.00525	9.36273	bin.015	63.0							Bacteria?					
9074	NODE_9075_length_11192_cov_5.358804	11192	8.39323	8.39323	15.6905	bin.015	59.0							Bacteria?					
9089	NODE_9090_length_11180_cov_4.767191	11180	7.47398	7.47398	9.93655	bin.015	61.0							Bacteria?					
9130	NODE_9131_length_11139_cov_5.592656	11139	8.68141	8.68141	11.5842	bin.015	63.0							Bacteria?					
9222	NODE_9223_length_11050_cov_5.261028	11050	8.30569	8.30569	11.7046	bin.015	63.0							Bacteria?					
9298	NODE_9299_length_10998_cov_4.945353	10998	7.8302	7.8302	8.17182	bin.015	62.0							Bacteria?					
9316	NODE_9317_length_10982_cov_6.004850	10982	9.35229	9.35229	13.1337	bin.015	62.0							Bacteria?					
9716	NODE_9717_length_10686_cov_4.707553	10686	7.39028	7.39028	7.23193	bin.015	62.0							Bacteria?					
9744	NODE_9745_length_10668_cov_4.701121	10668	7.37384	7.37384	9.78849	bin.015	62.0							Bacteria?					
9942	NODE_9943_length_10509_cov_4.751291	10509	7.52611	7.52611	10.0807	bin.015	60.0							Bacteria?					
10365	NODE_10366_length_10207_cov_5.913416	10207	9.31063	9.31063	10.7098	bin.015	59.0							Bacteria?					
10592	NODE_10593_length_10056_cov_4.733727	10056	7.45962	7.45962	9.08306	bin.015	62.0							Bacteria?					
10853	NODE_10854_length_9877_cov_5.120749	9877	8.12625	8.12625	10.5858	bin.015	63.0							Bacteria?					
10955	NODE_10956_length_9814_cov_4.939748	9814	7.7024	7.7024	11.4306	bin.015	61.0							Bacteria?					
11135	NODE_11136_length_9688_cov_5.191633	9688	8.11239	8.11239	9.77093	bin.015	60.0	bin.015	0.013	0.0	0.0	0.553	0.553	NCLDV	9685.0	0.0	10.0	0.0	|full
11175	NODE_11176_length_9660_cov_4.782509	9660	7.52744	7.52744	7.44377	bin.015	64.0							Bacteria?					
11455	NODE_11456_length_9500_cov_4.762626	9500	7.5123	7.5123	8.71112	bin.015	62.0							Bacteria?					
11975	NODE_11976_length_9191_cov_4.975372	9191	7.84216	7.84216	8.27689	bin.015	60.0							Bacteria?					
12324	NODE_12325_length_8989_cov_5.282852	8989	8.34608	8.34608	9.31464	bin.015	62.0							Bacteria?					
12763	NODE_12764_length_8764_cov_4.760363	8764	7.4589	7.4589	12.0688	bin.015	62.0							Bacteria?					
13092	NODE_13093_length_8610_cov_5.205494	8610	8.06537	8.06537	8.42097	bin.015	63.0							Bacteria?					
13377	NODE_13378_length_8486_cov_4.679279	8486	7.31886	7.31886	8.25941	bin.015	63.0							Bacteria?					
13716	NODE_13717_length_8327_cov_5.592602	8327	8.78745	8.78745	10.8274	bin.015	63.0							Bacteria?					
13718	NODE_13719_length_8327_cov_5.014990	8327	7.90767	7.90767	10.1031	bin.015	61.0							Bacteria?					
13734	NODE_13735_length_8321_cov_4.874425	8321	7.71093	7.71093	10.1486	bin.015	62.0							Bacteria?					
13929	NODE_13930_length_8239_cov_4.605450	8239	7.25158	7.25158	10.2165	bin.015	61.0							Bacteria?					
14180	NODE_14181_length_8130_cov_4.646316	8130	7.39198	7.39198	10.5236	bin.015	61.0							Bacteria?					
14340	NODE_14341_length_8073_cov_4.963457	8073	7.86306	7.86306	11.3052	bin.015	61.0							Bacteria?					
14395	NODE_14396_length_8047_cov_5.063939	8047	7.91288	7.91288	11.6246	bin.015	61.0							Bacteria?					
14808	NODE_14809_length_7884_cov_5.209861	7884	8.19343	8.19343	7.01188	bin.015	61.0							Bacteria?					
15040	NODE_15041_length_7791_cov_5.133014	7791	8.13284	8.13284	10.0299	bin.015	63.0							Bacteria?					
15239	NODE_15240_length_7729_cov_4.861480	7729	7.66262	7.66262	9.30696	bin.015	61.0							Bacteria?					
15515	NODE_15516_length_7623_cov_5.313557	7623	7.93256	7.93256	10.3963	bin.015	62.0							Bacteria?					
15765	NODE_15766_length_7542_cov_5.121410	7542	8.04992	8.04992	6.24716	bin.015	63.0							Bacteria?					
16778	NODE_16779_length_7236_cov_5.126723	7236	8.09258	8.09258	7.93218	bin.015	61.0							Bacteria?					
16933	NODE_16934_length_7187_cov_4.696579	7187	7.34518	7.34518	9.30945	bin.015	62.0							Bacteria?					
17015	NODE_17016_length_7163_cov_5.745779	7163	8.98161	8.98161	8.53325	bin.015	59.0							Bacteria?					
17155	NODE_17156_length_7126_cov_4.993777	7126	7.84404	7.84404	6.88813	bin.015	60.0							Bacteria?					
17432	NODE_17433_length_7051_cov_4.795312	7051	7.65092	7.65092	8.21066	bin.015	62.0							Bacteria?					
17991	NODE_17992_length_6894_cov_5.442170	6894	8.53588	8.53588	11.6256	bin.015	63.0							Bacteria?					
18718	NODE_18719_length_6714_cov_5.413125	6714	8.62264	8.62264	13.2035	bin.015	60.0							Bacteria?					
19518	NODE_19519_length_6525_cov_4.850696	6525	7.57914	7.57914	8.09007	bin.015	62.0							Bacteria?					
19865	NODE_19866_length_6444_cov_4.231492	6444	6.5796	6.5796	7.60585	bin.015	62.0							Bacteria?					
20432	NODE_20433_length_6327_cov_4.673469	6327	7.2566	7.2566	6.56079	bin.015	62.0							Bacteria?					
20479	NODE_20480_length_6318_cov_4.414977	6318	6.94342	6.94342	6.89882	bin.015	63.0							Bacteria?					
22402	NODE_22403_length_5949_cov_5.481167	5949	8.63373	8.63373	7.39359	bin.015	62.0							Bacteria?					
22781	NODE_22782_length_5884_cov_4.519300	5884	7.00628	7.00628	5.50352	bin.015	61.0							Bacteria?					
22822	NODE_22823_length_5876_cov_4.671191	5876	7.32518	7.32518	8.70101	bin.015	61.0							Bacteria?					
23634	NODE_23635_length_5738_cov_4.629245	5738	7.61453	7.61453	6.78893	bin.015	62.0							Bacteria?					
24999	NODE_25000_length_5518_cov_4.805784	5518	7.57805	7.57805	8.90723	bin.015	64.0							Bacteria?					
25222	NODE_25223_length_5483_cov_4.694547	5483	7.42096	7.42096	8.23935	bin.015	61.0							Bacteria?					
25878	NODE_25879_length_5387_cov_4.681733	5387	7.29654	7.29654	9.33366	bin.015	61.0	bin.015	0.147	0.007	0.133	0.76	0.76	NCLDV	5015.0	0.0	20.0	0.0	|full
25986	NODE_25987_length_5374_cov_5.108103	5374	7.93262	7.93262	7.89323	bin.015	59.0							Bacteria?					
26213	NODE_26214_length_5343_cov_4.311082	5343	6.75891	6.75891	7.75626	bin.015	60.0							Bacteria?					
26771	NODE_26772_length_5270_cov_5.501630	5270	8.74082	8.74082	8.47679	bin.015	62.0							Bacteria?					
27232	NODE_27233_length_5214_cov_5.145377	5214	8.13922	8.13922	11.3113	bin.015	63.0							Bacteria?					
27385	NODE_27386_length_5195_cov_4.871984	5195	7.73954	7.73954	10.147	bin.015	62.0							Bacteria?					
27826	NODE_27827_length_5137_cov_4.950020	5137	7.83397	7.83397	10.2783	bin.015	62.0							Bacteria?					
28254	NODE_28255_length_5087_cov_5.123013	5087	8.11728	8.11728	8.79673	bin.015	61.0							Bacteria?					
28378	NODE_28379_length_5073_cov_5.321044	5073	8.38371	8.38371	10.9204	bin.015	61.0							Bacteria?					
12	NODE_13_length_285026_cov_8.358107	285026	12.9173	12.9173	16.3641	bin.016	47.0	bin.016	0.587	0.0	0.06	0.907	0.907	NCLDV	186611.0	2.0	9.9	2.9	|0_partial
4846	NODE_4847_length_17176_cov_3.938205	17176	6.15376	6.15376	8.67256	bin.017	30.0	bin.017	0.987	0.433	0.56	0.787	0.987	dsDNAphage	17108.0	1.0	16.2	0.0	|full
7558	NODE_7559_length_12715_cov_3.584755	12715	5.45985	5.45985	6.85038	bin.017	31.0	bin.017	0.933	0.2	0.193	0.34	0.933	dsDNAphage	12711.0	0.0	39.3	0.0	|full
9724	NODE_9725_length_10680_cov_4.023812	10680	6.30769	6.30769	6.15972	bin.017	32.0	bin.017	0.887	0.007	0.08	0.133	0.887	dsDNAphage	10647.0	0.0	23.8	4.8	|full
10050	NODE_10051_length_10433_cov_3.339468	10433	5.20568	5.20568	6.26163	bin.017	30.0	bin.017	0.887	0.127	0.007	0.107	0.887	dsDNAphage	10353.0	0.0	13.3	6.7	|full
10388	NODE_10389_length_10189_cov_3.299487	10189	5.18727	5.18727	5.59531	bin.017	31.0	bin.017	0.947	0.16	0.34	0.3	0.947	dsDNAphage	10034.0	0.0	28.6	0.0	|full
11774	NODE_11775_length_9311_cov_4.252377	9311	6.47942	6.47942	14.7266	bin.017	30.0	bin.017	0.98	0.253	0.113	0.24	0.98	dsDNAphage	9173.0	1.0	13.6	0.0	|full
13419	NODE_13420_length_8469_cov_4.583551	8469	7.12574	7.12574	8.55137	bin.017	32.0	bin.017	0.96	0.287	0.14	0.347	0.96	dsDNAphage	8466.0	1.0	14.3	0.0	|full
13771	NODE_13772_length_8304_cov_3.934295	8304	5.94763	5.94763	5.22789	bin.017	31.0	bin.017	0.9	0.04	0.053	0.067	0.9	dsDNAphage	8301.0	0.0	27.3	4.5	|full
18295	NODE_18296_length_6818_cov_3.837498	6818	5.92067	5.92067	6.6043	bin.017	28.0	bin.017	0.953	0.053	0.073	0.267	0.953	dsDNAphage	6478.0	0.0	25.0	5.0	|full
20614	NODE_20615_length_6293_cov_3.726034	6293	5.87368	5.87368	6.72635	bin.017	30.0	bin.017	0.827	0.58	0.3	0.32	0.827	dsDNAphage	6197.0	0.0	50.0	0.0	|full
