	seqname	contigLen	totalAvgDepth	080a2ed5-d944-4915-9236-64933bc4da51.inter.fastq.sam.sorted.bam	080a2ed5-d944-4915-9236-64933bc4da51.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
233	NODE_234_length_38051_cov_29.418465	38051	43.4246	43.4246	67.051	bin.008	37.0	bin.008	0.733	0.0	0.0	0.027	0.733	dsDNAphage	36162.0	2.0	21.4	23.8	|full
255	NODE_256_length_35607_cov_24.640442	35607	38.0187	38.0187	51.4438	bin.008	34.0							Bacteria?					
292	NODE_293_length_31068_cov_29.003869	31068	43.3109	43.3109	58.6579	bin.008	36.0							Bacteria?					
295	NODE_296_length_30947_cov_25.390069	30947	39.4757	39.4757	60.7463	bin.008	35.0							Bacteria?					
318	NODE_319_length_28941_cov_25.608426	28941	39.3414	39.3414	50.8116	bin.008	33.0							Bacteria?					
344	NODE_345_length_27014_cov_25.648318	27014	39.2505	39.2505	54.7601	bin.008	34.0							Bacteria?					
353	NODE_354_length_26432_cov_29.718353	26432	45.3559	45.3559	70.8086	bin.008	34.0							Bacteria?					
362	NODE_363_length_26223_cov_27.019833	26223	40.4437	40.4437	54.8745	bin.008	37.0							Bacteria?					
367	NODE_368_length_25944_cov_22.264823	25944	34.3449	34.3449	46.1822	bin.008	34.0							Bacteria?					
368	NODE_369_length_25937_cov_29.085542	25937	44.7531	44.7531	66.3459	bin.008	34.0							Bacteria?					
385	NODE_386_length_25248_cov_28.523796	25248	42.6896	42.6896	65.5239	bin.008	35.0							Bacteria?					
389	NODE_390_length_24973_cov_26.885504	24973	41.4022	41.4022	45.2801	bin.008	35.0							Bacteria?					
397	NODE_398_length_24783_cov_30.251618	24783	46.5316	46.5316	68.4197	bin.008	34.0							Bacteria?					
407	NODE_408_length_24171_cov_34.320410	24171	45.0418	45.0418	102.486	bin.008	33.0							Bacteria?					
422	NODE_423_length_23794_cov_25.159948	23794	39.0491	39.0491	50.9103	bin.008	30.0							Bacteria?					
426	NODE_427_length_23615_cov_28.224958	23615	42.3668	42.3668	69.6167	bin.008	34.0							Bacteria?					
435	NODE_436_length_23383_cov_27.075189	23383	40.8598	40.8598	79.4601	bin.008	36.0							Bacteria?					
450	NODE_451_length_22320_cov_29.320683	22320	43.352	43.352	70.6824	bin.008	36.0							Bacteria?					
463	NODE_464_length_21709_cov_23.217050	21709	34.6224	34.6224	64.7737	bin.008	37.0							Bacteria?					
464	NODE_465_length_21698_cov_26.886199	21698	41.4642	41.4642	62.3415	bin.008	37.0							Bacteria?					
476	NODE_477_length_21178_cov_28.571368	21178	42.3492	42.3492	51.4112	bin.008	36.0							Bacteria?					
482	NODE_483_length_20810_cov_32.614406	20810	44.6439	44.6439	93.4758	bin.008	33.0							Bacteria?					
510	NODE_511_length_19944_cov_28.814621	19944	44.1651	44.1651	52.0128	bin.008	38.0							Bacteria?					
514	NODE_515_length_19879_cov_28.161673	19879	42.9157	42.9157	62.2129	bin.008	35.0							Bacteria?					
522	NODE_523_length_19620_cov_30.785433	19620	46.3302	46.3302	71.6285	bin.008	35.0							Bacteria?					
540	NODE_541_length_18929_cov_26.998728	18929	41.7438	41.7438	49.6469	bin.008	34.0							Bacteria?					
587	NODE_588_length_17500_cov_30.754887	17500	46.995	46.995	96.073	bin.008	36.0							Bacteria?					
590	NODE_591_length_17397_cov_24.134702	17397	35.672	35.672	73.5913	bin.008	35.0							Bacteria?					
605	NODE_606_length_17033_cov_29.688715	17033	45.1299	45.1299	62.1908	bin.008	29.0							Bacteria?					
621	NODE_622_length_16660_cov_24.613610	16660	38.0975	38.0975	44.9333	bin.008	34.0							Bacteria?					
633	NODE_634_length_16418_cov_27.290289	16418	41.1303	41.1303	57.7161	bin.008	36.0							Bacteria?					
639	NODE_640_length_16306_cov_28.356532	16306	43.1241	43.1241	63.0897	bin.008	34.0							Bacteria?					
729	NODE_730_length_14664_cov_29.136560	14664	43.4895	43.4895	64.4066	bin.008	35.0							Bacteria?					
789	NODE_790_length_13799_cov_30.501310	13799	46.8604	46.8604	71.9532	bin.008	35.0							Bacteria?					
794	NODE_795_length_13736_cov_28.087128	13736	43.1576	43.1576	49.6019	bin.008	34.0							Bacteria?					
800	NODE_801_length_13635_cov_27.857511	13635	42.0099	42.0099	50.4288	bin.008	31.0							Bacteria?					
862	NODE_863_length_12873_cov_30.482603	12873	45.6853	45.6853	86.4582	bin.008	35.0							Bacteria?					
868	NODE_869_length_12755_cov_29.598110	12755	43.6232	43.6232	101.472	bin.008	35.0							Bacteria?					
892	NODE_893_length_12433_cov_25.271126	12433	39.7926	39.7926	51.8257	bin.008	30.0							Bacteria?					
895	NODE_896_length_12419_cov_26.092850	12419	39.7834	39.7834	64.9291	bin.008	36.0							Bacteria?					
897	NODE_898_length_12405_cov_27.438543	12405	40.9324	40.9324	67.9126	bin.008	36.0							Bacteria?					
942	NODE_943_length_12017_cov_24.136766	12017	36.9381	36.9381	54.1466	bin.008	34.0							Bacteria?					
948	NODE_949_length_11967_cov_27.663868	11967	40.9095	40.9095	71.1197	bin.008	38.0							Bacteria?					
951	NODE_952_length_11924_cov_28.549751	11924	41.1445	41.1445	77.4408	bin.008	33.0							Bacteria?					
1001	NODE_1002_length_11298_cov_27.171218	11298	41.228	41.228	45.2493	bin.008	36.0							Bacteria?					
1032	NODE_1033_length_11002_cov_27.344021	11002	42.5282	42.5282	66.9222	bin.008	35.0							Bacteria?					
1039	NODE_1040_length_10949_cov_39.799982	10949	60.0862	60.0862	96.2582	bin.008	31.0							Bacteria?					
1048	NODE_1049_length_10908_cov_24.559569	10908	37.6269	37.6269	75.0864	bin.008	35.0							Bacteria?					
1050	NODE_1051_length_10903_cov_29.198378	10903	45.6458	45.6458	44.1014	bin.008	32.0							Bacteria?					
1085	NODE_1086_length_10619_cov_30.553578	10619	45.1999	45.1999	75.6347	bin.008	34.0							Bacteria?					
1120	NODE_1121_length_10370_cov_29.692584	10370	45.3226	45.3226	80.3462	bin.008	34.0							Bacteria?					
1168	NODE_1169_length_10049_cov_27.651691	10049	42.7603	42.7603	61.4353	bin.008	29.0							Bacteria?					
1179	NODE_1180_length_10003_cov_26.080217	10003	40.4365	40.4365	41.8159	bin.008	34.0							Bacteria?					
1235	NODE_1236_length_9688_cov_28.680889	9688	44.5733	44.5733	47.3026	bin.008	33.0							Bacteria?					
1354	NODE_1355_length_8982_cov_27.606811	8982	41.718	41.718	62.6716	bin.008	39.0							Bacteria?					
1372	NODE_1373_length_8907_cov_28.529937	8907	42.9463	42.9463	52.9011	bin.008	30.0	bin.008	0.747	0.1	0.12	0.553	0.747	dsDNAphage	8514.0	0.0	50.0	0.0	|full
1381	NODE_1382_length_8873_cov_25.743139	8873	39.3979	39.3979	61.7923	bin.008	36.0							Bacteria?					
1484	NODE_1485_length_8378_cov_25.173135	8378	39.3623	39.3623	49.1437	bin.008	29.0							Bacteria?					
1514	NODE_1515_length_8243_cov_26.889595	8243	39.813	39.813	58.3762	bin.008	38.0							Bacteria?					
1554	NODE_1555_length_8084_cov_23.915556	8084	36.5398	36.5398	55.1595	bin.008	35.0							Bacteria?					
1570	NODE_1571_length_8026_cov_26.993351	8026	40.5582	40.5582	49.0611	bin.008	37.0							Bacteria?					
1579	NODE_1580_length_7993_cov_28.130763	7993	43.7917	43.7917	79.5368	bin.008	34.0							Bacteria?					
1625	NODE_1626_length_7872_cov_26.635794	7872	37.7946	37.7946	48.8604	bin.008	36.0							Bacteria?					
1824	NODE_1825_length_7262_cov_26.618149	7262	40.5887	40.5887	80.0485	bin.008	38.0							Bacteria?					
2079	NODE_2080_length_6555_cov_29.104462	6555	41.3254	41.3254	66.8075	bin.008	35.0							Bacteria?					
2089	NODE_2090_length_6530_cov_25.391506	6530	39.2933	39.2933	45.0242	bin.008	35.0							Bacteria?					
2123	NODE_2124_length_6465_cov_27.979563	6465	41.5707	41.5707	74.2724	bin.008	35.0							Bacteria?					
2221	NODE_2222_length_6307_cov_25.221209	6307	38.9786	38.9786	45.8777	bin.008	34.0							Bacteria?					
2349	NODE_2350_length_6032_cov_28.399699	6032	43.0223	43.0223	73.5294	bin.008	38.0	bin.008	0.987	0.76	0.707	0.953	0.987	dsDNAphage	5894.0	1.0	66.7	0.0	|full
2415	NODE_2416_length_5922_cov_31.320266	5922	44.5062	44.5062	64.7484	bin.008	36.0							Bacteria?					
2578	NODE_2579_length_5644_cov_29.649311	5644	43.7394	43.7394	52.504	bin.008	36.0							Bacteria?					
2610	NODE_2611_length_5598_cov_35.472668	5598	49.266	49.266	65.9602	bin.008	33.0							Bacteria?					
2641	NODE_2642_length_5558_cov_27.870253	5558	42.456	42.456	64.701	bin.008	37.0							Bacteria?					
2719	NODE_2720_length_5455_cov_23.993519	5455	35.97	35.97	34.759	bin.008	36.0							Bacteria?					
2738	NODE_2739_length_5433_cov_29.190033	5433	44.3008	44.3008	48.8197	bin.008	35.0							Bacteria?					
2749	NODE_2750_length_5416_cov_21.274203	5416	33.4833	33.4833	40.384	bin.008	29.0							Bacteria?					
27	NODE_28_length_157178_cov_10.344596	157178	16.1457	16.1457	21.2028	bin.009	59.0							Bacteria?					
53	NODE_54_length_96385_cov_10.990937	96385	16.9836	16.9836	23.4935	bin.009	60.0							Bacteria?					
117	NODE_118_length_61380_cov_11.988259	61380	18.1578	18.1578	24.1083	bin.009	57.0							Bacteria?					
155	NODE_156_length_49631_cov_10.485194	49631	16.4432	16.4432	19.9547	bin.009	58.0							Bacteria?					
438	NODE_439_length_23137_cov_10.687895	23137	16.8272	16.8272	22.7179	bin.009	57.0							Bacteria?					
489	NODE_490_length_20697_cov_11.431014	20697	17.9944	17.9944	22.0223	bin.009	59.0							Bacteria?					
500	NODE_501_length_20301_cov_11.263015	20301	17.4766	17.4766	20.5095	bin.009	58.0							Bacteria?					
558	NODE_559_length_18408_cov_11.702283	18408	18.3147	18.3147	30.5866	bin.009	57.0							Bacteria?					
738	NODE_739_length_14474_cov_11.886608	14474	17.4788	17.4788	29.3668	bin.009	58.0							Bacteria?					
761	NODE_762_length_14162_cov_11.644219	14162	18.329	18.329	21.1381	bin.009	60.0							Bacteria?					
912	NODE_913_length_12289_cov_11.912784	12289	18.5924	18.5924	22.5793	bin.009	60.0							Bacteria?					
913	NODE_914_length_12288_cov_10.568544	12288	16.4021	16.4021	18.4288	bin.009	57.0							Bacteria?					
920	NODE_921_length_12205_cov_10.496132	12205	16.0042	16.0042	24.611	bin.009	57.0							Bacteria?					
1282	NODE_1283_length_9345_cov_11.288159	9345	17.3151	17.3151	29.4785	bin.009	57.0							Bacteria?					
1813	NODE_1814_length_7299_cov_15.545417	7299	16.9716	16.9716	28.5092	bin.009	55.0							Bacteria?					
1985	NODE_1986_length_6789_cov_11.256460	6789	16.4639	16.4639	26.593	bin.009	56.0							Bacteria?					
2491	NODE_2492_length_5794_cov_11.353546	5794	16.5508	16.5508	20.7043	bin.009	58.0							Bacteria?					
2767	NODE_2768_length_5386_cov_11.692178	5386	16.8612	16.8612	22.6947	bin.009	58.0							Bacteria?					
6	NODE_7_length_366519_cov_10.987767	366519	17.1549	17.1549	22.7234	bin.010	62.0							Bacteria?					
7	NODE_8_length_352290_cov_10.453833	352290	16.383	16.383	20.873	bin.010	64.0							Bacteria?					
11	NODE_12_length_263739_cov_10.390585	263739	16.2513	16.2513	20.8324	bin.010	63.0							Bacteria?					
23	NODE_24_length_173851_cov_10.176293	173851	15.8932	15.8932	21.4661	bin.010	63.0							Bacteria?					
25	NODE_26_length_170395_cov_10.466778	170395	16.3732	16.3732	20.0817	bin.010	64.0							Bacteria?					
26	NODE_27_length_160922_cov_11.051241	160922	17.3612	17.3612	22.7549	bin.010	64.0							Bacteria?					
30	NODE_31_length_149902_cov_10.889614	149902	17.1043	17.1043	20.3953	bin.010	63.0							Bacteria?					
34	NODE_35_length_125472_cov_10.397530	125472	16.3169	16.3169	21.0312	bin.010	63.0							Bacteria?					
42	NODE_43_length_112063_cov_10.486867	112063	16.4146	16.4146	21.2936	bin.010	64.0							Bacteria?					
49	NODE_50_length_99891_cov_10.282283	99891	16.1668	16.1668	21.0838	bin.010	63.0							Bacteria?					
56	NODE_57_length_93255_cov_10.684238	93255	16.7562	16.7562	20.839	bin.010	63.0							Bacteria?					
57	NODE_58_length_93107_cov_10.941076	93107	17.1381	17.1381	21.5013	bin.010	64.0							Bacteria?					
59	NODE_60_length_89645_cov_10.804509	89645	16.77	16.77	21.1751	bin.010	63.0							Bacteria?					
66	NODE_67_length_85644_cov_10.149213	85644	15.8194	15.8194	22.8807	bin.010	65.0							Bacteria?					
77	NODE_78_length_77004_cov_10.548493	77004	16.572	16.572	21.9705	bin.010	65.0							Bacteria?					
80	NODE_81_length_72604_cov_10.950695	72604	17.208	17.208	21.1523	bin.010	64.0							Bacteria?					
98	NODE_99_length_65349_cov_10.474868	65349	16.4359	16.4359	22.5051	bin.010	63.0							Bacteria?					
107	NODE_108_length_63588_cov_10.966364	63588	16.9748	16.9748	23.2176	bin.010	63.0							Bacteria?					
128	NODE_129_length_55780_cov_10.044253	55780	15.7353	15.7353	19.9587	bin.010	63.0							Bacteria?					
136	NODE_137_length_53322_cov_11.023260	53322	17.3797	17.3797	24.345	bin.010	66.0							Bacteria?					
137	NODE_138_length_53278_cov_10.357458	53278	16.1607	16.1607	21.1368	bin.010	64.0	bin.010	0.913	0.0	0.107	0.02	0.913	dsDNAphage	28500.0	3.0	22.6	22.6	|0_partial
146	NODE_147_length_51630_cov_11.419370	51630	17.8026	17.8026	22.0726	bin.010	63.0							Bacteria?					
152	NODE_153_length_50619_cov_10.404913	50619	16.191	16.191	21.2566	bin.010	64.0							Bacteria?					
158	NODE_159_length_49348_cov_10.466618	49348	16.3615	16.3615	20.5565	bin.010	64.0							Bacteria?					
159	NODE_160_length_49312_cov_10.797491	49312	16.8953	16.8953	23.1743	bin.010	64.0							Bacteria?					
170	NODE_171_length_46574_cov_10.577613	46574	16.593	16.593	23.5293	bin.010	62.0							Bacteria?					
184	NODE_185_length_45349_cov_10.980064	45349	17.261	17.261	21.5787	bin.010	63.0							Bacteria?					
196	NODE_197_length_43307_cov_9.906964	43307	15.449	15.449	20.9346	bin.010	65.0							Bacteria?					
203	NODE_204_length_42593_cov_10.323946	42593	16.0977	16.0977	18.3844	bin.010	64.0							Bacteria?					
214	NODE_215_length_40508_cov_11.467456	40508	18.0466	18.0466	24.3173	bin.010	64.0							Bacteria?					
232	NODE_233_length_38212_cov_10.687659	38212	16.7751	16.7751	21.2429	bin.010	63.0							Bacteria?					
244	NODE_245_length_37193_cov_9.962761	37193	15.5378	15.5378	17.2223	bin.010	64.0							Bacteria?					
266	NODE_267_length_33869_cov_10.227953	33869	16.0632	16.0632	22.4391	bin.010	64.0							Bacteria?					
271	NODE_272_length_33464_cov_10.039091	33464	15.8052	15.8052	24.0211	bin.010	63.0							Bacteria?					
285	NODE_286_length_31786_cov_10.531342	31786	16.4457	16.4457	20.8843	bin.010	65.0							Bacteria?					
304	NODE_305_length_29764_cov_10.195362	29764	15.9472	15.9472	19.1309	bin.010	63.0							Bacteria?					
323	NODE_324_length_28488_cov_10.366757	28488	16.2846	16.2846	23.2472	bin.010	64.0							Bacteria?					
335	NODE_336_length_27910_cov_10.782301	27910	16.8092	16.8092	19.8717	bin.010	63.0							Bacteria?					
363	NODE_364_length_26177_cov_10.835924	26177	16.2846	16.2846	19.8412	bin.010	63.0							Bacteria?					
380	NODE_381_length_25416_cov_10.516029	25416	16.4117	16.4117	19.4615	bin.010	62.0							Bacteria?					
460	NODE_461_length_21781_cov_11.114885	21781	17.4131	17.4131	23.1585	bin.010	61.0	bin.010	0.587	0.0	0.073	0.027	0.587	dsDNAphage	21730.0	1.0	25.0	18.8	|full
466	NODE_467_length_21663_cov_10.130044	21663	15.7964	15.7964	20.999	bin.010	62.0							Bacteria?					
487	NODE_488_length_20729_cov_9.969575	20729	15.5299	15.5299	20.8814	bin.010	62.0							Bacteria?					
501	NODE_502_length_20265_cov_10.837853	20265	17.0761	17.0761	21.8493	bin.010	64.0							Bacteria?					
513	NODE_514_length_19894_cov_10.738344	19894	16.9563	16.9563	18.6959	bin.010	64.0							Bacteria?					
546	NODE_547_length_18843_cov_10.703268	18843	16.8837	16.8837	25.1492	bin.010	64.0							Bacteria?					
555	NODE_556_length_18533_cov_10.224916	18533	16.0634	16.0634	16.704	bin.010	63.0							Bacteria?					
570	NODE_571_length_18056_cov_10.554191	18056	16.4615	16.4615	19.8044	bin.010	63.0							Bacteria?					
596	NODE_597_length_17262_cov_11.212472	17262	17.4358	17.4358	22.7834	bin.010	63.0							Bacteria?					
627	NODE_628_length_16536_cov_10.641405	16536	16.1132	16.1132	19.071	bin.010	60.0							Bacteria?					
680	NODE_681_length_15650_cov_11.494197	15650	16.0245	16.0245	25.0238	bin.010	64.0							Bacteria?					
722	NODE_723_length_14743_cov_11.289284	14743	17.6788	17.6788	20.9139	bin.010	61.0							Bacteria?					
774	NODE_775_length_14040_cov_10.606078	14040	15.6183	15.6183	18.5064	bin.010	64.0							Bacteria?					
828	NODE_829_length_13317_cov_10.568165	13317	16.544	16.544	21.939	bin.010	65.0							Bacteria?					
1024	NODE_1025_length_11106_cov_9.473803	11106	14.9801	14.9801	13.5785	bin.010	63.0							Bacteria?					
1055	NODE_1056_length_10863_cov_10.559215	10863	16.5516	16.5516	18.2341	bin.010	61.0							Bacteria?					
1091	NODE_1092_length_10559_cov_11.797030	10559	18.4273	18.4273	20.1622	bin.010	62.0	bin.010	0.087	0.0	0.273	0.773	0.773	NCLDV	10557.0	0.0	22.2	0.0	|full
1248	NODE_1249_length_9608_cov_10.211766	9608	16.0167	16.0167	23.7525	bin.010	64.0							Bacteria?					
1429	NODE_1430_length_8574_cov_11.944829	8574	18.6768	18.6768	33.5191	bin.010	62.0							Bacteria?					
1721	NODE_1722_length_7585_cov_11.023772	7585	17.2507	17.2507	20.8324	bin.010	64.0							Bacteria?					
2037	NODE_2038_length_6672_cov_10.620221	6672	16.2619	16.2619	15.1654	bin.010	63.0							Bacteria?					
2280	NODE_2281_length_6189_cov_10.296218	6189	15.9107	15.9107	24.8532	bin.010	64.0							Bacteria?					
427	NODE_428_length_23598_cov_3.501805	23598	5.49471	5.49471	5.13912	bin.011	36.0							Bacteria?					
711	NODE_712_length_14931_cov_3.204961	14931	5.00913	5.00913	5.02992	bin.011	39.0							Bacteria?					
735	NODE_736_length_14548_cov_3.529980	14548	5.58473	5.58473	5.9383	bin.011	35.0	bin.011	0.453	0.2	0.453	0.853	0.853	NCLDV	14546.0	0.0	11.8	0.0	|full
806	NODE_807_length_13544_cov_3.344355	13544	5.26042	5.26042	6.31236	bin.011	35.0							Bacteria?					
834	NODE_835_length_13214_cov_3.509537	13214	5.44588	5.44588	5.28887	bin.011	33.0							Bacteria?					
980	NODE_981_length_11591_cov_3.156553	11591	4.9743	4.9743	5.70121	bin.011	37.0	bin.011	0.313	0.067	0.8	0.427	0.8	lavidaviridae	11590.0	0.0	18.8	6.2	|full
992	NODE_993_length_11400_cov_3.602997	11400	5.66293	5.66293	7.53717	bin.011	36.0							Bacteria?					
994	NODE_995_length_11382_cov_3.202790	11382	5.05858	5.05858	4.62247	bin.011	33.0	bin.011	0.273	0.007	0.68	0.873	0.873	NCLDV	11304.0	0.0	27.3	0.0	|full
1010	NODE_1011_length_11254_cov_3.339405	11254	5.24586	5.24586	4.55277	bin.011	34.0							Bacteria?					
1018	NODE_1019_length_11171_cov_3.214466	11171	5.10153	5.10153	5.09064	bin.011	37.0	bin.011	0.36	0.033	0.853	0.54	0.853	lavidaviridae	11171.0	0.0	20.0	6.7	|full
1047	NODE_1048_length_10910_cov_3.095071	10910	4.87751	4.87751	4.4113	bin.011	36.0	bin.011	0.34	0.087	0.973	0.96	0.973	lavidaviridae	10666.0	0.0	33.3	0.0	|full
1104	NODE_1105_length_10467_cov_2.842682	10467	4.48764	4.48764	3.84489	bin.011	35.0	bin.011	0.267	0.047	0.72	0.167	0.72	lavidaviridae	10464.0	0.0	15.4	7.7	|full
1182	NODE_1183_length_9984_cov_3.187632	9984	5.03396	5.03396	5.40254	bin.011	34.0							Bacteria?					
1203	NODE_1204_length_9886_cov_3.362222	9886	5.29283	5.29283	4.72265	bin.011	29.0	bin.011	0.453	0.06	0.86	0.753	0.86	lavidaviridae	9885.0	0.0	15.4	0.0	|full
1278	NODE_1279_length_9371_cov_3.423572	9371	5.30376	5.30376	5.32101	bin.011	36.0							Bacteria?					
1294	NODE_1295_length_9300_cov_3.236777	9300	5.13661	5.13661	6.85845	bin.011	37.0							Bacteria?					
1313	NODE_1314_length_9172_cov_3.271800	9172	5.1391	5.1391	5.67941	bin.011	34.0							Bacteria?					
1367	NODE_1368_length_8933_cov_3.162875	8933	4.70989	4.70989	4.41652	bin.011	37.0							Bacteria?					
1383	NODE_1384_length_8860_cov_3.455650	8860	5.50712	5.50712	5.37024	bin.011	35.0							Bacteria?					
1518	NODE_1519_length_8224_cov_4.231362	8224	6.47572	6.47572	14.9722	bin.011	37.0							Bacteria?					
1538	NODE_1539_length_8146_cov_3.184155	8146	5.06403	5.06403	6.52492	bin.011	33.0							Bacteria?					
1563	NODE_1564_length_8052_cov_3.011379	8052	4.74424	4.74424	6.26564	bin.011	35.0							Bacteria?					
1589	NODE_1590_length_7969_cov_2.963735	7969	4.61862	4.61862	3.49689	bin.011	37.0	bin.011	0.14	0.007	0.353	0.947	0.947	NCLDV	7969.0	0.0	11.1	0.0	|full
1635	NODE_1636_length_7845_cov_3.246213	7845	5.13528	5.13528	6.6357	bin.011	38.0							Bacteria?					
1675	NODE_1676_length_7710_cov_3.684520	7710	5.87156	5.87156	7.13076	bin.011	31.0							Bacteria?					
1702	NODE_1703_length_7636_cov_3.348767	7636	5.24619	5.24619	5.85356	bin.011	38.0							Bacteria?					
1708	NODE_1709_length_7608_cov_3.375877	7608	5.34165	5.34165	5.43972	bin.011	38.0							Bacteria?					
1714	NODE_1715_length_7596_cov_3.263360	7596	5.15498	5.15498	3.70684	bin.011	29.0							Bacteria?					
1731	NODE_1732_length_7544_cov_3.353452	7544	5.31539	5.31539	5.51557	bin.011	33.0							Bacteria?					
1755	NODE_1756_length_7481_cov_2.970374	7481	4.68681	4.68681	4.34645	bin.011	37.0							Bacteria?					
1773	NODE_1774_length_7427_cov_3.043136	7427	4.77697	4.77697	5.43687	bin.011	38.0							Bacteria?					
1781	NODE_1782_length_7416_cov_3.129602	7416	4.98128	4.98128	4.5222	bin.011	34.0							Bacteria?					
1793	NODE_1794_length_7381_cov_3.098417	7381	4.87194	4.87194	5.396	bin.011	39.0							Bacteria?					
1794	NODE_1795_length_7380_cov_3.505802	7380	5.56846	5.56846	6.59556	bin.011	34.0							Bacteria?					
1810	NODE_1811_length_7316_cov_3.511913	7316	5.52344	5.52344	8.32712	bin.011	37.0	bin.011	0.38	0.0	0.127	0.607	0.607	NCLDV	7301.0	0.0	15.4	7.7	|full
1825	NODE_1826_length_7247_cov_2.916852	7247	4.57348	4.57348	3.12433	bin.011	35.0							Bacteria?					
1829	NODE_1830_length_7240_cov_3.404454	7240	5.39549	5.39549	5.95697	bin.011	37.0	bin.011	0.413	0.02	0.493	0.92	0.92	NCLDV	7238.0	0.0	22.2	0.0	|full
1847	NODE_1848_length_7201_cov_2.693535	7201	4.26479	4.26479	3.77062	bin.011	36.0	bin.011	0.2	0.013	0.987	0.573	0.987	lavidaviridae	7199.0	0.0	12.5	0.0	|full
1867	NODE_1868_length_7155_cov_3.418592	7155	5.28879	5.28879	4.19858	bin.011	34.0	bin.011	0.08	0.0	0.173	0.533	0.533	NCLDV	7153.0	0.0	25.0	12.5	|full
1871	NODE_1872_length_7150_cov_3.149965	7150	4.82443	4.82443	5.84271	bin.011	29.0							Bacteria?					
1896	NODE_1897_length_7056_cov_3.540351	7056	5.5934	5.5934	6.54294	bin.011	33.0							Bacteria?					
1913	NODE_1914_length_7010_cov_3.623724	7010	5.65743	5.65743	6.35208	bin.011	35.0							Bacteria?					
1950	NODE_1951_length_6902_cov_3.269169	6902	5.04295	5.04295	4.8867	bin.011	40.0	bin.011	0.16	0.02	0.047	0.927	0.927	NCLDV	6898.0	0.0	16.7	0.0	|full
1960	NODE_1961_length_6877_cov_3.360012	6877	5.33492	5.33492	4.50611	bin.011	37.0							Bacteria?					
1978	NODE_1979_length_6826_cov_3.417959	6826	5.45836	5.45836	6.26687	bin.011	32.0	bin.011	0.393	0.033	0.74	0.327	0.74	lavidaviridae	6822.0	0.0	14.3	0.0	|full
1984	NODE_1985_length_6790_cov_3.372680	6790	5.34563	5.34563	4.05252	bin.011	37.0							Bacteria?					
2002	NODE_2003_length_6764_cov_3.043971	6764	4.74327	4.74327	5.98551	bin.011	34.0							Bacteria?					
2006	NODE_2007_length_6758_cov_3.237506	6758	5.13151	5.13151	4.34559	bin.011	37.0	bin.011	0.287	0.153	0.767	0.94	0.94	NCLDV	6756.0	0.0	37.5	0.0	|full
2016	NODE_2017_length_6735_cov_3.427246	6735	5.39742	5.39742	4.98025	bin.011	35.0	bin.011	0.547	0.533	0.98	0.82	0.98	lavidaviridae	6731.0	0.0	22.2	0.0	|full
2040	NODE_2041_length_6667_cov_3.476558	6667	5.46801	5.46801	6.15902	bin.011	38.0							Bacteria?					
2060	NODE_2061_length_6605_cov_2.987328	6605	4.79241	4.79241	6.36869	bin.011	39.0	bin.011	0.2	0.007	0.72	0.387	0.72	lavidaviridae	6602.0	0.0	16.7	0.0	|full
2130	NODE_2131_length_6446_cov_3.586763	6446	5.66264	5.66264	6.92765	bin.011	36.0							Bacteria?					
2131	NODE_2132_length_6445_cov_3.462911	6445	5.39317	5.39317	5.62153	bin.011	36.0							Bacteria?					
2133	NODE_2134_length_6442_cov_3.513387	6442	5.64431	5.64431	5.55111	bin.011	34.0							Bacteria?					
2148	NODE_2149_length_6416_cov_3.076403	6416	4.87281	4.87281	3.92632	bin.011	36.0							Bacteria?					
2159	NODE_2160_length_6399_cov_3.249369	6399	5.09634	5.09634	5.07485	bin.011	34.0							Bacteria?					
2179	NODE_2180_length_6375_cov_2.830538	6375	4.55663	4.55663	3.8711	bin.011	33.0	bin.011	0.54	0.107	0.94	0.727	0.94	lavidaviridae	6374.0	0.0	20.0	0.0	|full
2190	NODE_2191_length_6361_cov_2.904694	6361	4.65239	4.65239	3.63759	bin.011	37.0							Bacteria?					
2195	NODE_2196_length_6347_cov_3.679434	6347	5.78441	5.78441	7.27062	bin.011	36.0							Bacteria?					
2204	NODE_2205_length_6334_cov_2.535913	6334	3.99822	3.99822	2.83761	bin.011	39.0							Bacteria?					
2206	NODE_2207_length_6329_cov_3.449155	6329	5.39845	5.39845	3.5175	bin.011	34.0							Bacteria?					
2264	NODE_2265_length_6215_cov_3.088636	6215	4.82424	4.82424	3.70612	bin.011	35.0							Bacteria?					
2267	NODE_2268_length_6211_cov_3.337719	6211	5.24534	5.24534	5.24618	bin.011	34.0							Bacteria?					
2287	NODE_2288_length_6174_cov_3.792450	6174	5.52756	5.52756	5.39814	bin.011	35.0							Bacteria?					
2293	NODE_2294_length_6164_cov_3.209036	6164	5.06817	5.06817	5.18345	bin.011	31.0							Bacteria?					
2308	NODE_2309_length_6127_cov_2.716074	6127	4.27388	4.27388	4.22063	bin.011	39.0	bin.011	0.06	0.0	0.227	0.687	0.687	NCLDV	6063.0	0.0	20.0	0.0	|full
2317	NODE_2318_length_6107_cov_3.309154	6107	5.2367	5.2367	3.18037	bin.011	32.0							Bacteria?					
2323	NODE_2324_length_6092_cov_3.098725	6092	4.83676	4.83676	5.79482	bin.011	34.0							Bacteria?					
