	seqname	contigLen	totalAvgDepth	a20d9c2a-d9de-4901-a3a6-c2a954fcfdf4.inter.fastq.sam.sorted.bam	a20d9c2a-d9de-4901-a3a6-c2a954fcfdf4.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
12706	NODE_12706_length_9826_cov_9.537304	9826.0	14.9646	14.9646	17.1274	bin.012	64.0							Bacteria?					
13045	NODE_13045_length_9652_cov_6.461811	9652.0	9.79815	9.79815	15.0074	bin.012	63.0							Bacteria?					
13075	NODE_13075_length_9638_cov_9.006157	9638.0	13.2191	13.2191	23.9376	bin.012	63.0							Bacteria?					
13082	NODE_13082_length_9631_cov_9.345134	9631.0	13.1009	13.1009	17.4583	bin.012	63.0							Bacteria?					
13090	NODE_13090_length_9628_cov_7.105923	9628.0	10.7128	10.7128	13.6198	bin.012	63.0							Bacteria?					
13187	NODE_13187_length_9588_cov_7.726214	9588.0	11.9309	11.9309	16.7672	bin.012	62.0							Bacteria?					
13235	NODE_13235_length_9560_cov_8.018622	9560.0	12.434	12.434	23.8158	bin.012	63.0							Bacteria?					
13261	NODE_13261_length_9550_cov_7.511322	9550.0	11.2868	11.2868	15.9831	bin.012	63.0							Bacteria?					
13484	NODE_13484_length_9446_cov_8.217655	9446.0	12.7454	12.7454	20.9738	bin.012	63.0							Bacteria?					
13508	NODE_13508_length_9431_cov_7.035196	9431.0	10.5288	10.5288	17.6254	bin.012	63.0							Bacteria?					
13528	NODE_13528_length_9421_cov_7.872518	9421.0	11.7755	11.7755	19.1814	bin.012	63.0							Bacteria?					
13782	NODE_13782_length_9302_cov_7.071807	9302.0	10.5946	10.5946	20.2349	bin.012	62.0							Bacteria?					
13837	NODE_13837_length_9276_cov_7.145429	9276.0	11.2321	11.2321	13.6756	bin.012	64.0							Bacteria?					
13876	NODE_13876_length_9258_cov_7.480387	9258.0	11.7175	11.7175	17.1292	bin.012	63.0							Bacteria?					
13916	NODE_13916_length_9242_cov_7.494394	9242.0	11.5759	11.5759	19.0367	bin.012	62.0							Bacteria?					
13938	NODE_13938_length_9234_cov_7.997276	9234.0	12.1714	12.1714	14.5712	bin.012	61.0							Bacteria?					
13974	NODE_13974_length_9216_cov_7.112870	9216.0	11.1018	11.1018	10.8788	bin.012	63.0							Bacteria?					
13988	NODE_13988_length_9210_cov_6.978700	9210.0	11.0347	11.0347	13.0165	bin.012	62.0							Bacteria?					
14242	NODE_14242_length_9088_cov_7.184435	9088.0	10.8917	10.8917	16.9822	bin.012	61.0							Bacteria?					
14271	NODE_14271_length_9075_cov_7.989911	9075.0	12.6438	12.6438	15.0399	bin.012	64.0							Bacteria?					
14339	NODE_14339_length_9045_cov_7.114794	9045.0	11.2402	11.2402	17.2244	bin.012	62.0							Bacteria?					
14589	NODE_14589_length_8934_cov_7.337200	8934.0	11.2569	11.2569	18.3101	bin.012	64.0							Bacteria?					
14598	NODE_14598_length_8929_cov_8.434979	8929.0	12.4952	12.4952	22.138	bin.012	63.0							Bacteria?					
14656	NODE_14656_length_8903_cov_7.302328	8903.0	11.4204	11.4204	14.0465	bin.012	63.0							Bacteria?					
14682	NODE_14682_length_8890_cov_6.959366	8890.0	10.3729	10.3729	17.7634	bin.012	63.0							Bacteria?					
14721	NODE_14721_length_8875_cov_7.512472	8875.0	11.6999	11.6999	19.3463	bin.012	63.0							Bacteria?					
14725	NODE_14725_length_8873_cov_6.885462	8873.0	10.9353	10.9353	12.8278	bin.012	64.0							Bacteria?					
14811	NODE_14811_length_8837_cov_10.383284	8837.0	14.7128	14.7128	39.7767	bin.012	63.0							Bacteria?					
14829	NODE_14829_length_8827_cov_7.125969	8827.0	10.4525	10.4525	15.2115	bin.012	63.0							Bacteria?					
14966	NODE_14966_length_8775_cov_7.483028	8775.0	11.456	11.456	14.4428	bin.012	63.0							Bacteria?					
15097	NODE_15097_length_8730_cov_7.862709	8730.0	12.2735	12.2735	14.964	bin.012	63.0							Bacteria?					
15273	NODE_15273_length_8654_cov_7.569136	8654.0	11.7547	11.7547	13.5428	bin.012	63.0							Bacteria?					
15314	NODE_15314_length_8635_cov_8.068065	8635.0	12.1167	12.1167	13.1041	bin.012	63.0							Bacteria?					
15510	NODE_15510_length_8565_cov_8.526792	8565.0	12.5933	12.5933	15.4045	bin.012	62.0							Bacteria?					
15525	NODE_15525_length_8560_cov_7.509935	8560.0	11.9401	11.9401	17.4832	bin.012	62.0							Bacteria?					
15580	NODE_15580_length_8539_cov_7.794319	8539.0	11.8655	11.8655	19.5542	bin.012	61.0							Bacteria?					
15601	NODE_15601_length_8529_cov_5.957281	8529.0	9.4016	9.4016	9.4355	bin.012	60.0							Bacteria?					
15746	NODE_15746_length_8471_cov_7.477305	8471.0	11.0143	11.0143	17.2738	bin.012	63.0							Bacteria?					
15925	NODE_15925_length_8412_cov_9.410075	8412.0	13.207	13.207	19.0466	bin.012	63.0							Bacteria?					
15933	NODE_15933_length_8410_cov_7.565769	8410.0	11.8483	11.8483	12.3369	bin.012	61.0							Bacteria?					
16046	NODE_16046_length_8370_cov_7.650030	8370.0	11.9453	11.9453	14.6753	bin.012	63.0							Bacteria?					
16084	NODE_16084_length_8354_cov_8.380046	8354.0	11.8531	11.8531	12.2476	bin.012	64.0							Bacteria?					
16102	NODE_16102_length_8349_cov_6.786593	8349.0	10.1049	10.1049	13.5397	bin.012	62.0							Bacteria?					
16108	NODE_16108_length_8348_cov_6.494152	8348.0	10.2088	10.2088	17.1101	bin.012	63.0							Bacteria?					
16160	NODE_16160_length_8331_cov_7.250242	8331.0	10.9275	10.9275	14.403	bin.012	62.0							Bacteria?					
16285	NODE_16285_length_8288_cov_7.421353	8288.0	11.5933	11.5933	17.4468	bin.012	62.0							Bacteria?					
16524	NODE_16524_length_8205_cov_7.162086	8205.0	11.364	11.364	19.3475	bin.012	62.0							Bacteria?					
16537	NODE_16537_length_8202_cov_8.783233	8202.0	13.2624	13.2624	21.3718	bin.012	63.0							Bacteria?					
16577	NODE_16577_length_8186_cov_5.809986	8186.0	8.97051	8.97051	13.8037	bin.012	64.0							Bacteria?					
16656	NODE_16656_length_8160_cov_7.214436	8160.0	10.883	10.883	13.5678	bin.012	64.0							Bacteria?					
16691	NODE_16691_length_8145_cov_5.163906	8145.0	7.95922	7.95922	10.6327	bin.012	63.0							Bacteria?					
16788	NODE_16788_length_8118_cov_7.991318	8118.0	12.1347	12.1347	16.0039	bin.012	64.0							Bacteria?					
17021	NODE_17021_length_8038_cov_9.564951	8038.0	13.3694	13.3694	14.8197	bin.012	64.0							Bacteria?					
17115	NODE_17115_length_8009_cov_6.734599	8009.0	9.94134	9.94134	12.0732	bin.012	65.0							Bacteria?					
17191	NODE_17191_length_7982_cov_7.672007	7982.0	11.6601	11.6601	13.439	bin.012	64.0							Bacteria?					
17213	NODE_17213_length_7977_cov_5.669907	7977.0	8.86534	8.86534	17.4962	bin.012	63.0							Bacteria?					
17241	NODE_17241_length_7968_cov_8.593201	7968.0	12.4217	12.4217	20.2718	bin.012	63.0							Bacteria?					
17243	NODE_17243_length_7967_cov_7.161148	7967.0	10.8705	10.8705	15.6659	bin.012	64.0							Bacteria?					
17255	NODE_17255_length_7962_cov_7.068926	7962.0	10.7487	10.7487	16.5104	bin.012	64.0							Bacteria?					
17353	NODE_17353_length_7931_cov_8.633951	7931.0	12.4726	12.4726	13.3019	bin.012	63.0							Bacteria?					
17498	NODE_17498_length_7891_cov_8.313170	7891.0	12.6312	12.6312	13.5709	bin.012	64.0							Bacteria?					
17528	NODE_17528_length_7882_cov_8.027597	7882.0	12.2431	12.2431	17.9742	bin.012	63.0							Bacteria?					
17535	NODE_17535_length_7881_cov_6.939688	7881.0	10.3622	10.3622	15.7183	bin.012	63.0							Bacteria?					
17600	NODE_17600_length_7864_cov_8.871943	7864.0	13.6251	13.6251	20.8257	bin.012	63.0							Bacteria?					
17624	NODE_17624_length_7857_cov_7.595232	7857.0	11.5594	11.5594	22.6642	bin.012	63.0							Bacteria?					
17675	NODE_17675_length_7840_cov_7.475915	7840.0	11.5476	11.5476	13.2344	bin.012	64.0							Bacteria?					
17722	NODE_17722_length_7827_cov_7.865672	7827.0	12.5885	12.5885	13.3978	bin.012	62.0							Bacteria?					
17774	NODE_17774_length_7814_cov_7.121794	7814.0	10.9007	10.9007	21.5837	bin.012	62.0							Bacteria?					
17791	NODE_17791_length_7808_cov_7.690442	7808.0	11.7284	11.7284	14.2969	bin.012	64.0							Bacteria?					
17869	NODE_17869_length_7784_cov_7.040756	7784.0	11.1368	11.1368	13.7191	bin.012	62.0							Bacteria?					
17895	NODE_17895_length_7774_cov_9.537246	7774.0	13.2118	13.2118	18.3774	bin.012	63.0							Bacteria?					
17949	NODE_17949_length_7757_cov_8.097118	7757.0	11.774	11.774	12.8852	bin.012	63.0							Bacteria?					
17954	NODE_17954_length_7755_cov_12.306234	7755.0	16.0251	16.0251	16.7408	bin.012	63.0							Bacteria?					
18001	NODE_18001_length_7742_cov_7.815923	7742.0	12.2231	12.2231	13.5827	bin.012	64.0							Bacteria?					
18032	NODE_18032_length_7734_cov_9.685506	7734.0	13.1373	13.1373	19.7267	bin.012	62.0							Bacteria?					
18034	NODE_18034_length_7734_cov_6.134392	7734.0	9.76358	9.76358	9.78758	bin.012	64.0							Bacteria?					
18210	NODE_18210_length_7685_cov_8.052425	7685.0	11.8713	11.8713	21.6565	bin.012	62.0							Bacteria?					
18231	NODE_18231_length_7680_cov_7.718557	7680.0	11.4355	11.4355	21.4551	bin.012	61.0							Bacteria?					
18304	NODE_18304_length_7663_cov_8.533780	7663.0	12.9067	12.9067	11.3995	bin.012	64.0							Bacteria?					
18396	NODE_18396_length_7638_cov_7.866675	7638.0	10.8588	10.8588	32.1308	bin.012	62.0							Bacteria?					
18533	NODE_18533_length_7601_cov_7.218129	7601.0	11.1539	11.1539	13.1009	bin.012	64.0							Bacteria?					
18686	NODE_18686_length_7558_cov_8.576036	7558.0	12.4032	12.4032	19.485	bin.012	62.0							Bacteria?					
18782	NODE_18782_length_7536_cov_9.475739	7536.0	13.6043	13.6043	25.2851	bin.012	63.0							Bacteria?					
18947	NODE_18947_length_7490_cov_7.513786	7490.0	11.7704	11.7704	13.303	bin.012	64.0							Bacteria?					
18970	NODE_18970_length_7483_cov_7.962709	7483.0	11.1841	11.1841	22.0243	bin.012	62.0							Bacteria?					
18992	NODE_18992_length_7478_cov_8.295433	7478.0	10.8308	10.8308	25.9123	bin.012	63.0							Bacteria?					
19083	NODE_19083_length_7454_cov_9.741857	7454.0	13.6932	13.6932	15.9504	bin.012	63.0							Bacteria?					
19193	NODE_19193_length_7427_cov_8.610282	7427.0	13.2508	13.2508	17.8013	bin.012	62.0							Bacteria?					
19256	NODE_19256_length_7410_cov_7.211285	7410.0	11.0006	11.0006	12.4608	bin.012	62.0							Bacteria?					
19274	NODE_19274_length_7407_cov_7.684440	7407.0	10.3278	10.3278	23.7882	bin.012	64.0							Bacteria?					
19554	NODE_19554_length_7337_cov_8.038176	7337.0	11.7024	11.7024	22.2449	bin.012	62.0							Bacteria?					
19625	NODE_19625_length_7317_cov_9.188653	7317.0	13.7081	13.7081	32.2976	bin.012	62.0							Bacteria?					
19726	NODE_19726_length_7292_cov_8.918751	7292.0	12.9273	12.9273	13.8056	bin.012	63.0							Bacteria?					
19933	NODE_19933_length_7245_cov_8.086787	7245.0	12.6045	12.6045	11.4171	bin.012	62.0							Bacteria?					
20052	NODE_20052_length_7210_cov_9.113347	7210.0	10.716	10.716	20.4865	bin.012	61.0							Bacteria?					
20105	NODE_20105_length_7198_cov_7.442391	7198.0	11.9472	11.9472	16.5497	bin.012	64.0							Bacteria?					
20141	NODE_20141_length_7187_cov_7.950785	7187.0	12.6015	12.6015	21.2383	bin.012	64.0							Bacteria?					
20163	NODE_20163_length_7183_cov_8.485269	7183.0	12.6656	12.6656	14.1555	bin.012	64.0							Bacteria?					
20196	NODE_20196_length_7175_cov_7.383989	7175.0	10.7926	10.7926	18.3173	bin.012	59.0							Bacteria?					
20304	NODE_20304_length_7149_cov_8.600226	7149.0	12.8007	12.8007	23.9484	bin.012	62.0							Bacteria?					
20405	NODE_20405_length_7128_cov_7.446062	7128.0	10.8226	10.8226	17.8407	bin.012	62.0							Bacteria?					
20605	NODE_20605_length_7079_cov_7.004698	7079.0	11.1407	11.1407	18.8234	bin.012	62.0							Bacteria?					
20736	NODE_20736_length_7051_cov_8.388365	7051.0	12.4749	12.4749	25.6309	bin.012	63.0							Bacteria?					
20743	NODE_20743_length_7050_cov_7.817441	7050.0	12.2148	12.2148	16.3086	bin.012	63.0							Bacteria?					
20777	NODE_20777_length_7043_cov_7.831855	7043.0	12.0801	12.0801	14.5696	bin.012	63.0							Bacteria?					
20822	NODE_20822_length_7032_cov_6.621041	7032.0	9.85353	9.85353	17.2824	bin.012	62.0							Bacteria?					
20950	NODE_20950_length_7003_cov_6.871762	7003.0	9.8856	9.8856	10.6964	bin.012	62.0							Bacteria?					
21010	NODE_21010_length_6990_cov_8.574621	6990.0	12.4534	12.4534	13.9039	bin.012	62.0							Bacteria?					
21091	NODE_21091_length_6971_cov_8.816946	6971.0	12.6773	12.6773	13.6652	bin.012	64.0							Bacteria?					
21213	NODE_21213_length_6940_cov_7.833115	6940.0	11.8887	11.8887	10.6477	bin.012	62.0							Bacteria?					
21317	NODE_21317_length_6916_cov_10.041393	6916.0	14.3129	14.3129	21.7911	bin.012	62.0							Bacteria?					
21391	NODE_21391_length_6901_cov_9.005989	6901.0	13.8362	13.8362	13.1562	bin.012	62.0							Bacteria?					
21506	NODE_21506_length_6876_cov_6.971705	6876.0	11.1634	11.1634	12.0728	bin.012	62.0							Bacteria?					
21565	NODE_21565_length_6863_cov_7.526293	6863.0	11.7551	11.7551	13.9534	bin.012	62.0							Bacteria?					
21728	NODE_21728_length_6830_cov_7.703026	6830.0	11.0022	11.0022	14.8587	bin.012	64.0							Bacteria?					
21740	NODE_21740_length_6827_cov_7.828559	6827.0	12.0148	12.0148	13.0172	bin.012	64.0							Bacteria?					
21885	NODE_21885_length_6799_cov_8.753262	6799.0	12.6621	12.6621	11.8548	bin.012	63.0							Bacteria?					
21891	NODE_21891_length_6798_cov_8.199021	6798.0	12.1808	12.1808	16.5979	bin.012	63.0							Bacteria?					
21900	NODE_21900_length_6796_cov_9.682540	6796.0	13.607	13.607	23.6423	bin.012	64.0							Bacteria?					
21969	NODE_21969_length_6784_cov_8.301679	6784.0	12.3705	12.3705	14.366	bin.012	62.0							Bacteria?					
21997	NODE_21997_length_6778_cov_9.513610	6778.0	12.9896	12.9896	25.1449	bin.012	63.0							Bacteria?					
22029	NODE_22029_length_6773_cov_7.881959	6773.0	12.4077	12.4077	18.4448	bin.012	64.0							Bacteria?					
22136	NODE_22136_length_6755_cov_8.924627	6755.0	12.322	12.322	24.7992	bin.012	62.0							Bacteria?					
22165	NODE_22165_length_6749_cov_7.195399	6749.0	11.2138	11.2138	10.1436	bin.012	63.0							Bacteria?					
22391	NODE_22391_length_6703_cov_7.361613	6703.0	11.2854	11.2854	14.1215	bin.012	63.0							Bacteria?					
22448	NODE_22448_length_6690_cov_8.993067	6690.0	12.5858	12.5858	15.3605	bin.012	64.0							Bacteria?					
22476	NODE_22476_length_6684_cov_7.203047	6684.0	11.097	11.097	24.069	bin.012	63.0							Bacteria?					
22494	NODE_22494_length_6681_cov_8.138394	6681.0	12.5788	12.5788	14.5173	bin.012	64.0							Bacteria?					
22516	NODE_22516_length_6677_cov_8.185593	6677.0	12.8854	12.8854	12.6833	bin.012	63.0							Bacteria?					
22559	NODE_22559_length_6670_cov_7.159486	6670.0	11.2371	11.2371	17.8708	bin.012	60.0							Bacteria?					
22685	NODE_22685_length_6648_cov_8.878052	6648.0	13.7653	13.7653	18.9109	bin.012	63.0							Bacteria?					
22755	NODE_22755_length_6636_cov_7.354050	6636.0	11.6805	11.6805	13.9703	bin.012	64.0							Bacteria?					
22831	NODE_22831_length_6621_cov_7.561529	6621.0	11.0459	11.0459	22.1891	bin.012	62.0							Bacteria?					
23109	NODE_23109_length_6567_cov_8.205774	6567.0	9.89497	9.89497	19.5366	bin.012	63.0							Bacteria?					
23127	NODE_23127_length_6564_cov_8.460747	6564.0	12.8182	12.8182	15.3207	bin.012	63.0							Bacteria?					
23144	NODE_23144_length_6560_cov_7.920984	6560.0	11.1036	11.1036	13.5985	bin.012	63.0							Bacteria?					
23192	NODE_23192_length_6551_cov_7.223676	6551.0	11.0569	11.0569	15.5013	bin.012	64.0							Bacteria?					
23522	NODE_23522_length_6489_cov_8.467983	6489.0	13.3452	13.3452	14.1358	bin.012	63.0							Bacteria?					
23659	NODE_23659_length_6460_cov_8.148009	6460.0	12.554	12.554	18.4351	bin.012	62.0							Bacteria?					
23661	NODE_23661_length_6460_cov_6.119906	6460.0	9.57353	9.57353	9.17963	bin.012	63.0							Bacteria?					
23816	NODE_23816_length_6431_cov_4.800188	6431.0	7.55198	7.55198	9.0404	bin.012	63.0	bin.012	0.993	0.473	0.687	0.567	0.993	dsDNAphage	6429.0	2.0	42.9	0.0	|full
23846	NODE_23846_length_6425_cov_7.308477	6425.0	10.9734	10.9734	19.3583	bin.012	62.0							Bacteria?					
23933	NODE_23933_length_6411_cov_7.566237	6411.0	11.3728	11.3728	15.3268	bin.012	61.0							Bacteria?					
23999	NODE_23999_length_6401_cov_7.978412	6401.0	11.7256	11.7256	18.8599	bin.012	62.0							Bacteria?					
24067	NODE_24067_length_6389_cov_8.413799	6389.0	12.49	12.49	11.7135	bin.012	63.0							Bacteria?					
24099	NODE_24099_length_6385_cov_7.905213	6385.0	11.9275	11.9275	11.5652	bin.012	63.0							Bacteria?					
24128	NODE_24128_length_6381_cov_7.980873	6381.0	12.2837	12.2837	12.5461	bin.012	63.0							Bacteria?					
24210	NODE_24210_length_6368_cov_12.365436	6368.0	17.1394	17.1394	24.673	bin.012	63.0							Bacteria?					
24213	NODE_24213_length_6368_cov_7.096784	6368.0	10.9281	10.9281	13.5859	bin.012	62.0							Bacteria?					
24295	NODE_24295_length_6355_cov_9.716349	6355.0	13.6596	13.6596	25.7051	bin.012	64.0	bin.012	0.06	0.0	0.053	0.633	0.633	NCLDV	6352.0	0.0	20.0	0.0	|full
24328	NODE_24328_length_6348_cov_8.722867	6348.0	13.0505	13.0505	16.2488	bin.012	64.0							Bacteria?					
24464	NODE_24464_length_6326_cov_9.704034	6326.0	13.621	13.621	15.2533	bin.012	63.0							Bacteria?					
24621	NODE_24621_length_6299_cov_7.579276	6299.0	11.6562	11.6562	16.1788	bin.012	62.0							Bacteria?					
24633	NODE_24633_length_6297_cov_8.921660	6297.0	12.0654	12.0654	26.0125	bin.012	64.0							Bacteria?					
24677	NODE_24677_length_6288_cov_7.425798	6288.0	11.8162	11.8162	14.7398	bin.012	63.0							Bacteria?					
24688	NODE_24688_length_6286_cov_8.421602	6286.0	12.5818	12.5818	16.066	bin.012	62.0							Bacteria?					
24797	NODE_24797_length_6268_cov_6.191212	6268.0	8.78261	8.78261	10.8373	bin.012	65.0							Bacteria?					
24900	NODE_24900_length_6250_cov_7.725424	6250.0	11.6992	11.6992	18.1931	bin.012	61.0							Bacteria?					
24925	NODE_24925_length_6245_cov_8.239903	6245.0	12.7516	12.7516	18.3699	bin.012	63.0							Bacteria?					
25075	NODE_25075_length_6213_cov_6.979052	6213.0	10.6408	10.6408	17.1333	bin.012	63.0							Bacteria?					
25268	NODE_25268_length_6184_cov_7.503997	6184.0	11.1705	11.1705	22.8369	bin.012	63.0							Bacteria?					
25314	NODE_25314_length_6177_cov_9.466351	6177.0	12.327	12.327	25.2498	bin.012	61.0							Bacteria?					
25334	NODE_25334_length_6173_cov_8.300752	6173.0	12.774	12.774	23.2451	bin.012	62.0							Bacteria?					
25354	NODE_25354_length_6170_cov_7.088798	6170.0	11.0234	11.0234	19.5153	bin.012	61.0							Bacteria?					
25452	NODE_25452_length_6153_cov_8.054772	6153.0	12.5377	12.5377	13.8777	bin.012	63.0							Bacteria?					
25510	NODE_25510_length_6145_cov_9.088177	6145.0	13.8901	13.8901	11.5204	bin.012	62.0							Bacteria?					
25533	NODE_25533_length_6141_cov_7.878245	6141.0	12.203	12.203	25.1326	bin.012	62.0							Bacteria?					
25655	NODE_25655_length_6120_cov_7.767024	6120.0	10.894	10.894	15.1738	bin.012	62.0							Bacteria?					
25707	NODE_25707_length_6110_cov_6.928819	6110.0	10.682	10.682	17.8711	bin.012	64.0							Bacteria?					
25773	NODE_25773_length_6098_cov_7.860334	6098.0	10.9867	10.9867	18.4383	bin.012	63.0							Bacteria?					
25795	NODE_25795_length_6096_cov_7.321470	6096.0	11.422	11.422	21.2421	bin.012	63.0							Bacteria?					
25806	NODE_25806_length_6094_cov_9.227356	6094.0	13.8254	13.8254	20.278	bin.012	63.0							Bacteria?					
25838	NODE_25838_length_6089_cov_8.804773	6089.0	13.4787	13.4787	21.5428	bin.012	63.0							Bacteria?					
25910	NODE_25910_length_6077_cov_8.191963	6077.0	12.4016	12.4016	10.2518	bin.012	63.0							Bacteria?					
26033	NODE_26033_length_6057_cov_6.657947	6057.0	10.0486	10.0486	11.0934	bin.012	63.0							Bacteria?					
26137	NODE_26137_length_6040_cov_6.984294	6040.0	10.8071	10.8071	15.1113	bin.012	62.0							Bacteria?					
26178	NODE_26178_length_6033_cov_8.297926	6033.0	12.8718	12.8718	16.0655	bin.012	62.0							Bacteria?					
26194	NODE_26194_length_6030_cov_8.059916	6030.0	12.2922	12.2922	14.0307	bin.012	63.0							Bacteria?					
26274	NODE_26274_length_6019_cov_8.292589	6019.0	12.1661	12.1661	14.8849	bin.012	64.0							Bacteria?					
26379	NODE_26379_length_6002_cov_7.535060	6002.0	11.8665	11.8665	13.3919	bin.012	63.0							Bacteria?					
26421	NODE_26421_length_5995_cov_6.967677	5995.0	10.7747	10.7747	15.5426	bin.012	63.0							Bacteria?					
26501	NODE_26501_length_5981_cov_8.721228	5981.0	13.0607	13.0607	13.9795	bin.012	65.0							Bacteria?					
26547	NODE_26547_length_5973_cov_7.415174	5973.0	11.1458	11.1458	9.98504	bin.012	63.0							Bacteria?					
26633	NODE_26633_length_5958_cov_7.954430	5958.0	11.9642	11.9642	11.7071	bin.012	64.0							Bacteria?					
26718	NODE_26718_length_5945_cov_7.625976	5945.0	12.1022	12.1022	14.4852	bin.012	63.0							Bacteria?					
26809	NODE_26809_length_5929_cov_7.406027	5929.0	11.7493	11.7493	8.90642	bin.012	63.0							Bacteria?					
26843	NODE_26843_length_5924_cov_9.089453	5924.0	13.792	13.792	14.3195	bin.012	62.0							Bacteria?					
26859	NODE_26859_length_5922_cov_8.150162	5922.0	10.547	10.547	9.01626	bin.012	63.0							Bacteria?					
26872	NODE_26872_length_5920_cov_7.588917	5920.0	11.2328	11.2328	12.8811	bin.012	64.0							Bacteria?					
26911	NODE_26911_length_5914_cov_8.282471	5914.0	12.5855	12.5855	15.6961	bin.012	63.0							Bacteria?					
27032	NODE_27032_length_5895_cov_6.970548	5895.0	11.066	11.066	12.5422	bin.012	62.0							Bacteria?					
27051	NODE_27051_length_5892_cov_8.258009	5892.0	12.3187	12.3187	19.1278	bin.012	63.0							Bacteria?					
27270	NODE_27270_length_5858_cov_8.735826	5858.0	11.935	11.935	14.7946	bin.012	65.0							Bacteria?					
27296	NODE_27296_length_5854_cov_7.856699	5854.0	10.3291	10.3291	25.8914	bin.012	60.0							Bacteria?					
27390	NODE_27390_length_5839_cov_6.997407	5839.0	10.7298	10.7298	16.6568	bin.012	64.0							Bacteria?					
27521	NODE_27521_length_5821_cov_7.556712	5821.0	11.796	11.796	9.87629	bin.012	63.0	bin.012	0.253	0.02	0.067	0.567	0.567	NCLDV	5819.0	0.0	20.0	0.0	|full
27650	NODE_27650_length_5803_cov_8.588553	5803.0	13.6648	13.6648	16.7869	bin.012	64.0							Bacteria?					
27667	NODE_27667_length_5801_cov_6.505221	5801.0	8.58538	8.58538	14.5651	bin.012	63.0							Bacteria?					
27683	NODE_27683_length_5799_cov_7.139798	5799.0	11.444	11.444	9.94374	bin.012	61.0							Bacteria?					
27701	NODE_27701_length_5796_cov_8.939732	5796.0	13.6079	13.6079	10.8952	bin.012	63.0							Bacteria?					
27712	NODE_27712_length_5795_cov_6.313763	5795.0	9.68468	9.68468	7.61038	bin.012	63.0							Bacteria?					
27736	NODE_27736_length_5792_cov_7.362036	5792.0	11.6081	11.6081	19.3871	bin.012	64.0							Bacteria?					
27879	NODE_27879_length_5771_cov_5.742652	5771.0	8.03594	8.03594	22.4593	bin.012	62.0							Bacteria?					
28375	NODE_28375_length_5704_cov_7.455479	5704.0	11.9701	11.9701	13.5439	bin.012	63.0							Bacteria?					
28562	NODE_28562_length_5679_cov_8.988265	5679.0	13.7007	13.7007	21.1119	bin.012	62.0							Bacteria?					
28593	NODE_28593_length_5674_cov_8.057128	5674.0	12.5259	12.5259	12.3854	bin.012	61.0							Bacteria?					
28736	NODE_28736_length_5657_cov_8.551232	5657.0	12.858	12.858	26.5461	bin.012	60.0							Bacteria?					
28815	NODE_28815_length_5646_cov_9.140762	5646.0	12.4021	12.4021	12.8506	bin.012	60.0							Bacteria?					
29094	NODE_29094_length_5608_cov_7.778138	5608.0	11.7627	11.7627	17.1697	bin.012	64.0							Bacteria?					
29127	NODE_29127_length_5604_cov_7.840512	5604.0	11.883	11.883	11.3375	bin.012	65.0							Bacteria?					
29138	NODE_29138_length_5602_cov_8.435911	5602.0	12.4307	12.4307	12.1641	bin.012	63.0							Bacteria?					
29236	NODE_29236_length_5590_cov_8.029449	5590.0	10.9614	10.9614	22.3516	bin.012	63.0							Bacteria?					
29286	NODE_29286_length_5585_cov_9.945389	5585.0	10.0267	10.0267	26.9035	bin.012	63.0							Bacteria?					
29295	NODE_29295_length_5583_cov_8.312229	5583.0	11.9785	11.9785	22.0002	bin.012	63.0							Bacteria?					
29297	NODE_29297_length_5583_cov_6.497287	5583.0	9.88349	9.88349	17.3184	bin.012	63.0							Bacteria?					
29374	NODE_29374_length_5574_cov_10.402247	5574.0	15.0688	15.0688	15.7056	bin.012	64.0							Bacteria?					
29596	NODE_29596_length_5544_cov_7.939151	5544.0	12.6923	12.6923	23.9363	bin.012	63.0							Bacteria?					
29875	NODE_29875_length_5510_cov_7.764436	5510.0	12.2944	12.2944	16.057	bin.012	64.0							Bacteria?					
29924	NODE_29924_length_5505_cov_8.491560	5505.0	12.4275	12.4275	22.1159	bin.012	63.0							Bacteria?					
30068	NODE_30068_length_5488_cov_8.542242	5488.0	12.1339	12.1339	18.5646	bin.012	63.0							Bacteria?					
30178	NODE_30178_length_5474_cov_8.066248	5474.0	12.4406	12.4406	10.5941	bin.012	63.0							Bacteria?					
30235	NODE_30235_length_5468_cov_8.137816	5468.0	12.3571	12.3571	15.1695	bin.012	61.0							Bacteria?					
30253	NODE_30253_length_5466_cov_7.491406	5466.0	11.0128	11.0128	17.6457	bin.012	64.0							Bacteria?					
30254	NODE_30254_length_5466_cov_6.910922	5466.0	10.0809	10.0809	14.1015	bin.012	63.0							Bacteria?					
30282	NODE_30282_length_5463_cov_9.152182	5463.0	12.7576	12.7576	20.4649	bin.012	62.0							Bacteria?					
30376	NODE_30376_length_5452_cov_7.405040	5452.0	11.1722	11.1722	16.064	bin.012	64.0							Bacteria?					
30453	NODE_30453_length_5443_cov_8.001856	5443.0	12.4712	12.4712	15.9383	bin.012	61.0							Bacteria?					
30521	NODE_30521_length_5435_cov_7.007621	5435.0	11.0261	11.0261	22.2629	bin.012	64.0							Bacteria?					
30599	NODE_30599_length_5427_cov_7.329859	5427.0	11.1698	11.1698	10.4115	bin.012	65.0							Bacteria?					
