	seqname	contigLen	totalAvgDepth	4ffd0a6c-7ea3-4023-b6c1-f92716821c2c.inter.fastq.sam.sorted.bam	4ffd0a6c-7ea3-4023-b6c1-f92716821c2c.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
1278	NODE_1279_length_9846_cov_4.699111	9846	7.03197	7.03197	6.85274	bin.001	59							Bacteria?					
1280	NODE_1281_length_9842_cov_5.311740	9842	7.6007	7.6007	9.16835	bin.001	62							Bacteria?					
1281	NODE_1282_length_9835_cov_5.832822	9835	9.01332	9.01332	15.7504	bin.001	61							Bacteria?					
1282	NODE_1283_length_9833_cov_4.668848	9833	7.38325	7.38325	7.43636	bin.001	63							Bacteria?					
1283	NODE_1284_length_9830_cov_4.415857	9830	6.71436	6.71436	9.91025	bin.001	59							Bacteria?					
1284	NODE_1285_length_9827_cov_4.012587	9827	5.96001	5.96001	8.22416	bin.001	57							Bacteria?					
1285	NODE_1286_length_9826_cov_4.952410	9826	7.23574	7.23574	9.74833	bin.001	61							Bacteria?					
1288	NODE_1289_length_9809_cov_4.256100	9809	6.34424	6.34424	7.2518	bin.001	59							Bacteria?					
1290	NODE_1291_length_9805_cov_4.812308	9805	7.63107	7.63107	9.37253	bin.001	59							Bacteria?					
1291	NODE_1292_length_9805_cov_4.673744	9805	7.42921	7.42921	8.05159	bin.001	60							Bacteria?					
1292	NODE_1293_length_9803_cov_5.838634	9803	8.61162	8.61162	11.4919	bin.001	60							Bacteria?					
1295	NODE_1296_length_9788_cov_4.797801	9788	7.45487	7.45487	11.6864	bin.001	60							Bacteria?					
1296	NODE_1297_length_9786_cov_5.828589	9786	8.82119	8.82119	11.738	bin.001	58							Bacteria?					
1297	NODE_1298_length_9783_cov_5.020662	9783	7.56441	7.56441	10.1273	bin.001	61							Bacteria?					
1299	NODE_1300_length_9781_cov_4.075468	9781	6.18804	6.18804	5.23922	bin.001	57							Bacteria?					
1300	NODE_1301_length_9770_cov_4.303345	9770	6.72838	6.72838	8.72966	bin.001	60							Bacteria?					
1301	NODE_1302_length_9768_cov_4.353959	9768	6.6335	6.6335	9.0708	bin.001	57							Bacteria?					
1302	NODE_1303_length_9767_cov_4.537994	9767	6.76167	6.76167	7.23942	bin.001	58							Bacteria?					
1304	NODE_1305_length_9755_cov_5.613711	9755	7.94961	7.94961	10.2667	bin.001	59							Bacteria?					
1305	NODE_1306_length_9753_cov_4.305218	9753	6.46048	6.46048	9.62217	bin.001	58							Bacteria?					
1306	NODE_1307_length_9750_cov_5.975039	9750	9.17333	9.17333	11.6407	bin.001	62							Bacteria?					
1307	NODE_1308_length_9744_cov_5.450408	9744	8.03096	8.03096	9.65739	bin.001	57							Bacteria?					
1308	NODE_1309_length_9741_cov_4.810964	9741	7.28495	7.28495	9.54954	bin.001	59							Bacteria?					
1310	NODE_1311_length_9736_cov_4.018490	9736	6.02577	6.02577	6.63017	bin.001	57							Bacteria?					
1312	NODE_1313_length_9731_cov_4.408847	9731	6.65661	6.65661	9.091	bin.001	57							Bacteria?					
1313	NODE_1314_length_9727_cov_4.245141	9727	6.34865	6.34865	7.65467	bin.001	62							Bacteria?					
1314	NODE_1315_length_9727_cov_3.161394	9727	4.89798	4.89798	4.74421	bin.001	59							Bacteria?					
1315	NODE_1316_length_9725_cov_4.790486	9725	7.50663	7.50663	9.76435	bin.001	63							Bacteria?					
1316	NODE_1317_length_9725_cov_3.948914	9725	6.17368	6.17368	6.6456	bin.001	63							Bacteria?					
1317	NODE_1318_length_9706_cov_4.605948	9706	7.04772	7.04772	7.47414	bin.001	60							Bacteria?					
1319	NODE_1320_length_9701_cov_6.156542	9701	9.30206	9.30206	11.1167	bin.001	58							Bacteria?					
1320	NODE_1321_length_9701_cov_3.324591	9701	5.03895	5.03895	4.36419	bin.001	63							Bacteria?					
1321	NODE_1322_length_9697_cov_4.431757	9697	6.6114	6.6114	6.16199	bin.001	56							Bacteria?					
1323	NODE_1324_length_9694_cov_4.835356	9694	7.39952	7.39952	7.04731	bin.001	62							Bacteria?					
1324	NODE_1325_length_9687_cov_6.048588	9687	9.04037	9.04037	10.242	bin.001	60							Bacteria?					
1326	NODE_1327_length_9678_cov_3.891510	9678	6.18	6.18	6.87648	bin.001	59							Bacteria?					
1327	NODE_1328_length_9675_cov_3.593139	9675	5.221	5.221	5.0235	bin.001	55							Bacteria?					
1328	NODE_1329_length_9672_cov_3.803889	9672	5.66436	5.66436	6.69934	bin.001	60							Bacteria?					
1329	NODE_1330_length_9671_cov_4.178765	9671	6.42233	6.42233	7.39932	bin.001	52							Bacteria?					
1330	NODE_1331_length_9667_cov_4.636184	9667	6.90228	6.90228	7.14789	bin.001	58							Bacteria?					
1331	NODE_1332_length_9664_cov_4.939744	9664	6.98276	6.98276	8.89936	bin.001	58	bin.001	0.76	0.147	0.807	0.047	0.807	lavidaviridae	9520.0	0.0	16.7	0.0	|full
1334	NODE_1335_length_9658_cov_3.949599	9658	5.63662	5.63662	6.78155	bin.001	58							Bacteria?					
1335	NODE_1336_length_9656_cov_4.780023	9656	7.45077	7.45077	6.06074	bin.001	59							Bacteria?					
1336	NODE_1337_length_9647_cov_7.106860	9647	10.6006	10.6006	16.4967	bin.001	63	bin.001	1.0	0.413	0.14	0.413	1.0	dsDNAphage	9424.0	1.0	42.1	0.0	|full
1338	NODE_1339_length_9646_cov_4.686268	9646	6.80666	6.80666	8.31097	bin.001	63							Bacteria?					
1340	NODE_1341_length_9641_cov_3.955143	9641	5.68033	5.68033	5.35104	bin.001	57							Bacteria?					
1341	NODE_1342_length_9631_cov_3.957080	9631	5.97943	5.97943	4.98174	bin.001	57							Bacteria?					
1345	NODE_1346_length_9617_cov_4.581677	9617	6.7054	6.7054	6.56002	bin.001	58							Bacteria?					
1346	NODE_1347_length_9617_cov_4.274420	9617	6.25151	6.25151	6.56198	bin.001	62							Bacteria?					
1347	NODE_1348_length_9617_cov_3.626647	9617	5.4521	5.4521	5.81076	bin.001	54							Bacteria?					
1350	NODE_1351_length_9602_cov_4.037918	9602	5.91282	5.91282	6.76272	bin.001	57							Bacteria?					
1351	NODE_1352_length_9598_cov_4.716127	9598	7.30207	7.30207	11.4319	bin.001	56							Bacteria?					
1352	NODE_1353_length_9597_cov_3.288095	9597	4.97089	4.97089	5.45994	bin.001	55							Bacteria?					
1353	NODE_1354_length_9596_cov_5.243580	9596	8.16684	8.16684	8.90732	bin.001	58							Bacteria?					
1354	NODE_1355_length_9594_cov_5.962365	9594	8.62929	8.62929	10.5837	bin.001	57							Bacteria?					
1355	NODE_1356_length_9593_cov_4.315056	9593	6.57312	6.57312	6.12795	bin.001	58							Bacteria?					
1356	NODE_1357_length_9592_cov_4.279648	9592	6.47702	6.47702	9.59735	bin.001	63							Bacteria?					
1360	NODE_1361_length_9573_cov_3.951460	9573	5.81057	5.81057	6.60508	bin.001	58							Bacteria?					
1361	NODE_1362_length_9568_cov_5.478083	9568	8.31663	8.31663	8.65407	bin.001	60							Bacteria?					
1362	NODE_1363_length_9567_cov_4.213730	9567	6.38271	6.38271	9.14105	bin.001	57							Bacteria?					
1363	NODE_1364_length_9567_cov_3.601346	9567	5.45482	5.45482	5.96187	bin.001	54							Bacteria?					
1365	NODE_1366_length_9563_cov_5.308793	9563	7.19569	7.19569	9.98153	bin.001	57							Bacteria?					
1367	NODE_1368_length_9553_cov_3.381133	9553	5.08497	5.08497	4.61026	bin.001	56							Bacteria?					
1368	NODE_1369_length_9547_cov_5.128635	9547	7.84953	7.84953	13.8839	bin.001	58							Bacteria?					
1371	NODE_1372_length_9538_cov_5.216282	9538	7.75021	7.75021	7.21863	bin.001	52							Bacteria?					
1372	NODE_1373_length_9534_cov_3.135668	9534	4.82193	4.82193	5.36095	bin.001	58							Bacteria?					
1374	NODE_1375_length_9530_cov_3.906596	9530	6.0951	6.0951	6.77695	bin.001	64							Bacteria?					
1375	NODE_1376_length_9524_cov_5.555286	9524	7.74472	7.74472	10.6748	bin.001	59							Bacteria?					
1377	NODE_1378_length_9520_cov_3.331326	9520	5.06489	5.06489	5.61311	bin.001	55							Bacteria?					
1378	NODE_1379_length_9515_cov_4.458457	9515	6.93657	6.93657	8.31479	bin.001	58							Bacteria?					
1379	NODE_1380_length_9513_cov_3.916684	9513	6.03364	6.03364	7.3563	bin.001	60							Bacteria?					
1380	NODE_1381_length_9513_cov_3.877564	9513	6.314	6.314	7.24676	bin.001	60							Bacteria?					
1381	NODE_1382_length_9512_cov_4.144232	9512	6.36776	6.36776	5.68573	bin.001	59							Bacteria?					
1382	NODE_1383_length_9509_cov_3.680770	9509	5.8534	5.8534	5.61625	bin.001	54							Bacteria?					
1383	NODE_1384_length_9500_cov_5.812282	9500	8.58909	8.58909	13.6376	bin.001	61							Bacteria?					
1384	NODE_1385_length_9495_cov_7.971716	9495	10.5073	10.5073	28.2698	bin.001	54							Bacteria?					
1385	NODE_1386_length_9494_cov_5.583536	9494	8.15122	8.15122	12.7003	bin.001	61							Bacteria?					
1386	NODE_1387_length_9494_cov_5.536603	9494	8.28136	8.28136	8.57102	bin.001	59							Bacteria?					
1387	NODE_1388_length_9491_cov_4.257418	9491	6.33797	6.33797	6.70793	bin.001	61							Bacteria?					
1388	NODE_1389_length_9482_cov_6.098016	9482	9.07501	9.07501	9.20443	bin.001	58							Bacteria?					
1392	NODE_1393_length_9472_cov_4.305299	9472	6.12358	6.12358	5.93551	bin.001	55							Bacteria?					
1393	NODE_1394_length_9471_cov_4.094414	9471	6.25587	6.25587	4.59243	bin.001	58							Bacteria?					
1394	NODE_1395_length_9467_cov_5.801849	9467	8.4685	8.4685	11.1382	bin.001	60							Bacteria?					
1395	NODE_1396_length_9466_cov_5.580703	9466	8.40511	8.40511	12.6112	bin.001	62							Bacteria?					
1396	NODE_1397_length_9462_cov_5.863719	9462	8.42923	8.42923	9.10312	bin.001	59							Bacteria?					
1397	NODE_1398_length_9455_cov_4.293191	9455	6.46212	6.46212	8.79931	bin.001	57							Bacteria?					
1398	NODE_1399_length_9453_cov_6.353586	9453	8.60679	8.60679	11.54	bin.001	59							Bacteria?					
1399	NODE_1400_length_9447_cov_4.345933	9447	6.51716	6.51716	6.1776	bin.001	56							Bacteria?					
1400	NODE_1401_length_9444_cov_7.070295	9444	9.32731	9.32731	12.2519	bin.001	58							Bacteria?					
1401	NODE_1402_length_9443_cov_6.686728	9443	9.53987	9.53987	11.4291	bin.001	57							Bacteria?					
1402	NODE_1403_length_9439_cov_4.252664	9439	6.37539	6.37539	6.78086	bin.001	57							Bacteria?					
1403	NODE_1404_length_9424_cov_3.485324	9424	5.37255	5.37255	5.6574	bin.001	57							Bacteria?					
1405	NODE_1406_length_9423_cov_5.507472	9423	8.29721	8.29721	9.34152	bin.001	58							Bacteria?					
1406	NODE_1407_length_9422_cov_5.741646	9422	8.6607	8.6607	9.31677	bin.001	59							Bacteria?					
1407	NODE_1408_length_9421_cov_5.008328	9421	7.64524	7.64524	11.8416	bin.001	61							Bacteria?					
1408	NODE_1409_length_9420_cov_5.382381	9420	7.30205	7.30205	9.98576	bin.001	60							Bacteria?					
1410	NODE_1411_length_9413_cov_4.309147	9413	6.59527	6.59527	8.08477	bin.001	61							Bacteria?					
1411	NODE_1412_length_9410_cov_5.877819	9410	8.84741	8.84741	7.61452	bin.001	59							Bacteria?					
1414	NODE_1415_length_9399_cov_4.123609	9399	6.39994	6.39994	6.29155	bin.001	59							Bacteria?					
1416	NODE_1417_length_9388_cov_3.629272	9388	5.5249	5.5249	4.70837	bin.001	54							Bacteria?					
1418	NODE_1419_length_9386_cov_4.382488	9386	6.63133	6.63133	8.11547	bin.001	58	bin.001	0.047	0.0	0.013	0.607	0.607	NCLDV	9383.0	0.0	12.5	0.0	|full
1419	NODE_1420_length_9382_cov_3.465209	9382	5.27047	5.27047	4.36994	bin.001	53							Bacteria?					
1421	NODE_1422_length_9374_cov_5.416998	9374	8.12869	8.12869	9.00258	bin.001	58							Bacteria?					
1423	NODE_1424_length_9369_cov_4.000215	9369	5.91225	5.91225	7.18539	bin.001	56							Bacteria?					
1424	NODE_1425_length_9362_cov_3.809606	9362	5.86528	5.86528	6.24487	bin.001	62							Bacteria?					
1425	NODE_1426_length_9359_cov_7.469153	9359	8.50049	8.50049	11.8442	bin.001	58							Bacteria?					
1426	NODE_1427_length_9356_cov_6.144178	9356	8.60471	8.60471	10.5239	bin.001	58							Bacteria?					
1427	NODE_1428_length_9355_cov_4.815484	9355	7.42477	7.42477	9.87151	bin.001	61							Bacteria?					
1428	NODE_1429_length_9354_cov_5.838155	9354	8.70839	8.70839	12.4624	bin.001	59							Bacteria?					
1429	NODE_1430_length_9354_cov_4.276266	9354	6.38342	6.38342	7.88623	bin.001	52							Bacteria?					
1430	NODE_1431_length_9353_cov_4.072489	9353	6.06465	6.06465	6.01476	bin.001	57							Bacteria?					
1431	NODE_1432_length_9346_cov_5.125175	9346	7.79545	7.79545	6.27015	bin.001	59							Bacteria?					
1432	NODE_1433_length_9344_cov_5.630746	9344	8.53241	8.53241	9.1704	bin.001	58							Bacteria?					
1433	NODE_1434_length_9344_cov_4.408225	9344	6.80433	6.80433	7.84808	bin.001	59							Bacteria?					
1434	NODE_1435_length_9343_cov_4.528962	9343	6.96182	6.96182	8.24023	bin.001	63	bin.001	0.967	0.0	0.0	0.187	0.967	dsDNAphage	9342.0	2.0	30.0	10.0	|full
1435	NODE_1436_length_9342_cov_3.689028	9342	5.67852	5.67852	5.84967	bin.001	56	bin.001	0.28	0.0	0.707	0.173	0.707	lavidaviridae	9338.0	0.0	14.3	0.0	|full
1436	NODE_1437_length_9340_cov_5.644588	9340	8.22938	8.22938	9.58848	bin.001	58							Bacteria?					
1437	NODE_1438_length_9338_cov_4.213078	9338	6.76306	6.76306	11.4993	bin.001	61							Bacteria?					
1439	NODE_1440_length_9336_cov_3.780196	9336	5.69987	5.69987	8.59708	bin.001	56							Bacteria?					
1441	NODE_1442_length_9331_cov_5.387883	9331	8.05958	8.05958	8.56523	bin.001	59							Bacteria?					
1442	NODE_1443_length_9326_cov_6.750944	9326	9.5219	9.5219	10.0774	bin.001	56							Bacteria?					
1443	NODE_1444_length_9322_cov_4.282184	9322	6.73397	6.73397	8.56969	bin.001	57							Bacteria?					
1446	NODE_1447_length_9314_cov_4.099471	9314	6.25142	6.25142	8.91205	bin.001	56							Bacteria?					
1447	NODE_1448_length_9307_cov_5.870731	9307	7.9964	7.9964	10.4989	bin.001	58							Bacteria?					
1448	NODE_1449_length_9304_cov_3.840740	9304	5.74459	5.74459	5.7342	bin.001	57							Bacteria?					
1449	NODE_1450_length_9300_cov_4.009194	9300	6.04951	6.04951	6.16066	bin.001	56							Bacteria?					
1450	NODE_1451_length_9299_cov_4.156859	9299	6.21554	6.21554	5.72765	bin.001	61							Bacteria?					
1453	NODE_1454_length_9293_cov_4.077722	9293	6.33774	6.33774	9.17118	bin.001	59							Bacteria?					
1454	NODE_1455_length_9293_cov_3.876488	9293	5.78661	5.78661	7.12586	bin.001	58							Bacteria?					
1455	NODE_1456_length_9293_cov_3.841416	9293	5.70152	5.70152	6.27492	bin.001	60							Bacteria?					
1456	NODE_1457_length_9292_cov_4.549962	9292	6.5956	6.5956	10.8284	bin.001	57							Bacteria?					
1461	NODE_1462_length_9273_cov_5.441202	9273	8.41061	8.41061	10.114	bin.001	58							Bacteria?					
1462	NODE_1463_length_9265_cov_3.866775	9265	6.22392	6.22392	6.91124	bin.001	62							Bacteria?					
1463	NODE_1464_length_9264_cov_5.412748	9264	8.35231	8.35231	13.0879	bin.001	59							Bacteria?					
1464	NODE_1465_length_9263_cov_5.255539	9263	7.70076	7.70076	9.16676	bin.001	57							Bacteria?					
1465	NODE_1466_length_9253_cov_5.386497	9253	8.20279	8.20279	11.1657	bin.001	59							Bacteria?					
1466	NODE_1467_length_9252_cov_5.636947	9252	8.65634	8.65634	9.51267	bin.001	57							Bacteria?					
1468	NODE_1469_length_9248_cov_3.961819	9248	6.05353	6.05353	6.72331	bin.001	58							Bacteria?					
1469	NODE_1470_length_9245_cov_5.398694	9245	8.14766	8.14766	11.6195	bin.001	61							Bacteria?					
1470	NODE_1471_length_9245_cov_4.722416	9245	7.0829	7.0829	8.53808	bin.001	59							Bacteria?					
1472	NODE_1473_length_9239_cov_4.768728	9239	7.18022	7.18022	5.92911	bin.001	62							Bacteria?					
1473	NODE_1474_length_9239_cov_4.755335	9239	7.58587	7.58587	8.00232	bin.001	61							Bacteria?					
1475	NODE_1476_length_9232_cov_3.701972	9232	5.67518	5.67518	7.42075	bin.001	61							Bacteria?					
1476	NODE_1477_length_9227_cov_4.490297	9227	7.24435	7.24435	8.37385	bin.001	62							Bacteria?					
1477	NODE_1478_length_9224_cov_6.441269	9224	9.62696	9.62696	7.23334	bin.001	57							Bacteria?					
1480	NODE_1481_length_9218_cov_4.633854	9218	7.02922	7.02922	7.07693	bin.001	61							Bacteria?					
1481	NODE_1482_length_9209_cov_3.581494	9209	5.58285	5.58285	7.93225	bin.001	60	bin.001	0.173	0.027	0.28	0.52	0.52	NCLDV	9209.0	0.0	12.5	0.0	|full
1482	NODE_1483_length_9207_cov_5.767592	9207	8.17158	8.17158	17.2499	bin.001	57							Bacteria?					
1483	NODE_1484_length_9206_cov_4.253524	9206	6.23057	6.23057	6.73672	bin.001	59							Bacteria?					
1484	NODE_1485_length_9204_cov_3.467811	9204	4.27557	4.27557	8.30997	bin.001	57							Bacteria?					
1485	NODE_1486_length_9203_cov_3.794819	9203	5.8659	5.8659	4.84077	bin.001	56							Bacteria?					
1487	NODE_1488_length_9199_cov_5.704287	9199	8.05746	8.05746	15.1691	bin.001	58							Bacteria?					
1488	NODE_1489_length_9195_cov_3.153392	9195	4.59149	4.59149	3.72166	bin.001	56							Bacteria?					
1490	NODE_1491_length_9188_cov_6.127888	9188	8.84676	8.84676	12.6352	bin.001	60							Bacteria?					
1491	NODE_1492_length_9181_cov_5.790489	9181	8.40859	8.40859	14.9208	bin.001	62							Bacteria?					
1493	NODE_1494_length_9169_cov_3.900812	9169	5.9042	5.9042	6.49429	bin.001	56							Bacteria?					
1494	NODE_1495_length_9168_cov_5.487765	9168	7.6802	7.6802	6.61038	bin.001	55							Bacteria?					
1496	NODE_1497_length_9163_cov_4.904370	9163	7.41917	7.41917	8.32532	bin.001	61							Bacteria?					
1497	NODE_1498_length_9158_cov_6.254751	9158	8.72214	8.72214	12.7884	bin.001	61							Bacteria?					
1498	NODE_1499_length_9156_cov_4.400615	9156	6.89451	6.89451	7.00273	bin.001	60							Bacteria?					
1500	NODE_1501_length_9150_cov_4.048928	9150	6.00989	6.00989	7.21387	bin.001	56							Bacteria?					
1506	NODE_1507_length_9135_cov_3.542841	9135	5.33645	5.33645	6.22851	bin.001	61							Bacteria?					
1509	NODE_1510_length_9124_cov_6.013122	9124	8.89514	8.89514	19.8551	bin.001	57							Bacteria?					
1510	NODE_1511_length_9119_cov_3.787070	9119	5.68581	5.68581	5.48046	bin.001	58							Bacteria?					
1511	NODE_1512_length_9112_cov_3.772772	9112	5.71892	5.71892	6.60429	bin.001	60							Bacteria?					
1513	NODE_1514_length_9096_cov_4.897025	9096	7.4943	7.4943	12.0468	bin.001	59							Bacteria?					
1514	NODE_1515_length_9096_cov_4.553257	9096	6.90487	6.90487	5.70214	bin.001	57	bin.001	0.167	0.0	0.013	0.613	0.613	NCLDV	8353.0	0.0	60.0	0.0	|full
1515	NODE_1516_length_9095_cov_3.354867	9095	5.19128	5.19128	4.53278	bin.001	63							Bacteria?					
1517	NODE_1518_length_9086_cov_5.896689	9086	8.94461	8.94461	9.86322	bin.001	60							Bacteria?					
1521	NODE_1522_length_9075_cov_5.132594	9075	7.66342	7.66342	9.43326	bin.001	58							Bacteria?					
1522	NODE_1523_length_9073_cov_5.406520	9073	8.19724	8.19724	11.141	bin.001	59							Bacteria?					
1523	NODE_1524_length_9072_cov_5.170678	9072	7.96772	7.96772	9.99846	bin.001	61							Bacteria?					
1524	NODE_1525_length_9069_cov_5.420235	9069	7.5153	7.5153	7.75653	bin.001	57							Bacteria?					
1527	NODE_1528_length_9061_cov_4.655452	9061	7.64336	7.64336	9.77818	bin.001	59							Bacteria?					
1528	NODE_1529_length_9060_cov_4.857746	9060	7.08462	7.08462	9.32434	bin.001	61							Bacteria?					
1529	NODE_1530_length_9051_cov_4.157848	9051	6.17953	6.17953	4.94055	bin.001	59							Bacteria?					
1530	NODE_1531_length_9051_cov_4.053246	9051	6.07145	6.07145	5.45683	bin.001	58							Bacteria?					
1532	NODE_1533_length_9050_cov_5.159311	9050	7.38337	7.38337	8.428	bin.001	60							Bacteria?					
1533	NODE_1534_length_9047_cov_5.550044	9047	7.54816	7.54816	10.4082	bin.001	57							Bacteria?					
1534	NODE_1535_length_9042_cov_8.894069	9042	8.66026	8.66026	14.4901	bin.001	60							Bacteria?					
1535	NODE_1536_length_9041_cov_5.098598	9041	7.71016	7.71016	10.0535	bin.001	60							Bacteria?					
1536	NODE_1537_length_9040_cov_4.553701	9040	6.89584	6.89584	8.48712	bin.001	59							Bacteria?					
1537	NODE_1538_length_9038_cov_4.367695	9038	6.53803	6.53803	6.56733	bin.001	57							Bacteria?					
1538	NODE_1539_length_9037_cov_4.292474	9037	6.35029	6.35029	8.79318	bin.001	63							Bacteria?					
1539	NODE_1540_length_9036_cov_5.874624	9036	8.90817	8.90817	7.91315	bin.001	59							Bacteria?					
1540	NODE_1541_length_9030_cov_4.734930	9030	7.11644	7.11644	6.6609	bin.001	60	bin.001	0.993	0.373	0.033	0.66	0.993	dsDNAphage	9027.0	0.0	18.5	0.0	|full
1542	NODE_1543_length_9027_cov_3.993647	9027	6.32826	6.32826	7.13347	bin.001	61							Bacteria?					
1543	NODE_1544_length_9026_cov_3.688775	9026	5.79045	5.79045	7.89535	bin.001	56							Bacteria?					
1544	NODE_1545_length_9021_cov_3.655811	9021	5.66306	5.66306	5.60234	bin.001	56							Bacteria?					
1545	NODE_1546_length_9016_cov_3.607187	9016	5.52493	5.52493	6.96424	bin.001	54	bin.001	0.673	0.013	0.073	0.113	0.673	dsDNAphage	9015.0	0.0	12.5	6.2	|full
1547	NODE_1548_length_9011_cov_5.758598	9011	8.64395	8.64395	12.1245	bin.001	57							Bacteria?					
1549	NODE_1550_length_9001_cov_7.242008	9001	10.0878	10.0878	8.64612	bin.001	57							Bacteria?					
1550	NODE_1551_length_8998_cov_4.576876	8998	6.89964	6.89964	8.05428	bin.001	61							Bacteria?					
1552	NODE_1553_length_8993_cov_4.405236	8993	6.69207	6.69207	8.09437	bin.001	60							Bacteria?					
1555	NODE_1556_length_8988_cov_5.101534	8988	7.59595	7.59595	11.1731	bin.001	59							Bacteria?					
1556	NODE_1557_length_8987_cov_4.112853	8987	6.16748	6.16748	6.25683	bin.001	62							Bacteria?					
1558	NODE_1559_length_8985_cov_3.248488	8985	4.9236	4.9236	5.07428	bin.001	52							Bacteria?					
1560	NODE_1561_length_8983_cov_4.509185	8983	6.99321	6.99321	10.2178	bin.001	61							Bacteria?					
1562	NODE_1563_length_8978_cov_5.884792	8978	8.94314	8.94314	9.65176	bin.001	59							Bacteria?					
1563	NODE_1564_length_8977_cov_3.010424	8977	4.57585	4.57585	3.81211	bin.001	60							Bacteria?					
1566	NODE_1567_length_8966_cov_3.875884	8966	5.88736	5.88736	6.0683	bin.001	55							Bacteria?					
1568	NODE_1569_length_8960_cov_4.017294	8960	6.27003	6.27003	6.9231	bin.001	60							Bacteria?					
1569	NODE_1570_length_8956_cov_3.858668	8956	5.89416	5.89416	8.94015	bin.001	59							Bacteria?					
1570	NODE_1571_length_8956_cov_3.735086	8956	5.61254	5.61254	6.49113	bin.001	57							Bacteria?					
1571	NODE_1572_length_8955_cov_5.223371	8955	8.06599	8.06599	9.8575	bin.001	57	bin.001	0.14	0.033	0.327	0.573	0.573	NCLDV	8530.0	0.0	40.0	0.0	|full
1573	NODE_1574_length_8950_cov_4.435413	8950	6.73727	6.73727	5.9452	bin.001	58							Bacteria?					
1574	NODE_1575_length_8949_cov_3.625928	8949	5.4871	5.4871	6.50454	bin.001	60							Bacteria?					
1575	NODE_1576_length_8947_cov_3.665879	8947	5.78538	5.78538	4.4363	bin.001	64							Bacteria?					
1576	NODE_1577_length_8945_cov_4.339708	8945	6.53746	6.53746	5.71489	bin.001	59							Bacteria?					
1577	NODE_1578_length_8940_cov_4.694316	8940	7.44835	7.44835	12.898	bin.001	62							Bacteria?					
1579	NODE_1580_length_8929_cov_4.339982	8929	6.46486	6.46486	8.65282	bin.001	58							Bacteria?					
1580	NODE_1581_length_8921_cov_4.853034	8921	7.58967	7.58967	9.44737	bin.001	59							Bacteria?					
1582	NODE_1583_length_8920_cov_4.762549	8920	7.461	7.461	9.22529	bin.001	59							Bacteria?					
1583	NODE_1584_length_8917_cov_4.649402	8917	6.54101	6.54101	8.78601	bin.001	58							Bacteria?					
1585	NODE_1586_length_8914_cov_4.367649	8914	6.54188	6.54188	8.47283	bin.001	59	bin.001	0.153	0.0	0.013	0.707	0.707	NCLDV	8579.0	0.0	12.5	0.0	|full
1586	NODE_1587_length_8907_cov_3.550610	8907	5.33607	5.33607	5.64679	bin.001	56							Bacteria?					
1587	NODE_1588_length_8899_cov_6.001018	8899	9.13396	9.13396	8.96323	bin.001	59							Bacteria?					
1588	NODE_1589_length_8894_cov_4.555493	8894	7.02939	7.02939	6.10122	bin.001	58							Bacteria?					
1589	NODE_1590_length_8892_cov_5.860473	8892	8.77156	8.77156	11.5927	bin.001	58							Bacteria?					
1590	NODE_1591_length_8891_cov_3.988796	8891	5.96053	5.96053	7.339	bin.001	62							Bacteria?					
1591	NODE_1592_length_8885_cov_3.455946	8885	5.15638	5.15638	4.60686	bin.001	57							Bacteria?					
1592	NODE_1593_length_8884_cov_3.768603	8884	5.83753	5.83753	5.53014	bin.001	58							Bacteria?					
1599	NODE_1600_length_8857_cov_2.772438	8857	4.22786	4.22786	4.47398	bin.001	60							Bacteria?					
1601	NODE_1602_length_8849_cov_4.277917	8849	6.49328	6.49328	7.17272	bin.001	61							Bacteria?					
1603	NODE_1604_length_8843_cov_3.770255	8843	5.53606	5.53606	5.53632	bin.001	55							Bacteria?					
1607	NODE_1608_length_8841_cov_3.351241	8841	5.15073	5.15073	5.01348	bin.001	53	bin.001	0.967	0.087	0.087	0.413	0.967	dsDNAphage	8839.0	0.0	31.2	0.0	|full
1608	NODE_1609_length_8840_cov_5.090609	8840	7.82658	7.82658	14.7837	bin.001	59							Bacteria?					
1609	NODE_1610_length_8840_cov_4.774957	8840	7.09747	7.09747	8.57193	bin.001	59							Bacteria?					
1610	NODE_1611_length_8838_cov_6.037003	8838	8.83126	8.83126	14.2418	bin.001	61							Bacteria?					
1611	NODE_1612_length_8836_cov_4.607106	8836	7.08301	7.08301	6.45944	bin.001	60							Bacteria?					
1612	NODE_1613_length_8836_cov_2.919713	8836	4.32639	4.32639	5.59471	bin.001	52							Bacteria?					
1613	NODE_1614_length_8834_cov_5.526711	8834	8.19979	8.19979	9.19002	bin.001	58							Bacteria?					
1614	NODE_1615_length_8829_cov_3.526898	8829	5.44832	5.44832	5.51631	bin.001	58							Bacteria?					
1615	NODE_1616_length_8828_cov_6.260800	8828	9.18403	9.18403	12.2857	bin.001	56							Bacteria?					
1616	NODE_1617_length_8823_cov_5.782391	8823	8.39836	8.39836	9.30868	bin.001	60							Bacteria?					
1617	NODE_1618_length_8818_cov_4.018829	8818	6.15598	6.15598	10.5141	bin.001	56							Bacteria?					
1618	NODE_1619_length_8816_cov_3.616825	8816	5.59808	5.59808	5.76934	bin.001	59							Bacteria?					
